condition,target,n_donors,pooled_oof_spearman,mse,prediction_variance
negative_control_rank_int_pca8_donor_shuffled_target_ridge,6e10/A_beta,84,0.0325142345359815,0.9416867894830252,0.02855126550756813
negative_control_rank_int_pca8_donor_shuffled_target_ridge,AT8,84,-0.3585410116617617,0.9844167567368528,0.0026121609029246353
negative_control_rank_int_pca8_donor_shuffled_target_ridge,GFAP,84,-0.1048394466043751,1.0442471140398095,0.012132803514745267
negative_control_rank_int_pca8_donor_shuffled_target_ridge,Iba1,84,-0.11937638634090716,0.989073771124367,9.402375160343713e-06
negative_control_rank_int_pca8_donor_shuffled_target_ridge,NeuN,84,-0.08313332587061087,0.951637010032055,0.009226289949734932
negative_control_rank_int_pca8_shuffled_features_ridge,6e10/A_beta,84,-0.010027754576517658,0.9463777084191833,0.014433861882557039
negative_control_rank_int_pca8_shuffled_features_ridge,AT8,84,-0.07857989240814728,1.0359919022251598,0.049137398673518566
negative_control_rank_int_pca8_shuffled_features_ridge,GFAP,84,-0.03199967654494594,1.0801085807879858,0.0680083322813027
negative_control_rank_int_pca8_shuffled_features_ridge,Iba1,84,-0.1505774930864395,1.0001086692266945,0.0004294960033205593
negative_control_rank_int_pca8_shuffled_features_ridge,NeuN,84,-0.04724289988870748,1.0231511985384185,0.03913248582764416
rank_inverse_normal_module_direct_elasticnet,6e10/A_beta,84,0.33392422739803806,0.8314594760255855,0.07797915677145262
rank_inverse_normal_module_direct_elasticnet,AT8,84,0.6297023981186389,0.555266373777944,0.36638876026864353
rank_inverse_normal_module_direct_elasticnet,GFAP,84,0.3369586193142646,0.9357641143117652,0.05517526219902323
rank_inverse_normal_module_direct_elasticnet,Iba1,84,0.12208036796026417,0.9705302029133385,0.015524596542799127
rank_inverse_normal_module_direct_elasticnet,NeuN,84,0.46989722504523623,0.7262284726094393,0.2506596635713401
rank_inverse_normal_module_direct_huber,6e10/A_beta,84,0.31929788637935974,1.0404429530366552,0.6479192412512814
rank_inverse_normal_module_direct_huber,AT8,84,0.5693599266160424,0.6378037767901829,0.6593711524443775
rank_inverse_normal_module_direct_huber,GFAP,84,0.3675304621905911,0.9983111505448448,0.3769391130687347
rank_inverse_normal_module_direct_huber,Iba1,84,0.0025114814907147083,1.337106827163823,0.33916541931437855
rank_inverse_normal_module_direct_huber,NeuN,84,0.40333182719561694,0.8489629116410333,0.5281626016599394
rank_inverse_normal_module_direct_ridge,6e10/A_beta,84,0.3318275150774934,0.8358809144257362,0.0738887979482845
rank_inverse_normal_module_direct_ridge,AT8,84,0.5325104126375311,0.6182661352903112,0.39628806329414507
rank_inverse_normal_module_direct_ridge,GFAP,84,0.3297181861719746,0.954020029680296,0.09259054700379687
rank_inverse_normal_module_direct_ridge,Iba1,84,0.06999741961217766,0.9888659883850734,0.015321421252343047
rank_inverse_normal_module_direct_ridge,NeuN,84,0.4421084753572162,0.7792029178471274,0.29346105115500787
rank_inverse_normal_module_pca12_elasticnet,6e10/A_beta,84,0.34508643501755565,0.8271727917931029,0.09119798943681105
rank_inverse_normal_module_pca12_elasticnet,AT8,84,0.516024837271492,0.6118928715606065,0.3390707389456469
rank_inverse_normal_module_pca12_elasticnet,GFAP,84,0.3211916900799352,0.9673638105334055,0.06119000852181912
rank_inverse_normal_module_pca12_elasticnet,Iba1,84,0.015541478923225355,1.0491937445615347,0.03868438586951395
rank_inverse_normal_module_pca12_elasticnet,NeuN,84,0.43131299169561665,0.7907811129632973,0.26146050871410714
rank_inverse_normal_module_pca12_huber,6e10/A_beta,84,0.33299235525557375,0.9167578139543687,0.44024351301660075
rank_inverse_normal_module_pca12_huber,AT8,84,0.5138173093662115,0.676497839106898,0.6016743701634516
rank_inverse_normal_module_pca12_huber,GFAP,84,0.30306529102441204,1.0452699559426832,0.33732089037190716
rank_inverse_normal_module_pca12_huber,Iba1,84,0.05467535713051899,1.272077352381044,0.31851299265746086
rank_inverse_normal_module_pca12_huber,NeuN,84,0.4636082988221093,0.771915357886724,0.4616996968556598
rank_inverse_normal_module_pca12_ridge,6e10/A_beta,84,0.33196932170786836,0.8350524222461153,0.07363238908477121
rank_inverse_normal_module_pca12_ridge,AT8,84,0.5224145166670513,0.6338705172539756,0.39174249452032145
rank_inverse_normal_module_pca12_ridge,GFAP,84,0.33053843104543684,0.9537793616515371,0.09220345994495475
rank_inverse_normal_module_pca12_ridge,Iba1,84,0.0721139503845945,0.9891789858396698,0.015311313623820676
rank_inverse_normal_module_pca12_ridge,NeuN,84,0.46394249296923196,0.7659294715973552,0.29200362149704495
rank_inverse_normal_module_pca16_elasticnet,6e10/A_beta,84,0.3439621110195824,0.8272537397560293,0.09129332590286489
rank_inverse_normal_module_pca16_elasticnet,AT8,84,0.5182829965507467,0.6058085264552082,0.34705125541309606
rank_inverse_normal_module_pca16_elasticnet,GFAP,84,0.3211916900799352,0.9673638105334055,0.06119000852181912
rank_inverse_normal_module_pca16_elasticnet,Iba1,84,0.015541478923225355,1.0491937445615347,0.03868438586951395
rank_inverse_normal_module_pca16_elasticnet,NeuN,84,0.4205580164154865,0.7967682356678877,0.2475585035108216
rank_inverse_normal_module_pca16_huber,6e10/A_beta,84,0.31929788637935974,1.0404429529945198,0.6479192412951688
rank_inverse_normal_module_pca16_huber,AT8,84,0.5693599266160424,0.6378037767844205,0.6593711525135371
rank_inverse_normal_module_pca16_huber,GFAP,84,0.3675304621905911,0.9983111497695658,0.37693911191227236
rank_inverse_normal_module_pca16_huber,Iba1,84,0.0025114814907147083,1.3371068271353552,0.33916541929873645
rank_inverse_normal_module_pca16_huber,NeuN,84,0.40333182719561694,0.848962911550598,0.5281626015365353
rank_inverse_normal_module_pca16_ridge,6e10/A_beta,84,0.3318275150774934,0.8358809144257362,0.07388879794828444
rank_inverse_normal_module_pca16_ridge,AT8,84,0.5325104126375311,0.6182661352903113,0.39628806329414523
rank_inverse_normal_module_pca16_ridge,GFAP,84,0.3297181861719746,0.954020029680296,0.09259054700379686
rank_inverse_normal_module_pca16_ridge,Iba1,84,0.06999741961217766,0.9888659883850737,0.015321421252343053
