scenario_id,control_type,metric,number_of_graphs,distinct_edge_set_hashes,distinct_input_delta_vector_hashes,distinct_latent_output_vector_hashes,distinct_metric_values,null_min,null_max,null_range,null_standard_deviation,frozen_statistics_zero_variance,edge_sets_differ,input_deltas_differ,latent_outputs_differ,control_input_diversity_status,validated_regulation,validated_grn_claim,causal_validation_pass,therapeutic_target_claim,biological_benefit_claim
ELF1_down_0p10,degree_preserving_edge_shuffle,mean_clipping_fraction,50,48,1,1,1,0.74609375,0.74609375,0.0,0.0,True,True,False,False,single_control_input_or_no_graph,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,mean_cosine_similarity,50,48,1,1,1,1.0000000149011612,1.0000000149011612,0.0,0.0,True,True,False,False,single_control_input_or_no_graph,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,mean_euclidean_displacement,50,48,1,1,1,0.0001639025813346,0.0001639025813346,0.0,2.738023958363168e-20,True,True,False,False,single_control_input_or_no_graph,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,mean_full_changed_feature_l1_delta_norm,50,48,1,1,1,0.1059103784150555,0.1059103784150555,0.0,0.0,True,True,False,False,single_control_input_or_no_graph,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,mean_full_changed_feature_l2_delta_norm,50,48,1,1,1,0.0835843086058846,0.0835843086058846,0.0,1.401868266681942e-17,True,True,False,False,single_control_input_or_no_graph,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,mean_target_only_l1_delta_norm,50,48,1,1,1,0.0246603784150554,0.0246603784150554,0.0,0.0,True,True,False,False,single_control_input_or_no_graph,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,mean_target_only_l2_delta_norm,50,48,1,1,1,0.0107186491010457,0.0107186491010457,0.0,1.7523353333524276e-18,True,True,False,False,single_control_input_or_no_graph,False,False,False,False,False
ELF1_down_0p10,expression_matched_random_targets,mean_clipping_fraction,50,50,50,50,17,0.7278645833333334,0.7565104166666666,0.02864583333333326,0.005392163967855184,False,True,True,True,distinct_control_inputs_and_metric_variation,False,False,False,False,False
ELF1_down_0p10,expression_matched_random_targets,mean_cosine_similarity,50,50,50,50,19,0.9999999962747096,1.000000054016709,5.7741999515137366e-08,1.055611459599071e-08,False,True,True,True,distinct_control_inputs_and_metric_variation,False,False,False,False,False
ELF1_down_0p10,expression_matched_random_targets,mean_euclidean_displacement,50,50,50,50,50,0.0001570259624941,0.0001644991469049,7.4731844108e-06,1.7002154508447686e-06,False,True,True,True,distinct_control_inputs_and_metric_variation,False,False,False,False,False
ELF1_down_0p10,expression_matched_random_targets,mean_full_changed_feature_l1_delta_norm,50,50,50,50,50,0.1047201162303438,0.1078728762144818,0.0031527599841379983,0.0006085336340423173,False,True,True,True,distinct_control_inputs_and_metric_variation,False,False,False,False,False
ELF1_down_0p10,expression_matched_random_targets,mean_full_changed_feature_l2_delta_norm,50,50,50,50,50,0.0833631114703813,0.0840199860284639,0.0006568745580826096,0.00014128961898601455,False,True,True,True,distinct_control_inputs_and_metric_variation,False,False,False,False,False
ELF1_down_0p10,expression_matched_random_targets,mean_target_only_l1_delta_norm,50,50,50,50,50,0.0234701162303437,0.0266228762144817,0.0031527599841379983,0.0006085336340423136,False,True,True,True,distinct_control_inputs_and_metric_variation,False,False,False,False,False
ELF1_down_0p10,expression_matched_random_targets,mean_target_only_l2_delta_norm,50,50,50,50,50,0.0105790852515297,0.0112893609129709,0.0007102756614412002,0.00017641627132837796,False,True,True,True,distinct_control_inputs_and_metric_variation,False,False,False,False,False
ELF1_down_0p10,no_graph,mean_clipping_fraction,1,1,1,1,1,0.1875,0.1875,0.0,,False,False,False,False,single_control_input_or_no_graph,False,False,False,False,False
ELF1_down_0p10,no_graph,mean_cosine_similarity,1,1,1,1,1,1.0000000204890966,1.0000000204890966,0.0,,False,False,False,False,single_control_input_or_no_graph,False,False,False,False,False
ELF1_down_0p10,no_graph,mean_euclidean_displacement,1,1,1,1,1,0.0001537666948934,0.0001537666948934,0.0,,False,False,False,False,single_control_input_or_no_graph,False,False,False,False,False
ELF1_down_0p10,no_graph,mean_full_changed_feature_l1_delta_norm,1,1,1,1,1,0.08125,0.08125,0.0,,False,False,False,False,single_control_input_or_no_graph,False,False,False,False,False
ELF1_down_0p10,no_graph,mean_full_changed_feature_l2_delta_norm,1,1,1,1,1,0.08125,0.08125,0.0,,False,False,False,False,single_control_input_or_no_graph,False,False,False,False,False
ELF1_down_0p10,no_graph,mean_target_only_l1_delta_norm,1,1,1,1,1,0.0,0.0,0.0,,False,False,False,False,single_control_input_or_no_graph,False,False,False,False,False
ELF1_down_0p10,no_graph,mean_target_only_l2_delta_norm,1,1,1,1,1,0.0,0.0,0.0,,False,False,False,False,single_control_input_or_no_graph,False,False,False,False,False
ELF1_down_0p10,tf_label_shuffle,mean_clipping_fraction,50,50,50,50,2,0.7109375,0.74609375,0.03515625,0.017742376740390763,False,True,True,True,distinct_control_inputs_and_metric_variation,False,False,False,False,False
ELF1_down_0p10,tf_label_shuffle,mean_cosine_similarity,50,50,50,50,18,1.0000000018626451,1.0000000447034836,4.284083843231201e-08,1.0173563344824577e-08,False,True,True,True,distinct_control_inputs_and_metric_variation,False,False,False,False,False
ELF1_down_0p10,tf_label_shuffle,mean_euclidean_displacement,50,50,50,50,50,0.000161266313313,0.000164409620396,3.1433070829999996e-06,7.542181735223124e-07,False,True,True,True,distinct_control_inputs_and_metric_variation,False,False,False,False,False
ELF1_down_0p10,tf_label_shuffle,mean_full_changed_feature_l1_delta_norm,50,50,50,50,50,0.1036213801612211,0.1087835588638002,0.0051621787025790955,0.0010961614752577238,False,True,True,True,distinct_control_inputs_and_metric_variation,False,False,False,False,False
ELF1_down_0p10,tf_label_shuffle,mean_full_changed_feature_l2_delta_norm,50,50,50,50,50,0.08330107590057,0.0838885190638998,0.0005874431633298011,0.0001252005832923933,False,True,True,True,distinct_control_inputs_and_metric_variation,False,False,False,False,False
ELF1_down_0p10,tf_label_shuffle,mean_target_only_l1_delta_norm,50,50,50,50,50,0.0223713801612211,0.0275335588638001,0.005162178702579002,0.0010961614752577294,False,True,True,True,distinct_control_inputs_and_metric_variation,False,False,False,False,False
ELF1_down_0p10,tf_label_shuffle,mean_target_only_l2_delta_norm,50,50,50,50,50,0.0098756063620959,0.0117802181761461,0.0019046118140501993,0.0004403413665372615,False,True,True,True,distinct_control_inputs_and_metric_variation,False,False,False,False,False
ELF1_down_0p25,degree_preserving_edge_shuffle,mean_clipping_fraction,50,48,1,1,1,0.74609375,0.74609375,0.0,0.0,True,True,False,False,single_control_input_or_no_graph,False,False,False,False,False
ELF1_down_0p25,degree_preserving_edge_shuffle,mean_cosine_similarity,50,48,1,1,1,0.9999999273568392,0.9999999273568392,0.0,0.0,True,True,False,False,single_control_input_or_no_graph,False,False,False,False,False
ELF1_down_0p25,degree_preserving_edge_shuffle,mean_euclidean_displacement,50,48,1,1,1,0.0004097597706618,0.0004097597706618,0.0,5.476047916726336e-20,True,True,False,False,single_control_input_or_no_graph,False,False,False,False,False
ELF1_down_0p25,degree_preserving_edge_shuffle,mean_full_changed_feature_l1_delta_norm,50,48,1,1,1,0.2647759460376386,0.2647759460376386,0.0,0.0,True,True,False,False,single_control_input_or_no_graph,False,False,False,False,False
ELF1_down_0p25,degree_preserving_edge_shuffle,mean_full_changed_feature_l2_delta_norm,50,48,1,1,1,0.2089607715147113,0.2089607715147113,0.0,0.0,True,True,False,False,single_control_input_or_no_graph,False,False,False,False,False
