model_variant,latent_dim,seed,n_folds,embedding_written_to_disk,notes
all_branches_jepa,8,107,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
all_branches_jepa,8,211,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
all_branches_jepa,8,307,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
all_branches_jepa,16,107,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
all_branches_jepa,16,211,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
all_branches_jepa,16,307,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
composition_only_jepa,8,107,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
composition_only_jepa,8,211,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
composition_only_jepa,8,307,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
composition_only_jepa,16,107,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
composition_only_jepa,16,211,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
composition_only_jepa,16,307,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
heterogeneity_only_jepa,8,107,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
heterogeneity_only_jepa,8,211,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
heterogeneity_only_jepa,8,307,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
heterogeneity_only_jepa,16,107,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
heterogeneity_only_jepa,16,211,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
heterogeneity_only_jepa,16,307,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
heterogeneity_plus_composition_jepa,8,107,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
heterogeneity_plus_composition_jepa,8,211,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
heterogeneity_plus_composition_jepa,8,307,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
heterogeneity_plus_composition_jepa,16,107,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
heterogeneity_plus_composition_jepa,16,211,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
heterogeneity_plus_composition_jepa,16,307,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
negative_control_programming_plus_donor_shuffled_heterogeneity,8,107,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
negative_control_programming_plus_donor_shuffled_heterogeneity,8,211,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
negative_control_programming_plus_donor_shuffled_heterogeneity,8,307,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
negative_control_programming_plus_donor_shuffled_heterogeneity,16,107,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
negative_control_programming_plus_donor_shuffled_heterogeneity,16,211,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
negative_control_programming_plus_donor_shuffled_heterogeneity,16,307,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
programming_only_jepa,8,107,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
programming_only_jepa,8,211,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
programming_only_jepa,8,307,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
programming_only_jepa,16,107,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
programming_only_jepa,16,211,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
programming_only_jepa,16,307,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
programming_plus_composition_jepa,8,107,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
programming_plus_composition_jepa,8,211,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
programming_plus_composition_jepa,8,307,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
programming_plus_composition_jepa,16,107,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
programming_plus_composition_jepa,16,211,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
programming_plus_composition_jepa,16,307,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
programming_plus_heterogeneity_jepa,8,107,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
programming_plus_heterogeneity_jepa,8,211,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
programming_plus_heterogeneity_jepa,8,307,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
programming_plus_heterogeneity_jepa,16,107,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
programming_plus_heterogeneity_jepa,16,211,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
programming_plus_heterogeneity_jepa,16,307,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
programming_residualized_against_composition_jepa,8,107,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
programming_residualized_against_composition_jepa,8,211,5,False,Fold-specific frozen embeddings were used for probes but not persisted as donor-level raw matrices.
