model_variant,latent_dim,seed,fold_id,target,donor_id,chosen_branch,y_true,y_pred
nested_target_gated_programming_vs_state_module,8,107,1,AT8,H20.33.001,programming_plus_state_module,0.053114626,0.8203037618970198
nested_target_gated_programming_vs_state_module,8,107,1,AT8,H20.33.004,programming_plus_state_module,0.9100716,1.4046803640529473
nested_target_gated_programming_vs_state_module,8,107,1,AT8,H20.33.005,programming_plus_state_module,0.113147487,0.9034845882687579
nested_target_gated_programming_vs_state_module,8,107,1,AT8,H20.33.034,programming_plus_state_module,0.024581404,1.604648327983333
nested_target_gated_programming_vs_state_module,8,107,1,AT8,H20.33.040,programming_plus_state_module,0.05606376,0.9758761951604082
nested_target_gated_programming_vs_state_module,8,107,1,AT8,H20.33.046,programming_plus_state_module,1.666672955,1.4102812523994128
nested_target_gated_programming_vs_state_module,8,107,1,AT8,H21.33.007,programming_plus_state_module,5.382839956,1.951316386106405
nested_target_gated_programming_vs_state_module,8,107,1,AT8,H21.33.009,programming_plus_state_module,4.22259745,0.36914294173183126
nested_target_gated_programming_vs_state_module,8,107,1,AT8,H21.33.010,programming_plus_state_module,2.887391692,1.3050045287794485
nested_target_gated_programming_vs_state_module,8,107,1,AT8,H21.33.014,programming_plus_state_module,0.045866304,-0.04194710634885612
nested_target_gated_programming_vs_state_module,8,107,1,AT8,H21.33.025,programming_plus_state_module,0.090378507,1.4964595561051879
nested_target_gated_programming_vs_state_module,8,107,1,AT8,H21.33.033,programming_plus_state_module,2.992553952,1.0702433880878446
nested_target_gated_programming_vs_state_module,8,107,1,AT8,H21.33.038,programming_plus_state_module,0.006603551,0.5371509911745741
nested_target_gated_programming_vs_state_module,8,107,1,AT8,H21.33.040,programming_plus_state_module,3.173003567,1.0300948784975783
nested_target_gated_programming_vs_state_module,8,107,1,AT8,H21.33.041,programming_plus_state_module,0.454189024,0.6684910521027243
nested_target_gated_programming_vs_state_module,8,107,1,AT8,H21.33.043,programming_plus_state_module,0.028482753,1.377659009417843
nested_target_gated_programming_vs_state_module,8,107,1,AT8,H21.33.045,programming_plus_state_module,6.924529518,2.724747963867769
nested_target_gated_programming_vs_state_module,8,107,1,6e10/A_beta,H20.33.001,programming_plus_state_module,0.12824423,2.2260089875030125
nested_target_gated_programming_vs_state_module,8,107,1,6e10/A_beta,H20.33.004,programming_plus_state_module,1.678467763,4.0148421831201695
nested_target_gated_programming_vs_state_module,8,107,1,6e10/A_beta,H20.33.005,programming_plus_state_module,0.168045591,3.1439583592422307
nested_target_gated_programming_vs_state_module,8,107,1,6e10/A_beta,H20.33.034,programming_plus_state_module,0.233687244,2.3668922596936346
nested_target_gated_programming_vs_state_module,8,107,1,6e10/A_beta,H20.33.040,programming_plus_state_module,1.505708265,3.048642898861003
nested_target_gated_programming_vs_state_module,8,107,1,6e10/A_beta,H20.33.046,programming_plus_state_module,2.107489042,3.26384335005962
nested_target_gated_programming_vs_state_module,8,107,1,6e10/A_beta,H21.33.007,programming_plus_state_module,1.472427711,4.307083505447426
nested_target_gated_programming_vs_state_module,8,107,1,6e10/A_beta,H21.33.009,programming_plus_state_module,4.201598271,3.7851241853262
nested_target_gated_programming_vs_state_module,8,107,1,6e10/A_beta,H21.33.010,programming_plus_state_module,5.553367866,3.3752701093300876
nested_target_gated_programming_vs_state_module,8,107,1,6e10/A_beta,H21.33.014,programming_plus_state_module,2.889335118,2.387619473720603
nested_target_gated_programming_vs_state_module,8,107,1,6e10/A_beta,H21.33.025,programming_plus_state_module,0.003521124,2.2345341991994547
nested_target_gated_programming_vs_state_module,8,107,1,6e10/A_beta,H21.33.033,programming_plus_state_module,10.75596125,2.6926984101788185
nested_target_gated_programming_vs_state_module,8,107,1,6e10/A_beta,H21.33.038,programming_plus_state_module,0.0,2.117594587343845
nested_target_gated_programming_vs_state_module,8,107,1,6e10/A_beta,H21.33.040,programming_plus_state_module,3.044747366,3.208033132288968
nested_target_gated_programming_vs_state_module,8,107,1,6e10/A_beta,H21.33.041,programming_plus_state_module,0.119973881,1.335531024309365
nested_target_gated_programming_vs_state_module,8,107,1,6e10/A_beta,H21.33.043,programming_plus_state_module,1.577091086,1.6733101683130258
nested_target_gated_programming_vs_state_module,8,107,1,6e10/A_beta,H21.33.045,programming_plus_state_module,3.261146895,5.343389256647914
nested_target_gated_programming_vs_state_module,8,107,1,GFAP,H20.33.001,programming_plus_state_module,1.297575839,6.88867497753006
nested_target_gated_programming_vs_state_module,8,107,1,GFAP,H20.33.004,programming_plus_state_module,7.764711727,8.563419060114395
nested_target_gated_programming_vs_state_module,8,107,1,GFAP,H20.33.005,programming_plus_state_module,1.954204394,6.2943140287027886
nested_target_gated_programming_vs_state_module,8,107,1,GFAP,H20.33.034,programming_plus_state_module,2.383895376,7.659055637391974
nested_target_gated_programming_vs_state_module,8,107,1,GFAP,H20.33.040,programming_plus_state_module,1.680023713,6.767497416537784
nested_target_gated_programming_vs_state_module,8,107,1,GFAP,H20.33.046,programming_plus_state_module,5.894041872,5.9775214534819305
nested_target_gated_programming_vs_state_module,8,107,1,GFAP,H21.33.007,programming_plus_state_module,5.521039863,9.112848740155798
nested_target_gated_programming_vs_state_module,8,107,1,GFAP,H21.33.009,programming_plus_state_module,9.977929113,7.873103959721414
nested_target_gated_programming_vs_state_module,8,107,1,GFAP,H21.33.010,programming_plus_state_module,8.716825634,6.811069917478104
nested_target_gated_programming_vs_state_module,8,107,1,GFAP,H21.33.014,programming_plus_state_module,12.81945045,7.584291451521345
nested_target_gated_programming_vs_state_module,8,107,1,GFAP,H21.33.025,programming_plus_state_module,3.673062039,7.330465656081603
nested_target_gated_programming_vs_state_module,8,107,1,GFAP,H21.33.033,programming_plus_state_module,6.146626863,4.794804296460236
nested_target_gated_programming_vs_state_module,8,107,1,GFAP,H21.33.038,programming_plus_state_module,0.981970599,3.9029607050802766
nested_target_gated_programming_vs_state_module,8,107,1,GFAP,H21.33.040,programming_plus_state_module,8.154648483,7.553978283069765
nested_target_gated_programming_vs_state_module,8,107,1,GFAP,H21.33.041,programming_plus_state_module,4.900338195,5.241946266092207
nested_target_gated_programming_vs_state_module,8,107,1,GFAP,H21.33.043,programming_plus_state_module,1.676257874,7.0649154417328415
nested_target_gated_programming_vs_state_module,8,107,1,GFAP,H21.33.045,programming_plus_state_module,16.31359485,8.990646845496071
nested_target_gated_programming_vs_state_module,8,107,1,Iba1,H20.33.001,programming_plus_state_module,4.510429237,4.132861720992596
nested_target_gated_programming_vs_state_module,8,107,1,Iba1,H20.33.004,programming_plus_state_module,5.348567263,4.860650956541406
nested_target_gated_programming_vs_state_module,8,107,1,Iba1,H20.33.005,programming_plus_state_module,3.799753301,4.24970067656179
nested_target_gated_programming_vs_state_module,8,107,1,Iba1,H20.33.034,programming_plus_state_module,2.076656194,4.316235730916539
nested_target_gated_programming_vs_state_module,8,107,1,Iba1,H20.33.040,programming_plus_state_module,3.705694053,4.995561542305201
nested_target_gated_programming_vs_state_module,8,107,1,Iba1,H20.33.046,programming_plus_state_module,1.591359154,3.1395869725483374
nested_target_gated_programming_vs_state_module,8,107,1,Iba1,H21.33.007,programming_plus_state_module,4.49607682,4.306905727233898
nested_target_gated_programming_vs_state_module,8,107,1,Iba1,H21.33.009,programming_plus_state_module,4.17471966,6.155963249129925
nested_target_gated_programming_vs_state_module,8,107,1,Iba1,H21.33.010,programming_plus_state_module,3.63883636,4.555310983472284
nested_target_gated_programming_vs_state_module,8,107,1,Iba1,H21.33.014,programming_plus_state_module,5.816597407,4.29957439906638
nested_target_gated_programming_vs_state_module,8,107,1,Iba1,H21.33.025,programming_plus_state_module,4.896030473,4.893679980477293
nested_target_gated_programming_vs_state_module,8,107,1,Iba1,H21.33.033,programming_plus_state_module,3.937066762,3.463765938373168
nested_target_gated_programming_vs_state_module,8,107,1,Iba1,H21.33.038,programming_plus_state_module,2.938929588,3.1837940586914826
nested_target_gated_programming_vs_state_module,8,107,1,Iba1,H21.33.040,programming_plus_state_module,3.13064423,3.9236466380911805
nested_target_gated_programming_vs_state_module,8,107,1,Iba1,H21.33.041,programming_plus_state_module,3.444246513,2.802749567269581
nested_target_gated_programming_vs_state_module,8,107,1,Iba1,H21.33.043,programming_plus_state_module,2.552773483,3.916365351734763
nested_target_gated_programming_vs_state_module,8,107,1,Iba1,H21.33.045,programming_plus_state_module,6.44983744,4.5923703677361924
nested_target_gated_programming_vs_state_module,8,107,1,NeuN,H20.33.001,programming_only,2.473382929,2.938625047905577
nested_target_gated_programming_vs_state_module,8,107,1,NeuN,H20.33.004,programming_only,2.930781351,3.132105135727664
nested_target_gated_programming_vs_state_module,8,107,1,NeuN,H20.33.005,programming_only,0.04433574,1.9476277054248892
nested_target_gated_programming_vs_state_module,8,107,1,NeuN,H20.33.034,programming_only,3.717418763,3.6165820248479195
nested_target_gated_programming_vs_state_module,8,107,1,NeuN,H20.33.040,programming_only,4.211083139,2.944881193000451
nested_target_gated_programming_vs_state_module,8,107,1,NeuN,H20.33.046,programming_only,1.07813983,2.091782053484515
nested_target_gated_programming_vs_state_module,8,107,1,NeuN,H21.33.007,programming_only,4.624630672,2.1960414940734148
