dataset,module,n_present_module_genes,mean_gene_high_minus_low,median_gene_high_minus_low,n_genes_higher_in_high_tail,n_genes_lower_in_high_tail,top_higher_genes
DLPFC,antigen_presentation,6,1.2723612818339645,1.41360604763031,6,0,B2M;CD74;HLA-DRA;HLA-DRB1;HLA-DPA1
DLPFC,complement_phagocytosis,7,1.072208491644281,1.1393176317214966,7,0,C1QC;C1QB;C1QA;TYROBP;AIF1
DLPFC,dam_lipid_trem2_apoe,8,0.7460996876191667,0.6777730882167816,7,1,APOE;TYROBP;CTSD;APOC1;TREM2
DLPFC,lysosomal_endolysosomal,7,0.745150379749077,0.7356610298156738,7,0,PSAP;CTSD;LAPTM5;CTSB;CTSS
DLPFC,oxidative_stress_gene_preserved,7,0.3968259162495528,0.4241599142551422,7,0,TXNIP;GPX4;SOD2;PRDX1;HMOX1
DLPFC,interferon_inflammatory,7,0.10694843777473616,0.06356784701347351,7,0,IFITM3;NFKBIA;BSG;IRF8;STAT1
MTG,complement_phagocytosis,5,1.0356232576263256,1.0802529454231262,5,0,C1QC;C1QA;TYROBP;C1QB;CTSS
MTG,antigen_presentation,6,0.9829392510219517,1.0014078617095947,6,0,HLA-DRA;HLA-DRB1;B2M;CD74;HLA-DPA1
MTG,oxidative_stress_gene_preserved,2,0.706385931907556,0.6823415011167526,2,0,TXNIP;SOD2
MTG,lysosomal_endolysosomal,7,0.6631637566719518,0.7034757137298584,7,0,CTSD;CTSS;PSAP;NPC2;LAPTM5
MTG,dam_lipid_trem2_apoe,8,0.6170833487573337,0.645564541220665,8,0,APOE;TYROBP;CTSD;APOC1;TREM2
MTG,interferon_inflammatory,6,0.08516451337152862,0.06344073638319969,6,0,NFKBIA;BSG;STAT1;IRF8;IL27RA
