target,n_donors,r2,mae,spearman
percent NeuN positive area_Grey matter,84,0.09407758505286534,1.4303280115127563,0.31722182849043234
number of AT8 positive cells per area_Grey matter,84,0.1806821592654344,3.5746329558605794e-06,0.29987543168491304
number of NeuN positive cells per area_Grey matter,84,0.07616275620160029,9.852927178144455e-05,0.28640275387263336
percent AT8 positive area_Grey matter,84,0.13589740995742916,1.0849605798721313,0.2685025817555938
percent GFAP positive area_Grey matter,84,0.06714542374268462,3.384424924850464,0.22810570011136985
percent Iba1 positive area_Grey matter,84,0.013550080659385677,1.59317147731781,0.21617900172117038
guhcl tTau_Grey matter,84,0.037546051586264784,33.93400192260742,0.19076642705274882
ripa tTau_Grey matter,84,-0.009123317544799558,337.4737854003906,0.18214032600992205
guhcl pTau_Grey matter,84,0.03513519181006464,0.5612180233001709,0.17495456547380997
ripa abeta42_Grey matter,84,-0.008679655462763503,96.34867095947266,0.08113881886016867
ripa pTau_Grey matter,84,-0.09797589805551121,1.8923165798187256,-0.10337146906955554
ripa abeta40_Grey matter,84,-0.0712066211948379,45.98270797729492,-0.1335243523998036
guhcl abeta40_Grey matter,84,-0.0811102181273442,93.63334655761719,-0.15147465297816115
guhcl abeta42_Grey matter,84,-0.06698977157697028,584.1746826171875,-0.15460238231437842
number of activated Iba1 positive cells_Grey matter,84,-0.11891323277235966,3179.703857421875,-0.19125240457628834
number of 6e10 positive objects per area_Grey matter,84,-0.12410194667164198,6.698859215248376e-05,-0.23209711549170287
percent 6e10 positive area_Grey matter,84,-0.11457331547483607,2.12394380569458,-0.2800445479396578
