model_variant,latent_dim,seed,mean_pooled_oof_spearman,delta_vs_stage27c_locked,delta_vs_stage53_best_all_branches
programming_plus_state_specific_module_programming,8,107,0.3250906145590767,-0.0016118254530728127,0.006184063987040633
programming_only_pca_jepa,8,107,0.3182423812898653,-0.00846005872228417,-0.0006641692821707235
negative_control_programming_plus_donor_shuffled_state_programming,8,107,0.31447200566973776,-0.012230434342411722,-0.004434544902298276
state_specific_module_programming_only,8,107,0.28798623063683304,-0.038716209375316446,-0.030920319935203
