model_variant,n_donors,n_features,analysis_ready
mtg_programming_only_same80,80,3000,True
dlpfc_state_modules_only,80,120,True
dlpfc_state_abundance_only,80,12,True
dlpfc_state_expression_modules_only,80,108,True
mtg_programming_plus_dlpfc_state_abundance,80,3012,True
mtg_programming_plus_dlpfc_state_expression_modules,80,3108,True
mtg_programming_plus_dlpfc_state_modules_full,80,3120,True
negative_control_donor_shuffled_dlpfc_full,80,3120,True
negative_control_donor_shuffled_dlpfc_expression_modules,80,3108,True
negative_control_state_label_shuffled_within_donor,80,3120,True
negative_control_module_gene_shuffled_matched_size,80,3120,True
negative_control_random_gene_modules_matched_size,80,3120,True
negative_control_expression_permuted_within_state,80,3120,True
negative_control_expression_permuted_within_donor,80,3120,True
