gene,scope,AT8_delta_pilot,A_beta_6e10_delta_pilot,GFAP_delta_pilot,Iba1_delta_pilot,NeuN_delta_pilot,manifold_safety_status,prediction_safety_status,perturbation_success,failure_reason,mean_latent_shift,median_latent_shift,mean_nearest_real_cell_distance,p95_nearest_real_cell_distance,baseline_nn_p95_threshold,manifold_violation_fraction,AT8_delta_reference,A_beta_6e10_delta_reference,GFAP_delta_reference,Iba1_delta_reference,NeuN_delta_reference
APOE,graph_connected,-0.0353288501501083,-0.0536506325006485,-0.0321673639118671,0.0502108894288539,0.0038109400775283,within_manifold_threshold,not_separately_audited,True,,0.0002964649756904,0.0003667392011266,0.0002964649451062,0.0004434674396179,0.0183959506452083,0.0,-0.0350559800863266,-0.0531339421868324,-0.0326707698404789,0.050115767866373,0.0038811264093965
APP,graph_connected,-0.0349051691591739,-0.0159110091626644,0.0707494467496872,0.125169426202774,0.023174138739705,within_manifold_threshold,not_separately_audited,True,,0.0005362426163628,0.000469747086754,0.0005362426126348,0.0009252850606571,0.0183959506452083,0.0,-0.0348559245467186,-0.0159193612635135,0.0704392194747924,0.1249535158276557,0.0231254883110523
BCL2,graph_connected,-0.0106450375169515,-0.0327694192528724,0.0107681211084127,0.0106856580823659,-0.0099585205316543,within_manifold_threshold,not_separately_audited,True,,0.0003548393142409,0.0003833173250313,0.0003548393095881,0.0004991627822164,0.0183959506452083,0.0,-0.0105366455391049,-0.0326938293874263,0.0106053408235311,0.0108809480443596,-0.0098705179989337
CD4,graph_connected,-0.0273014158010482,-0.0464595854282379,0.0293416567146778,-0.0175607707351446,0.0168714169412851,within_manifold_threshold,not_separately_audited,True,,0.0003012292727362,0.0002664736239239,0.0003012292744072,0.0005331629770807,0.0183959506452083,0.0,-0.027400579303503,-0.0467743836343288,0.0294624529778957,-0.0178159531205892,0.0169135890901088
CSF1R,graph_connected,-0.028017146512866,-0.0262796897441148,-0.0079965889453887,0.0283209793269634,-0.0104621434584259,within_manifold_threshold,not_separately_audited,True,,0.0002241884794784,0.0001618862297618,0.0002241884541137,0.0006559991568792,0.0183959506452083,0.0,-0.0280340034514665,-0.0261669345200061,-0.0083476481959223,0.0283353645354509,-0.0104800183326005
CX3CR1,graph_connected,0.0002148472849512,-0.01545244269073,0.0492453426122665,-0.0067633874714374,0.0121280411258339,within_manifold_threshold,not_separately_audited,True,,0.0002593316603451,0.0002472634951118,0.0002593316381264,0.0004309863754315,0.0183959506452083,0.0,0.0002182226453442,-0.0155370822176337,0.0493222251534462,-0.0067902253940701,0.0122227147221565
P2RY12,graph_connected,0.0347086861729621,0.0290522687137126,0.0681209117174148,0.0095631349831819,-0.0082925958558917,within_manifold_threshold,not_separately_audited,True,,0.0002743841323535,0.0002934487711172,0.000274384148635,0.0003941296134144,0.0183959422633051,0.0,0.0346370860934257,0.0289170313626527,0.0678551197052002,0.0095669282600283,-0.0082985991612076
STAT3,graph_connected,-0.0243797190487384,-0.0139895342290401,-0.1037848219275474,0.0809335261583328,-0.0321857780218124,within_manifold_threshold,not_separately_audited,True,,0.0003681102534756,0.0004105642728973,0.0003681102420643,0.0005213744356296,0.0183959422633051,0.0,-0.0243917983025312,-0.0139843812212347,-0.1042005643248558,0.0812311917543411,-0.0322977006435394
TLR2,graph_connected,-0.0261303838342428,-0.0187196172773838,-0.0066138599067926,0.0078233145177364,0.0279243402183055,within_manifold_threshold,not_separately_audited,True,,0.0002924273721873,0.0002396858762949,0.0002924274114789,0.000633494136855,0.0183959422633051,0.0,-0.0260306689888238,-0.0183026902377605,-0.0065557742491364,0.0075685400515794,0.0280077271163463
TREM2,graph_connected,0.0068747922778129,0.0040741409175097,0.001082195318304,-0.0126445079222321,-0.0007507774280384,within_manifold_threshold,not_separately_audited,True,,0.0001367907534586,8.704003994353116e-05,0.0001367907196489,0.0003949756035581,0.0183959422633051,0.0,0.0071388334035873,0.0041663446463644,0.0010198046220466,-0.0130519215017557,-0.000924622057937
