tf,target_gene,motif_support_class,n_supported_motifs,n_direct_supported_motifs,n_unique_query_peaks,n_unique_screen_regions,n_evidence_rows,max_motif_NES,max_motif_AUC,min_abs_distance_to_tss,peak_gene_classes,validated_regulation,validated_grn_claim,causal_validation_pass,therapeutic_target_claim,edge_edge_type,edge_n_samples,edge_spearman_rho,edge_spearman_pvalue,edge_bootstrap_median_rho,edge_bootstrap_sd_rho,edge_bootstrap_sign_stability,edge_tf_mean_microglia_expressed_fraction,edge_target_mean_microglia_expressed_fraction,edge_atac_peak_support_status,edge_motif_support_status,edge_edge_candidate_pass,edge_claim_language,edge_stage75f_role,edge_selection_purpose
IRF8,C1QC,extended_only,1,0,1,1,1,3.5077968729109004,0.0182050723848916,222.0,promoter_proximal,False,False,False,False,microglia_snrna_sample_coactivity,18,0.2920536635706914,0.239601763905442,0.3128901509871489,0.2293076023782262,0.9,0.3227524558446593,0.2888782096876465,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,primary_stage74_gate_pass,stage75f_batching_not_candidate_selection
IRF8,CD74,extended_only,1,0,1,1,1,3.5077968729109004,0.0182050723848916,1408.0,promoter_proximal,False,False,False,False,microglia_snrna_sample_coactivity,18,0.4943240454076367,0.0370440498074461,0.4511445968652579,0.1715919982753331,0.98,0.3227524558446593,0.6072988296607282,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,primary_stage74_gate_pass,stage75f_batching_not_candidate_selection
IRF8,LAPTM5,extended_only,1,0,1,1,1,3.5077968729109004,0.0182050723848916,21328.0,proximal_100kb,False,False,False,False,microglia_snrna_sample_coactivity,18,0.2982456140350877,0.229322411766133,0.2828262916260021,0.2233896204680184,0.91,0.3227524558446593,0.4685638507440458,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,primary_stage74_gate_pass,stage75f_batching_not_candidate_selection
IRF8,PSAP,extended_only,1,0,1,1,1,3.5077968729109004,0.0182050723848916,1.0,promoter_proximal,False,False,False,False,microglia_snrna_sample_coactivity,18,0.500515995872033,0.0343837791763591,0.5049596205950235,0.1938093093537632,0.975,0.3227524558446593,0.5064787733429853,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,primary_stage74_gate_pass,stage75f_batching_not_candidate_selection
IRF8,TXNIP,extended_only,1,0,2,2,2,3.5077968729109004,0.0182050723848916,10798.0,proximal_100kb,False,False,False,False,microglia_snrna_sample_coactivity,18,-0.3230134158926728,0.1910678835734896,-0.3250014105964001,0.2537048442385245,0.895,0.3227524558446593,0.323668540357396,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,primary_stage74_gate_pass,stage75f_batching_not_candidate_selection
IRF8,TYROBP,extended_only,1,0,1,1,1,3.5077968729109004,0.0182050723848916,1230.0,promoter_proximal,False,False,False,False,microglia_snrna_sample_coactivity,18,0.4447884416924664,0.0643852241036506,0.4395822844146601,0.1724650483691363,0.975,0.3227524558446593,0.2139253183743898,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,primary_stage74_gate_pass,stage75f_batching_not_candidate_selection
STAT1,AIF1,direct,2,1,1,2,2,5.282175557880517,0.0210222473997293,14.0,promoter_proximal,False,False,False,False,microglia_snrna_sample_coactivity,18,0.3415892672858617,0.1653345412255698,0.3846153846153846,0.2299423990040341,0.9,0.1837010361398608,0.0973237673815291,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,primary_stage74_gate_pass,stage75f_batching_not_candidate_selection
STAT1,CTSB,direct,2,1,4,7,8,5.282175557880517,0.0210222473997293,2486.0,proximal_100kb,False,False,False,False,microglia_snrna_sample_coactivity,18,0.5830753353973168,0.0110924436195416,0.59771920465248,0.1896895853888467,0.99,0.1837010361398608,0.6474920997642787,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,primary_stage74_gate_pass,stage75f_batching_not_candidate_selection
STAT1,GPX4,direct,2,1,2,4,5,5.282175557880517,0.0210222473997293,667.0,promoter_proximal;proximal_100kb,False,False,False,False,microglia_snrna_sample_coactivity,18,-0.2425180598555212,0.3322310909053102,-0.2318913622944088,0.2836977793899193,0.78,0.1837010361398608,0.0798697074678661,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,primary_stage74_gate_pass,stage75f_batching_not_candidate_selection
STAT1,HLA-DPA1,direct,2,1,1,2,3,5.282175557880517,0.0210222473997293,32.0,promoter_proximal,False,False,False,False,microglia_snrna_sample_coactivity,18,0.2321981424148606,0.3538383254251315,0.2450424882973692,0.2816000357315031,0.785,0.1837010361398608,0.1717543696726001,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,primary_stage74_gate_pass,stage75f_batching_not_candidate_selection
