control_graph_id,control_type,seed,edge_count,edge_set_sha256,ordered_tf_target_pair_sha256,edge_set_overlap_with_real_graph,edge_set_jaccard_with_real_graph,changed_edge_count,per_tf_target_set_overlap_json,per_tf_target_set_overlap_sha256,validated_regulation,validated_grn_claim,causal_validation_pass,therapeutic_target_claim,biological_benefit_claim
degree_preserving_edge_shuffle_seed_79011,degree_preserving_edge_shuffle,79011.0,53,c2faf6adb29925003b48769fbc53e180f539431b28f8b9f38fb7a1060f4261a7,03204129d57ea2b818d2489849c56b586c9223a39de3c027eb1560faf5c84c7d,49,0.8596491228070176,8,"{""ELF1"":{""control_targets"":23,""overlap"":23,""real_targets"":23},""SPI1"":{""control_targets"":14,""overlap"":12,""real_targets"":14},""STAT1"":{""control_targets"":16,""overlap"":14,""real_targets"":16}}",f91579afc95b2c8fff1b73f8aa0ae52ea2dea62b59b6aba5419e8b743671a754,False,False,False,False,False
degree_preserving_edge_shuffle_seed_79012,degree_preserving_edge_shuffle,79012.0,53,bbdc0ba6c2246ed2880fb986a9d4fa8e33cebd5b3fb2163cc6b3094344a2a39a,eb68362b2b5299755855ed4d40e85212390143f8e49a261d5745481ce609556f,49,0.8596491228070176,8,"{""ELF1"":{""control_targets"":23,""overlap"":23,""real_targets"":23},""SPI1"":{""control_targets"":14,""overlap"":12,""real_targets"":14},""STAT1"":{""control_targets"":16,""overlap"":14,""real_targets"":16}}",f91579afc95b2c8fff1b73f8aa0ae52ea2dea62b59b6aba5419e8b743671a754,False,False,False,False,False
degree_preserving_edge_shuffle_seed_79013,degree_preserving_edge_shuffle,79013.0,53,3fad44ffbcacaf3d66283bfa65b5f596a472eee6d3eba943216bdb8d32ef208d,865f5f5025146fac4d919d8b5227568881b6b50ae7d8d6ce7a054ae675fc9543,51,0.9272727272727272,4,"{""ELF1"":{""control_targets"":23,""overlap"":23,""real_targets"":23},""SPI1"":{""control_targets"":14,""overlap"":13,""real_targets"":14},""STAT1"":{""control_targets"":16,""overlap"":15,""real_targets"":16}}",d130b46e601f504c939c26fae00df270482eb88228f3963e49d61e138350e7ca,False,False,False,False,False
degree_preserving_edge_shuffle_seed_79014,degree_preserving_edge_shuffle,79014.0,53,9c62219b7aeb6af5ff6a3e89f56c11b26c3acb1baf67f41644cbe3ee5ac80a3e,8b54d4bf4d82a836301a0764b668bcbebaee559dc385de1499c4438d37f28368,49,0.8596491228070176,8,"{""ELF1"":{""control_targets"":23,""overlap"":23,""real_targets"":23},""SPI1"":{""control_targets"":14,""overlap"":12,""real_targets"":14},""STAT1"":{""control_targets"":16,""overlap"":14,""real_targets"":16}}",f91579afc95b2c8fff1b73f8aa0ae52ea2dea62b59b6aba5419e8b743671a754,False,False,False,False,False
degree_preserving_edge_shuffle_seed_79015,degree_preserving_edge_shuffle,79015.0,53,092a27242dd3826511138e1790394204d7f3ac2fefaa6936e197b67100ee1c0c,334045ba0480c371b58e8dc15e17c920a7bfbe8c10ae423842af791ca0835ba2,51,0.9272727272727272,4,"{""ELF1"":{""control_targets"":23,""overlap"":23,""real_targets"":23},""SPI1"":{""control_targets"":14,""overlap"":13,""real_targets"":14},""STAT1"":{""control_targets"":16,""overlap"":15,""real_targets"":16}}",d130b46e601f504c939c26fae00df270482eb88228f3963e49d61e138350e7ca,False,False,False,False,False
degree_preserving_edge_shuffle_seed_79016,degree_preserving_edge_shuffle,79016.0,53,c19e4d8c8fd4d08cdfc4f83dba9597fad11b52feae9982e4a6a20bed1f5e4e71,7ab1b09912e27a235011094e046a738f01cd4181badcb2108808d280bd4f18d6,49,0.8596491228070176,8,"{""ELF1"":{""control_targets"":23,""overlap"":23,""real_targets"":23},""SPI1"":{""control_targets"":14,""overlap"":12,""real_targets"":14},""STAT1"":{""control_targets"":16,""overlap"":14,""real_targets"":16}}",f91579afc95b2c8fff1b73f8aa0ae52ea2dea62b59b6aba5419e8b743671a754,False,False,False,False,False
degree_preserving_edge_shuffle_seed_79017,degree_preserving_edge_shuffle,79017.0,53,496cfbe48601396730f23395c92d6d4cd6937177bc544eefd39d7ecb9258ecae,f7205688b5cbe0af5ad949876a9bbc6aaf38195e3a8df4df195e5280592f75cf,49,0.8596491228070176,8,"{""ELF1"":{""control_targets"":23,""overlap"":23,""real_targets"":23},""SPI1"":{""control_targets"":14,""overlap"":12,""real_targets"":14},""STAT1"":{""control_targets"":16,""overlap"":14,""real_targets"":16}}",f91579afc95b2c8fff1b73f8aa0ae52ea2dea62b59b6aba5419e8b743671a754,False,False,False,False,False
degree_preserving_edge_shuffle_seed_79018,degree_preserving_edge_shuffle,79018.0,53,f1db010b809d34277ff478da4652ea1f499738c7ba8289a18f3279c27d487490,418fcbf9a8a611169bf55d832e699738f68929f110f99c161a6496f1f4c16aa0,51,0.9272727272727272,4,"{""ELF1"":{""control_targets"":23,""overlap"":23,""real_targets"":23},""SPI1"":{""control_targets"":14,""overlap"":13,""real_targets"":14},""STAT1"":{""control_targets"":16,""overlap"":15,""real_targets"":16}}",d130b46e601f504c939c26fae00df270482eb88228f3963e49d61e138350e7ca,False,False,False,False,False
degree_preserving_edge_shuffle_seed_79019,degree_preserving_edge_shuffle,79019.0,53,3fad44ffbcacaf3d66283bfa65b5f596a472eee6d3eba943216bdb8d32ef208d,865f5f5025146fac4d919d8b5227568881b6b50ae7d8d6ce7a054ae675fc9543,51,0.9272727272727272,4,"{""ELF1"":{""control_targets"":23,""overlap"":23,""real_targets"":23},""SPI1"":{""control_targets"":14,""overlap"":13,""real_targets"":14},""STAT1"":{""control_targets"":16,""overlap"":15,""real_targets"":16}}",d130b46e601f504c939c26fae00df270482eb88228f3963e49d61e138350e7ca,False,False,False,False,False
degree_preserving_edge_shuffle_seed_79020,degree_preserving_edge_shuffle,79020.0,53,e60130f6410997acdad4b2a90948a83af02872c9d1b1b2ae169568a3ec6aed0f,4ab4d48f32e18a9918f225f4ce26b7aaa815926c726b241e7bbcf1c3d59d7db5,51,0.9272727272727272,4,"{""ELF1"":{""control_targets"":23,""overlap"":23,""real_targets"":23},""SPI1"":{""control_targets"":14,""overlap"":13,""real_targets"":14},""STAT1"":{""control_targets"":16,""overlap"":15,""real_targets"":16}}",d130b46e601f504c939c26fae00df270482eb88228f3963e49d61e138350e7ca,False,False,False,False,False
degree_preserving_edge_shuffle_seed_79021,degree_preserving_edge_shuffle,79021.0,53,f352b1d8cffbead8f455cd64e6bd38bf5ee4e7023e00f732c7e2abe5507cfbb0,bbffbe003078df299c797b61832a3b5dc8cc23a05479503c54693f3e521598ef,51,0.9272727272727272,4,"{""ELF1"":{""control_targets"":23,""overlap"":23,""real_targets"":23},""SPI1"":{""control_targets"":14,""overlap"":13,""real_targets"":14},""STAT1"":{""control_targets"":16,""overlap"":15,""real_targets"":16}}",d130b46e601f504c939c26fae00df270482eb88228f3963e49d61e138350e7ca,False,False,False,False,False
