epoch,loss,jepa_loss,sea_rehearsal_loss,cellxgene_rehearsal_loss,sea_anchor_cosine,cellxgene_anchor_cosine,pathology_contrastive_loss,pathology_contrastive_weight,embedding_effective_dims,embedding_top_sv_ratio,embedding_mean_dim_std,predictor_effective_dims,predictor_top_sv_ratio,mask_fraction,ema_decay,base_lr,head_lr,steps
1,0.989075294137001,0.989075294137001,3.064601339364259e-09,3.0646140625201213e-09,0.99998180270195,0.9999817728996276,3.137367741601338e-06,0.0,75.7530288696289,0.09673714637756348,0.005574625916779041,30.2803897857666,0.18109233677387238,0.2,0.995,1e-06,2e-05,20
2,0.9891049355268479,0.9891041815280914,3.066707388033052e-09,3.066717613187109e-09,0.9999749392271042,0.9999748975038528,3.0137289627418796e-06,0.25,76.5217056274414,0.10251948237419128,0.00529530830681324,42.11117172241211,0.16521841287612915,0.275,0.996125,1e-06,2e-05,20
3,0.9891459792852402,0.9891445487737656,3.070247145409155e-09,3.070230780721772e-09,0.9999634027481079,0.9999634504318238,2.855127740986063e-06,0.5,76.36941528320312,0.10385868698358536,0.005234244279563427,48.516197204589844,0.12219645082950592,0.35,0.99725,1e-06,2e-05,20
4,0.9891602128744126,0.9891581743955612,3.0731346689627515e-09,3.073149068555381e-09,0.9999540030956269,0.9999539494514466,2.7197693952984993e-06,0.75,76.46725463867188,0.10531460493803024,0.005231160204857588,52.550636291503906,0.07576342672109604,0.425,0.998375,1e-06,2e-05,20
5,0.9891610354185104,0.9891584515571594,3.0746754364763263e-09,3.0746715284912797e-09,0.999948987364769,0.9999489963054657,2.58126314065521e-06,1.0,75.79490661621094,0.10734488070011139,0.005254135467112064,55.54279327392578,0.06266114860773087,0.5,0.9995,1e-06,2e-05,20
6,0.9891620248556137,0.9891594469547271,3.075468058000297e-09,3.0754535584875953e-09,0.9999464154243469,0.9999464482069016,2.5830815161498323e-06,1.0,75.5225601196289,0.10794051736593246,0.005266857333481312,55.99139404296875,0.06041904166340828,0.5,0.9995,1e-06,2e-05,20
7,0.9891711354255677,0.9891685277223587,3.0762746905388385e-09,3.0762612679424705e-09,0.9999437838792801,0.9999438375234604,2.6050991891679588e-06,1.0,75.61762237548828,0.10755060613155365,0.005257068667560816,55.88059616088867,0.061555713415145874,0.5,0.9995,1e-06,2e-05,20
8,0.989174234867096,0.9891716122627259,3.0770503367527624e-09,3.0769838010868965e-09,0.9999412685632706,0.9999414831399918,2.625723561777704e-06,1.0,75.58946228027344,0.10771248489618301,0.005270663183182478,55.572410583496094,0.06377425044775009,0.5,0.9995,1e-06,2e-05,20
9,0.9891743421554565,0.9891716927289963,3.0778347315241205e-09,3.077821086883148e-09,0.999938702583313,0.99993876516819,2.647052974680264e-06,1.0,75.42430877685547,0.10870800912380219,0.005284139420837164,55.4691047668457,0.06143497675657272,0.5,0.9995,1e-06,2e-05,20
10,0.9891850024461746,0.9891823589801788,3.078694799096837e-09,3.078625976371541e-09,0.9999359220266342,0.9999361395835876,2.6407626592117595e-06,1.0,75.49195861816406,0.10859568417072296,0.005287105217576027,55.458396911621094,0.06142081692814827,0.5,0.9995,1e-06,2e-05,20
