model,target,n_donors,r2,mae,spearman
jepa_ema_e20,guhcl abeta40_Grey matter,84,-0.1767829279609725,115.0575714111328,0.2739624781054784
jepa_ema_var_e20,guhcl abeta40_Grey matter,84,-0.1801876823556558,115.60386657714844,0.2718666788162278
jepa_ema_var_e30,guhcl abeta40_Grey matter,84,-0.2883849638042026,126.3981475830078,0.2169607872915591
jepa_ema_var_e10,guhcl abeta40_Grey matter,84,-0.3179003571901784,135.70567321777344,0.2069171501179519
jepa_ema_var_e40,guhcl abeta40_Grey matter,84,-0.3438386566382225,132.3031005859375,0.1609816845366461
pseudobulk,guhcl abeta40_Grey matter,84,-0.4798441115941478,167.62387084960938,0.1460883468389511
jepa_ema_var_e10,guhcl abeta42_Grey matter,84,-0.030636378081434,545.6795043945312,0.3810386809693276
jepa_ema_var_e20,guhcl abeta42_Grey matter,84,0.0601982651571466,522.9444580078125,0.365568318154896
jepa_ema_e20,guhcl abeta42_Grey matter,84,0.0610646663375614,523.0587158203125,0.3646064827704909
jepa_ema_var_e40,guhcl abeta42_Grey matter,84,-0.0832609817132479,560.3184814453125,0.3223667225206161
jepa_ema_var_e30,guhcl abeta42_Grey matter,84,-0.0183418049125563,535.9139404296875,0.3212226446423238
pseudobulk,guhcl abeta42_Grey matter,84,-0.1771706066858855,591.5213012695312,0.3119991421699524
jepa_ema_var_e40,guhcl pTau_Grey matter,84,0.0669361136391278,0.5699683427810669,0.370188876008039
pseudobulk,guhcl pTau_Grey matter,84,-0.0827421688566047,0.5888535380363464,0.3539792597293854
jepa_ema_var_e30,guhcl pTau_Grey matter,84,0.0979430378419637,0.5527017712593079,0.3521163123870465
jepa_ema_e20,guhcl pTau_Grey matter,84,0.0993522032888915,0.5541777610778809,0.3355219528493396
jepa_ema_var_e20,guhcl pTau_Grey matter,84,0.0993660433066738,0.5544537305831909,0.3339425019110343
jepa_ema_var_e10,guhcl pTau_Grey matter,84,-0.0440413690713348,0.5645089149475098,0.2624318482107149
pseudobulk,guhcl tTau_Grey matter,84,-0.0449355257898167,36.785003662109375,0.2979649603366852
jepa_ema_var_e20,guhcl tTau_Grey matter,84,0.0659204689425724,34.79884719848633,0.2700212615166548
jepa_ema_e20,guhcl tTau_Grey matter,84,0.0687687772919779,34.734073638916016,0.265870203503088
jepa_ema_var_e10,guhcl tTau_Grey matter,84,-0.0267412422299069,35.0357666015625,0.2012149438088488
jepa_ema_var_e30,guhcl tTau_Grey matter,84,-0.0134272088514537,37.009544372558594,0.1976511086362255
jepa_ema_var_e40,guhcl tTau_Grey matter,84,-0.0570920747018246,37.41191101074219,0.1682697175255644
pseudobulk,number of 6e10 positive objects per area_Grey matter,84,-0.0473993524402038,6.838553963461891e-05,0.3294252157211303
jepa_ema_var_e10,number of 6e10 positive objects per area_Grey matter,84,-0.1030235616277639,6.879431748529896e-05,0.2346080247851046
jepa_ema_e20,number of 6e10 positive objects per area_Grey matter,84,0.0010376803541209,6.399395351763815e-05,0.22543510615679
jepa_ema_var_e30,number of 6e10 positive objects per area_Grey matter,84,-0.0768960963094469,6.687865970889106e-05,0.2240682805333657
jepa_ema_var_e20,number of 6e10 positive objects per area_Grey matter,84,-0.0007663700721132,6.402092549251392e-05,0.221850985633144
jepa_ema_var_e40,number of 6e10 positive objects per area_Grey matter,84,-0.1588515590564267,7.053556328173727e-05,0.210551893812836
pseudobulk,number of AT8 positive cells per area_Grey matter,84,0.3086970595903451,3.168184093738091e-06,0.5359172224998474
jepa_ema_var_e40,number of AT8 positive cells per area_Grey matter,84,0.1484102266926361,3.405547658985597e-06,0.4708175935021926
jepa_ema_var_e10,number of AT8 positive cells per area_Grey matter,84,0.1373652869095792,3.634575477917679e-06,0.4444050597016437
jepa_ema_var_e30,number of AT8 positive cells per area_Grey matter,84,0.1497851820530067,3.5062180359091144e-06,0.4411034929765751
jepa_ema_var_e20,number of AT8 positive cells per area_Grey matter,84,0.1323464232428417,3.594679583329708e-06,0.408756241075136
jepa_ema_e20,number of AT8 positive cells per area_Grey matter,84,0.1328154406013587,3.5947437027061824e-06,0.4079865506729727
jepa_ema_e20,number of NeuN positive cells per area_Grey matter,84,0.2492977304075875,9.311350004281849e-05,0.4871519692214235
jepa_ema_var_e20,number of NeuN positive cells per area_Grey matter,84,0.2481318799452347,9.323265112470835e-05,0.4864230029361142
jepa_ema_var_e30,number of NeuN positive cells per area_Grey matter,84,0.1882528304510985,9.57846496021375e-05,0.4667611622962438
jepa_ema_var_e10,number of NeuN positive cells per area_Grey matter,84,0.2126282682730452,9.699857764644548e-05,0.464999493773413
pseudobulk,number of NeuN positive cells per area_Grey matter,84,0.1150837715274419,0.0001002852368401,0.4284296929836273
