candidate_id,feature_set_id,model_name,training_status
stage27c_reference,stage27c_reference,reference,reference_only
stage39e_pca8_reference,stage39e_pca8_reference,reference,reference_only
stage39h_context_reference,stage39h_context_reference,reference,reference_only
stage41_safe_multimodal_candidate,latent_plus_safe_multimodal,ridge,skipped_missing_safe_features
