dataset,embedding_space,external_donor_id,condition,module_plaque_response,module_complement,module_lipid_metabolism,module_lysosome_phagocytosis,module_interferon_response,module_inflammatory_signaling,module_at8_associated_first_pass,module_homeostatic_microglia,module_disease_associated_microglia,module_senescence_stress,module_oxidative_stress,module_synapse_pruning,module_antigen_presentation,module_vascular_barrier_myeloid,module_chemokine_migration,n_cells_before_filter,n_cells_after_filter,n_external_groups,n_jepa_genes,n_matched_genes,gene_overlap_fraction
GSE138852_Grubman_Leng,projector,AD1_AD2,AD,0.5092961,0.5788489,0.6055367,0.46699825,0.05127562,0.054049186,0.08662747,0.20888078,0.49915633,0.7218734,0.2529565,0.51410604,0.5149369,0.55205655,0.01453416,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,AD3_AD4,AD,0.4889866,0.48605725,0.49918905,0.3056259,0.11537086,0.107840605,0.17218119,0.3229497,0.45581582,0.1494129,0.17552081,0.4150237,0.81785524,0.4064437,0.03551853,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,AD5_AD6,AD,0.59949595,0.6699042,0.57214147,0.37220582,0.059264734,0.05614892,0.07148597,0.19945268,0.5630132,0.30634525,0.18358877,0.5735283,0.60554767,0.6271574,0.01729507,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,Ct1_Ct2,Control,0.40966737,0.32865727,0.6758968,0.28968745,0.042341847,0.10723375,0.024627285,0.41296887,0.3858312,0.4195629,0.18153352,0.43845093,0.7482653,0.32962206,0.14519915,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,Ct3_Ct4,Control,0.39164153,0.3847228,0.7159979,0.375394,0.06479739,0.14584549,0.06961642,0.45460436,0.37591627,0.33001062,0.18922542,0.4763247,1.0842199,0.44109508,0.16879138,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,Ct5_Ct6,Control,0.38396436,0.47683758,0.577015,0.26009715,0.0556151,0.10485694,0.04305606,0.55988204,0.37256613,0.20039819,0.14021577,0.50306463,0.6042813,0.38665655,0.11215419,13214,449,6,2957,2626,0.8880622252282719
