module,donor_mean,global_mean,zero,same_sign_global_donor,same_sign_all_three,max_abs_delta,global_mean_delta,global_mean_ci_low,global_mean_ci_high,fold_sign_consistency,genes,adjusted_slope,partial_spearman,mean_adjusted_contribution,adjusted_ci_low,adjusted_ci_high,confounder_adjusted_abs_partial_spearman
at8_associated_first_pass,-0.0001574365160195,-0.0024462919682264,-0.0214410293847322,True,True,0.0214410293847322,-0.0024462919682264,-0.0054949947050772,2.779320766421555e-05,0.8,BSG;CHI3L1;CTSD;DRAM1;IL27RA;NFKBIA;PTPRG;S100A4;SLC6A12;TNFRSF11B,10.736912727355955,0.4405183760251088,-5.6677631476986796e-08,-0.0816467382013797,0.0879753744229674,0.4405183760251088
interferon_response,0.0002976479299832,0.0005492986529134,0.0029780406039208,True,True,0.0029780406039208,0.0005492986529134,0.0001438331350072,0.0010551567218499,1.0,IFI27;IFI44;IFI44L;IFIT1;IFIT2;IFIT3;ISG15;MX1;OAS1;STAT1,0.0737121477723121,-0.0258175559380378,-3.1044086745701804e-10,-0.0006717453434248,0.0007470046199159,0.0258175559380378
senescence_stress,0.0001450699346605,0.0003315994981676,0.0015738914953544,True,True,0.0015738914953544,0.0003315994981676,-0.000722633866826,0.0013318027107743,0.6,CDKN1A;CDKN2A;DDIT3;FOS;GADD45A;HSP90AA1;HSPA1A;HSPA1B;JUN;SERPINE1,0.90791118144989,0.106368330464716,-5.924985657657089e-08,-0.0116334608756005,0.0115681184921413,0.106368330464716
lysosome_phagocytosis,0.0005467744194902,0.0001595604262547,-0.0181956086307764,True,False,0.0181956086307764,0.0001595604262547,-0.0006855465457192,0.0008752048786845,0.4,CD68;CTSB;CTSD;CTSS;FCGR3A;LAMP1;LAMP2;LAPTM5;MERTK;NPC2,-4.429033756256104,-0.1542168674698795,1.558413060820385e-07,-0.0381424067541956,0.0395587880164384,0.1542168674698795
disease_associated_microglia,0.0009902266319841,0.000615335535258,-0.014118636958301,True,False,0.014118636958301,0.000615335535258,-0.0004773373038915,0.0016296716872602,0.6,APOE;AXL;CD9;CLEC7A;CST7;CTSD;GPNMB;ITGAX;LGALS3;LPL;SPP1;TREM2;TYROBP,-3.119514942169189,-0.1236610306773311,1.216928211533741e-07,-0.0269767990801483,0.0281720316968858,0.1236610306773311
plaque_response,0.0009937621653079,0.000648888584692,-0.0135094579309225,True,False,0.0135094579309225,0.000648888584692,-0.0003962095484894,0.0016164000728167,0.6,APOE;AXL;CLEC7A;CST7;CTSD;GPNMB;ITGAX;LGALS3;LPL;SPP1;TREM2;TYROBP,-2.9118218421936035,-0.1292700212615166,-6.7410015347491026e-09,-0.0266404545865952,0.027252276148647,0.1292700212615166
vascular_barrier_myeloid,0.0019835066050291,0.0016553334426134,-0.0115298889577388,True,False,0.0115298889577388,0.0016553334426134,0.0008653062090161,0.0025102574494667,1.0,C1QA;C1QB;C1QC;CD163;F13A1;LYVE1;MARCO;MERTK;MRC1;MSR1,-5.560914039611816,-0.2822921939860282,-2.043587841171757e-07,-0.0659606594592332,0.0629802342504262,0.2822921939860282
lipid_metabolism,0.0008429571171291,0.000761741597671,-0.0102258566766977,True,False,0.0102258566766977,0.000761741597671,0.0002534346291213,0.0012187712534796,1.0,ABCA1;ABCA7;APOE;CLU;LPL;MSR1;PLCG2;SORL1;TREM2,-5.632773399353027,-0.3138199858256555,-3.013937259765953e-07,-0.047812080476433,0.0497604060918092,0.3138199858256555
homeostatic_microglia,0.0004907234688289,-0.0003574533038772,0.0093044200912117,False,False,0.0093044200912117,-0.0003574533038772,-0.0013008131703827,0.0004880147527728,0.4,CSF1R;CX3CR1;GPR34;HEXB;OLFML3;P2RY12;P2RY13;SALL1;SELPLG;TMEM119,-0.9361023902893066,-0.0485775032904728,4.723136104445302e-09,-0.006742616649717,0.0063553691259585,0.0485775032904728
antigen_presentation,0.000564799120184,0.0006558058666996,-0.0092026907950639,True,False,0.0092026907950639,0.0006558058666996,0.0001566173592436,0.0011287900153547,0.8,B2M;CD74;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;TAP1;TAP2,-1.8415766954422,-0.1149336843171003,4.700961397929859e-09,-0.0236035291105508,0.0214317323174327,0.1149336843171003
