resource_name,resource_class,url,output,exists,size_bytes,expected_size,required_for_stage75b_scenicplus,required_for_stage75c
hg38_chrom_sizes,small,https://hgdownload.soe.ucsc.edu/goldenPath/hg38/bigZips/hg38.chrom.sizes,data/external_resources/stage75b/hg38.chrom.sizes,True,11672,,False,True
gencode_v44_gtf,small,https://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_44/gencode.v44.annotation.gtf.gz,data/external_resources/stage75b/gencode.v44.annotation.gtf.gz,True,49721965,,False,True
cistarget_rankings_sha1,small,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg38/screen/mc_v10_clust/region_based/hg38_screen_v10_clust.regions_vs_motifs.rankings.feather.sha1sum.txt,data/external_resources/stage75b/hg38_screen_v10_clust.regions_vs_motifs.rankings.feather.sha1sum.txt,True,99,,True,False
cistarget_scores_sha1,small,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg38/screen/mc_v10_clust/region_based/hg38_screen_v10_clust.regions_vs_motifs.scores.feather.sha1sum.txt,data/external_resources/stage75b/hg38_screen_v10_clust.regions_vs_motifs.scores.feather.sha1sum.txt,True,97,,True,False
hg38_screen_region_motif_rankings,large,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg38/screen/mc_v10_clust/region_based/hg38_screen_v10_clust.regions_vs_motifs.rankings.feather,data/external_resources/stage75b/hg38_screen_v10_clust.regions_vs_motifs.rankings.feather,False,0,33G,True,False
hg38_screen_region_motif_scores,large,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg38/screen/mc_v10_clust/region_based/hg38_screen_v10_clust.regions_vs_motifs.scores.feather,data/external_resources/stage75b/hg38_screen_v10_clust.regions_vs_motifs.scores.feather,False,0,13G,True,False
