model_variant,latent_dim,seed,mean_pooled_oof_spearman,delta_vs_stage27c_locked,delta_vs_stage41c_credible_unlocked
all_branches_jepa,8,107,0.31890655057203604,-0.007795889440113446,-0.04918092538220109
programming_only_jepa,8,107,0.3182423812898653,-0.00846005872228417,-0.049845094664371814
programming_plus_heterogeneity_jepa,8,107,0.3180722891566265,-0.008630150855522989,-0.05001518679761063
programming_plus_composition_jepa,8,107,0.3172461273666093,-0.009456312645540199,-0.050841348587627844
negative_control_programming_plus_donor_shuffled_heterogeneity,8,107,0.31597043636731803,-0.010732003644831456,-0.0521170395869191
heterogeneity_only_jepa,8,211,0.27465424724106513,-0.052048192771084356,-0.093433228713172
heterogeneity_plus_composition_jepa,16,107,0.23600688468158348,-0.090695555330566,-0.13208059127265365
composition_only_jepa,16,307,0.21327933583071781,-0.11342310418143167,-0.15480814012351932
programming_residualized_against_composition_jepa,8,107,0.0045155411562215145,-0.322186898855928,-0.36357193479801564
