gene,module,mean_donor_delta,bootstrap_ci_low,bootstrap_ci_high,adjusted_slope,partial_spearman,model_implied_at8_reducing_knockout,confounder_adjusted_abs_partial_spearman,at8_pseudobulk_score,is_hpa_fda_drug_target,is_hpa_predicted_secreted,is_hpa_predicted_membrane,biology_score,translational_bonus,translational_priority_score,translational_category
FBXW4,,,,,,,,,-0.11375408,0,0,0,0.03214319810839365,0.0,0.03214319810839365,biology_first_hard_target
SNX9,,,,,,,,,-0.113752194,0,0,0,0.03214266508563754,0.0,0.03214266508563754,biology_first_hard_target
RPL41,,,,,,,,,0.11368616,0,0,0,0.032124002506275236,0.0,0.032124002506275236,biology_first_hard_target
COMMD1,,,,,,,,,-0.11361008,0,0,0,0.03210250071874331,0.0,0.03210250071874331,biology_first_hard_target
CHM,,,,,,,,,0.1136077,0,0,0,0.032101828081331024,0.0,0.032101828081331024,biology_first_hard_target
TIGAR,,,,,,,,,0.11358768,0,0,0,0.03209617001368658,0.0,0.03209617001368658,biology_first_hard_target
ZMIZ1,,,,,,,,,0.11356026,0,0,0,0.03208842055240733,0.0,0.03208842055240733,biology_first_hard_target
SERPINB9,,,,,,,,,-0.11322342,0,0,0,0.03199322257511688,0.0,0.03199322257511688,biology_first_hard_target
STK4,,,,,,,,,0.112902716,0,0,0,0.031902584966433355,0.0,0.031902584966433355,biology_first_hard_target
GRB2,,,,,,,,,-0.11289468,0,0,0,0.03190031382599426,0.0,0.03190031382599426,biology_first_hard_target
DENND11,,,,,,,,,0.112873815,0,0,0,0.03189441694380638,0.0,0.03189441694380638,biology_first_hard_target
CMC1,,,,,,,,,0.11274045,0,0,0,0.03185672522595417,0.0,0.03185672522595417,biology_first_hard_target
UBE2D2,,,,,,,,,0.112704225,0,0,0,0.03184648728887025,0.0,0.03184648728887025,biology_first_hard_target
PBRM1,,,,,,,,,0.11245762,0,0,0,0.03177679159599021,0.0,0.03177679159599021,biology_first_hard_target
FUS,,,,,,,,,-0.11233885,0,0,0,0.03174322472815152,0.0,0.03174322472815152,biology_first_hard_target
SCIN,,,,,,,,,0.11232656,0,0,0,0.03173975131899316,0.0,0.03173975131899316,biology_first_hard_target
CTBP2,,,,,,,,,-0.11224165,0,0,0,0.03171575399013753,0.0,0.03171575399013753,biology_first_hard_target
ZNF562,,,,,,,,,0.11220988,0,0,0,0.03170677512854591,0.0,0.03170677512854591,biology_first_hard_target
PADI2,,,,,,,,,0.11216737,0,0,0,0.031694760919976216,0.0,0.031694760919976216,biology_first_hard_target
TMSB4X,,,,,,,,,-0.11196159,0,0,0,0.03163660321968282,0.0,0.03163660321968282,biology_first_hard_target
RAB12,,,,,,,,,0.11193629,0,0,0,0.031629452914417856,0.0,0.031629452914417856,biology_first_hard_target
ARIH2,,,,,,,,,0.1118789,0,0,0,0.031613233308917625,0.0,0.031613233308917625,biology_first_hard_target
MAPK8IP3,,,,,,,,,0.11132193,0,0,0,0.03145582202340682,0.0,0.03145582202340682,biology_first_hard_target
RAB10,,,,,,,,,0.11103078,0,0,0,0.031373536988707505,0.0,0.031373536988707505,biology_first_hard_target
SWAP70,,,,,,,,,0.110977,0,0,0,0.03135833764415615,0.0,0.03135833764415615,biology_first_hard_target
NFIA,,,,,,,,,0.110516936,0,0,0,0.03122831400615545,0.0,0.03122831400615545,biology_first_hard_target
USP40,,,,,,,,,-0.11046036,0,0,0,0.031212324453955043,0.0,0.031212324453955043,biology_first_hard_target
SAT1,,,,,,,,,-0.11045245,0,0,0,0.03121008892373189,0.0,0.03121008892373189,biology_first_hard_target
UBL3,,,,,,,,,-0.11036228,0,0,0,0.031184605009670976,0.0,0.031184605009670976,biology_first_hard_target
NAA16,,,,,,,,,0.1100804,0,0,0,0.03110493986943041,0.0,0.03110493986943041,biology_first_hard_target
DIS3L2,,,,,,,,,-0.10993685,0,0,0,0.031064369659122716,0.0,0.031064369659122716,biology_first_hard_target
AC066613.2,,,,,,,,,0.10993163,0,0,0,0.03106289437874789,0.0,0.03106289437874789,biology_first_hard_target
FNIP1,,,,,,,,,0.10975449,0,0,0,0.031012830937062724,0.0,0.031012830937062724,biology_first_hard_target
RALGAPB,,,,,,,,,0.10965748,0,0,0,0.030985413896993413,0.0,0.030985413896993413,biology_first_hard_target
PLSCR1,,,,,,,,,0.10954823,0,0,0,0.03095453757880382,0.0,0.03095453757880382,biology_first_hard_target
BASP1,,,,,,,,,0.10917082,0,0,0,0.030847873677220913,0.0,0.030847873677220913,biology_first_hard_target
STAM2,,,,,,,,,-0.10907061,0,0,0,0.030819552250714928,0.0,0.030819552250714928,biology_first_hard_target
MTREX,,,,,,,,,-0.10904658,0,0,0,0.030812760873817027,0.0,0.030812760873817027,biology_first_hard_target
DHX9,,,,,,,,,0.108923316,0,0,0,0.030777923908276324,0.0,0.030777923908276324,biology_first_hard_target
TSC22D2,,,,,,,,,0.108889416,0,0,0,0.0307683430644628,0.0,0.0307683430644628,biology_first_hard_target
PITPNB,,,,,,,,,0.10875534,0,0,0,0.03073045040324919,0.0,0.03073045040324919,biology_first_hard_target
TBC1D15,,,,,,,,,0.108408235,0,0,0,0.03063235132384234,0.0,0.03063235132384234,biology_first_hard_target
SCP2,,,,,,,,,-0.10836678,0,0,0,0.030620635280175987,0.0,0.030620635280175987,biology_first_hard_target
RFFL,,,,,,,,,0.10818248,0,0,0,0.030568548273838758,0.0,0.030568548273838758,biology_first_hard_target
PRKACB,,,,,,,,,0.10814743,0,0,0,0.030558642416149563,0.0,0.030558642416149563,biology_first_hard_target
MAGI2,,,,,,,,,-0.10785912,0,0,0,0.030477160024412805,0.0,0.030477160024412805,biology_first_hard_target
XPO6,,,,,,,,,0.10777872,0,0,0,0.030454437315191353,0.0,0.030454437315191353,biology_first_hard_target
YAF2,,,,,,,,,0.10696218,0,0,0,0.030223666158628173,0.0,0.030223666158628173,biology_first_hard_target
CEBPD,,,,,,,,,-0.10669292,0,0,0,0.030147567692397237,0.0,0.030147567692397237,biology_first_hard_target
TUBA1B,,,,,,,,,0.1066586,0,0,0,0.030137868147863907,0.0,0.030137868147863907,biology_first_hard_target
ATF2,,,,,,,,,0.106646456,0,0,0,0.030134436001336723,0.0,0.030134436001336723,biology_first_hard_target
PDK3,,,,,,,,,-0.1065899,0,0,0,0.03011845210155155,0.0,0.03011845210155155,biology_first_hard_target
ZNF654,,,,,,,,,0.10653958,0,0,0,0.03010423062483484,0.0,0.03010423062483484,biology_first_hard_target
PDCD4,,,,,,,,,0.106484674,0,0,0,0.030088713049306076,0.0,0.030088713049306076,biology_first_hard_target
PIK3AP1,,,,,,,,,0.10634434,0,0,0,0.03004905174736724,0.0,0.03004905174736724,biology_first_hard_target
RGL1,,,,,,,,,0.10627079,0,0,0,0.0300282649903618,0.0,0.0300282649903618,biology_first_hard_target
ACTR3,,,,,,,,,-0.10620125,0,0,0,0.030008611542609816,0.0,0.030008611542609816,biology_first_hard_target
CEBPB,,,,,,,,,0.10619497,0,0,0,0.03000683668422784,0.0,0.03000683668422784,biology_first_hard_target
DARS,,,,,,,,,0.106134444,0,0,0,0.029989730780019666,0.0,0.029989730780019666,biology_first_hard_target
DCUN1D1,,,,,,,,,0.10567738,0,0,0,0.02986055500430336,0.0,0.02986055500430336,biology_first_hard_target
