graph_variant,alpha,tail_mean_abs_delta_vs_raw,mean_abs_delta_vs_raw,tail_preservation_fraction,mean_preservation_fraction
hub_capped,0.05,0.004102388555364597,-0.0005571692071899912,0.6933333333333334,0.45
hub_capped,0.1,0.007149521123579024,2.9339861385839842e-05,0.7233333333333334,0.48333333333333334
hub_capped,0.25,0.017159576499819452,0.0004195104631474076,0.7333333333333333,0.45
hub_capped,0.5,0.036683167771495724,0.00013030536578189945,0.7033333333333334,0.45
hub_capped,1.0,0.013506720430717477,-0.03838203788454531,0.5566666666666666,0.36666666666666664
hub_removed,0.05,-0.008714859562144224,-0.019549316769732313,0.5466666666666666,0.48333333333333334
hub_removed,0.1,-0.005928265112880887,-0.01784798968079371,0.6033333333333334,0.48333333333333334
hub_removed,0.25,0.003889246768652585,-0.017412360659332164,0.6366666666666667,0.35
hub_removed,0.5,0.01879549958266066,-0.011083550795585833,0.6466666666666666,0.43333333333333335
hub_removed,1.0,-0.00023592796173474835,-0.04284083174444322,0.49666666666666665,0.3
signature_subgraph,0.05,-0.01293636941347377,-0.010983748053867698,0.36,0.36666666666666664
signature_subgraph,0.1,-0.013395979401087305,-0.010658743544187029,0.31,0.35
signature_subgraph,0.25,-0.0160648129502159,-0.010787157462638235,0.3,0.36666666666666664
signature_subgraph,0.5,-0.024631326722992432,-0.014835927485505695,0.24,0.35
signature_subgraph,1.0,-0.03848029647175955,-0.01939689561509679,0.24333333333333335,0.31666666666666665
uncapped,0.05,0.004175537026718176,0.00041465317197434255,0.7,0.5833333333333334
uncapped,0.1,0.007760411664402872,0.0012371756524615155,0.73,0.5833333333333334
uncapped,0.25,0.019463418983742292,0.003227470151973823,0.76,0.5
uncapped,0.5,0.03973774423925341,0.0037406357772408693,0.7466666666666667,0.45
uncapped,1.0,0.02838102368330733,-0.027694413160290077,0.5633333333333334,0.4
