gene,final_tier,promotion_reason,deprioritization_reason,scorecard_interpretation,graph_interpretation,next_validation_priority,targeted_manifold_audit_recommended,pathology_axis_class,therapeutic_like_score_percentile,tau_lowering_score_percentile,neuron_preservation_score_percentile,gliosis_penalty_percentile,broad_shift_score_percentile,negative_control_interpretation,graph_neighborhood_label,prior_candidate_flag,known_biology_note,caution_note,recommended_next_validation,claim_boundary,manifold_violation_fraction,mean_nearest_real_cell_distance,p95_nearest_real_cell_distance,baseline_nn_p95_threshold,mean_latent_shift,median_latent_shift,manifold_nn_backend,targeted_manifold_audited,manifold_qc_status,manifold_qc_interpretation,promotion_or_demotion_after_manifold,final_evidence_tier_v2,final_candidate_status_v2
UGCG,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,dual_pathology_lowering_neuron_preserving,99.62630792227203,98.20627802690582,98.6173393124066,43.90881913303439,87.4439461883408,class_calibration=enriched_vs_degree_matched_null; prior_set=not_enriched_vs_random_and_degree_matched; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,True,Glycosphingolipid synthesis enzyme and lipid-state hypothesis anchor.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",0.0,0.0027797736693173,0.0095683196559548,0.0174692813307046,0.0002703874488361,0.0002998457930516,torch,True,manifold_safe,targeted_perturbation_remained_within_sampled_latent_support,manifold_qc_pass_support_retained,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass
SLC38A9,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,tau_lowering_neuron_preserving,99.2899850523169,98.355754857997,88.67713004484304,14.8355754857997,88.71449925261584,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",0.0,0.0027493464294821,0.0095683196559548,0.0174692813307046,0.0001916103065013,0.0001784468622645,torch,True,manifold_safe,targeted_perturbation_remained_within_sampled_latent_support,manifold_qc_pass_support_retained,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass
MDM2,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,tau_lowering_neuron_preserving,99.2526158445441,98.91629297458894,94.76831091180868,56.98804185351271,67.63826606875935,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",0.0,0.0027208526153117,0.0095683196559548,0.0174692813307046,0.0003023139433935,0.0002762361546047,torch,True,manifold_safe,targeted_perturbation_remained_within_sampled_latent_support,manifold_qc_pass_support_retained,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass
SMARCA4,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,dual_pathology_lowering_neuron_preserving,99.1778774289985,96.9357249626308,97.23467862481316,48.01943198804185,79.11061285500747,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",0.0,0.0027945202309638,0.0095683196559548,0.0174692813307046,0.0002503738505765,0.0001837362506194,torch,True,manifold_safe,targeted_perturbation_remained_within_sampled_latent_support,manifold_qc_pass_support_retained,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass
AP1G1,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,dual_pathology_lowering_neuron_preserving,99.14050822122572,90.50822122571002,97.68310911808668,14.8355754857997,86.6965620328849,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",0.0,0.0027562987525016,0.0095683196559548,0.0174692813307046,0.0002231105027021,0.0001804898492991,torch,True,manifold_safe,targeted_perturbation_remained_within_sampled_latent_support,manifold_qc_pass_support_retained,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass
TLR2,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,tau_lowering_neuron_preserving,99.10313901345292,97.12257100149478,96.52466367713004,47.23467862481316,73.24364723467862,class_calibration=enriched_vs_degree_matched_null; prior_set=not_enriched_vs_random_and_degree_matched; singleton_context=too_few_genes; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,True,Innate immune pattern-recognition receptor previously prioritized by the project.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",0.0,0.0027959132567048,0.0095683196559548,0.0174692813307046,0.0002924346772488,0.0002396635100012,torch,True,manifold_safe,targeted_perturbation_remained_within_sampled_latent_support,manifold_qc_pass_support_retained,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass
NEMF,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,tau_lowering_neuron_preserving,99.06576980568012,98.80418535127056,69.99252615844544,14.8355754857997,88.52765321375186,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",0.0,0.0027602789923548,0.0095683196559548,0.0174692813307046,0.0002422945690341,0.0002672545961104,torch,True,manifold_safe,targeted_perturbation_remained_within_sampled_latent_support,manifold_qc_pass_support_retained,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass
BAZ1A,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,dual_pathology_lowering_neuron_preserving,98.87892376681614,95.62780269058295,92.60089686098657,14.8355754857997,89.57399103139014,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",0.0,0.0027655276935547,0.0095683196559548,0.0174692813307046,0.0002282088244101,0.0002057215024251,torch,True,manifold_safe,targeted_perturbation_remained_within_sampled_latent_support,manifold_qc_pass_support_retained,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass
GMDS,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,tau_lowering_neuron_preserving,98.72944693572497,96.44992526158444,89.0881913303438,14.8355754857997,87.81763826606877,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",0.0,0.0027520805597305,0.0095683196559548,0.0174692813307046,0.0002177848946303,0.0002384726249147,torch,True,manifold_safe,targeted_perturbation_remained_within_sampled_latent_support,manifold_qc_pass_support_retained,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass
BTBD9,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,tau_lowering_neuron_preserving,98.69207772795215,94.43198804185351,93.19880418535126,14.8355754857997,83.74439461883408,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",0.0,0.0027669260744005,0.0095683196559548,0.0174692813307046,0.0002289185213157,0.0002585772890597,torch,True,manifold_safe,targeted_perturbation_remained_within_sampled_latent_support,manifold_qc_pass_support_retained,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass
