model_variant,target,pooled_oof_spearman,n_donors,mean_pooled_oof_spearman
beta0_diffusion_jepa,6e10/A_beta,0.2748607876885694,84,0.3042340791738382
beta0_diffusion_jepa,AT8,0.4054672471398198,84,0.3042340791738382
beta0_diffusion_jepa,GFAP,0.25827680469778275,84,0.3042340791738382
beta0_diffusion_jepa,Iba1,0.10233876683203401,84,0.3042340791738382
beta0_diffusion_jepa,NeuN,0.4802267895109851,84,0.3042340791738382
degree_preserving_shuffled_graph_jepa,6e10/A_beta,0.2748607876885694,84,0.3042340791738382
degree_preserving_shuffled_graph_jepa,AT8,0.4054672471398198,84,0.3042340791738382
degree_preserving_shuffled_graph_jepa,GFAP,0.25827680469778275,84,0.3042340791738382
degree_preserving_shuffled_graph_jepa,Iba1,0.10233876683203401,84,0.3042340791738382
degree_preserving_shuffled_graph_jepa,NeuN,0.4802267895109851,84,0.3042340791738382
gene_label_shuffled_graph_jepa,6e10/A_beta,0.2748607876885694,84,0.3042340791738382
gene_label_shuffled_graph_jepa,AT8,0.4054672471398198,84,0.3042340791738382
gene_label_shuffled_graph_jepa,GFAP,0.25827680469778275,84,0.3042340791738382
gene_label_shuffled_graph_jepa,Iba1,0.10233876683203401,84,0.3042340791738382
gene_label_shuffled_graph_jepa,NeuN,0.4802267895109851,84,0.3042340791738382
identity_diffusion_jepa,6e10/A_beta,0.2748607876885694,84,0.3042340791738382
identity_diffusion_jepa,AT8,0.4054672471398198,84,0.3042340791738382
identity_diffusion_jepa,GFAP,0.25827680469778275,84,0.3042340791738382
identity_diffusion_jepa,Iba1,0.10233876683203401,84,0.3042340791738382
identity_diffusion_jepa,NeuN,0.4802267895109851,84,0.3042340791738382
random_graph_diffusion_jepa,6e10/A_beta,0.2748607876885694,84,0.3042340791738382
random_graph_diffusion_jepa,AT8,0.4054672471398198,84,0.3042340791738382
random_graph_diffusion_jepa,GFAP,0.25827680469778275,84,0.3042340791738382
random_graph_diffusion_jepa,Iba1,0.10233876683203401,84,0.3042340791738382
random_graph_diffusion_jepa,NeuN,0.4802267895109851,84,0.3042340791738382
raw_jepa_no_graph,6e10/A_beta,0.2748607876885694,84,0.3042340791738382
raw_jepa_no_graph,AT8,0.4054672471398198,84,0.3042340791738382
raw_jepa_no_graph,GFAP,0.25827680469778275,84,0.3042340791738382
raw_jepa_no_graph,Iba1,0.10233876683203401,84,0.3042340791738382
raw_jepa_no_graph,NeuN,0.4802267895109851,84,0.3042340791738382
real_string_t900_diffusion_jepa,6e10/A_beta,0.2748607876885694,84,0.3042340791738382
real_string_t900_diffusion_jepa,AT8,0.4054672471398198,84,0.3042340791738382
real_string_t900_diffusion_jepa,GFAP,0.25827680469778275,84,0.3042340791738382
real_string_t900_diffusion_jepa,Iba1,0.10233876683203401,84,0.3042340791738382
real_string_t900_diffusion_jepa,NeuN,0.4802267895109851,84,0.3042340791738382
