gene,pathology_axis_class,therapeutic_like_score_percentile,tau_direction_stability,amyloid_direction_stability,neuron_direction_stability,gliosis_noninflating_stability,minimum_required_directional_stability,failed_required_axes,gfap_positive_fraction,iba1_positive_fraction,both_gfap_iba1_positive_fraction,mean_GFAP_delta,mean_Iba1_delta,median_GFAP_delta,median_Iba1_delta,max_GFAP_delta,max_Iba1_delta,donor_count,top_gliosis_contributing_donors,top_gliosis_donor_share,failure_pattern
UGCG,dual_pathology_lowering_neuron_preserving,99.62630792227203,1.0,1.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.5617977528089888,0.7191011235955056,0.5617977528089888,0.0032738112338202246,0.0028730402942067418,0.0038938522,0.003159523,0.09263992,0.027299881,89,H18.30.001:0.117342;H200.1023:0.113245;H18.30.002:0.0477455;H19.33.004:0.0458436;H20.33.046:0.0448039,0.09849539330245013,passes_non_gliosis_axes_fails_gliosis_only
SLC38A9,tau_lowering_neuron_preserving,99.2899850523169,1.0,1.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.19101123595505617,0.38202247191011235,0.0,-0.036775302271910115,-0.006570499959438201,-0.039758682,-0.005094528,0.3633585,0.08300018,89,H200.1023:0.363358;H18.30.001:0.0830002;H21.33.017:0.0786223;H21.33.004:0.0573778;H21.33.033:0.0490131,0.33027464776933313,passes_non_gliosis_axes_fails_gliosis_only
MDM2,tau_lowering_neuron_preserving,99.2526158445441,1.0,0.761,1.0,0.0,0.0,gliosis_noninflating_stability,0.5393258426966292,0.6966292134831461,0.5393258426966292,0.009165134348314605,0.004164500178595505,0.011889458,0.004239559,0.21367979,0.02981186,89,H20.33.015:0.243492;H20.33.038:0.216728;H21.33.036:0.159388;H20.33.034:0.142502;H20.33.043:0.12823,0.07219061035228959,passes_non_gliosis_axes_fails_gliosis_only
SMARCA4,dual_pathology_lowering_neuron_preserving,99.1778774289985,1.0,1.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.4157303370786517,0.7415730337078652,0.15730337078651685,-0.0033319934531460677,0.008119091573202246,-0.001812458,0.006433487,0.018482208,0.055475235,89,H200.1023:0.0554752;H18.30.001:0.0529175;H20.33.014:0.0336547;H19.30.002:0.0328816;H19.30.001:0.0306983,0.04760390322287131,passes_non_gliosis_axes_fails_gliosis_only
AP1G1,dual_pathology_lowering_neuron_preserving,99.14050822122572,1.0,1.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.30337078651685395,0.2247191011235955,0.0,-0.027801291375730338,-0.0054569002905617975,-0.02508974,-0.0065727234,0.051990032,0.055395126,89,H18.30.001:0.0553951;H200.1023:0.0539265;H21.33.010:0.05199;H20.33.031:0.0499239;H20.33.008:0.045788,0.06390374000039259,passes_non_gliosis_axes_fails_gliosis_only
TLR2,tau_lowering_neuron_preserving,99.10313901345292,1.0,0.91,0.983,0.0,0.0,gliosis_noninflating_stability,0.5168539325842697,0.6067415730337079,0.5168539325842697,-0.006572841169662923,0.007865364578651685,0.009181023,0.018667698,0.23565292,0.20534325,89,H200.1023:0.440996;H21.33.025:0.378333;H20.33.027:0.334535;H20.33.008:0.327193;H20.33.034:0.312968,0.06389163810029005,passes_non_gliosis_axes_fails_gliosis_only
NEMF,tau_lowering_neuron_preserving,99.06576980568012,1.0,1.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.02247191011235955,0.449438202247191,0.02247191011235955,-0.04811552130898875,-0.0012833000230561794,-0.04856062,-0.0019216537,0.1386528,0.095767975,89,H18.30.001:0.234421;H20.33.026:0.0242968;H21.33.021:0.0212686;H20.33.035:0.0201826;H20.33.024:0.0191846,0.40935439058715445,passes_non_gliosis_axes_fails_gliosis_only
BAZ1A,dual_pathology_lowering_neuron_preserving,98.87892376681614,1.0,1.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.3258426966292135,0.2247191011235955,0.2247191011235955,-0.03437734436516854,-0.01762933950561798,-0.032233715,-0.01666069,0.18552017,0.0476408,89,H20.33.026:0.233161;H21.33.020:0.216046;H21.33.013:0.154955;H21.33.042:0.152885;H21.33.003:0.131387,0.10522692398256854,passes_non_gliosis_axes_fails_gliosis_only
GMDS,tau_lowering_neuron_preserving,98.72944693572497,1.0,1.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.1797752808988764,0.0,0.0,-0.02416917177752809,-0.026885868421348314,-0.02568245,-0.026842594,0.031727314,-0.011269093,89,H21.33.039:0.0317273;H21.33.042:0.0276866;H20.33.017:0.0228562;H21.33.008:0.022728;H20.33.002:0.0167422,0.17347989616922796,passes_non_gliosis_axes_fails_gliosis_only
BTBD9,tau_lowering_neuron_preserving,98.69207772795215,1.0,1.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.10112359550561797,0.033707865168539325,0.033707865168539325,-0.03835341632719101,-0.009084485897977527,-0.033629894,-0.008529425,0.11829567,0.009004593,89,H18.30.001:0.1273;H21.33.041:0.0302997;H20.33.026:0.0292053;H21.33.016:0.0175982;H21.33.039:0.0135164,0.5217275757653932,passes_non_gliosis_axes_fails_gliosis_only
ARHGEF7,tau_lowering_neuron_preserving,98.65470852017935,1.0,1.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.39325842696629215,0.033707865168539325,0.0,-0.006526451455955056,-0.0054832683606741576,-0.0028176308,-0.0056085587,0.060896873,0.013568878,89,H21.33.001:0.0608969;H21.33.009:0.0528564;H21.33.042:0.026659;H21.33.019:0.0245714;H20.33.015:0.0231032,0.12786874854807764,passes_non_gliosis_axes_fails_gliosis_only
LRCH3,tau_lowering_neuron_preserving,98.6173393124066,1.0,1.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.15730337078651685,0.797752808988764,0.15730337078651685,-0.020626483323411236,0.00637238482364045,-0.020048141,0.005829811,0.13058949,0.058078766,89,H18.30.001:0.182519;H200.1023:0.179668;H20.33.029:0.041465;H21.33.036:0.0404148;H21.33.017:0.038321,0.17786534050802078,passes_non_gliosis_axes_fails_gliosis_only
KIF1B,tau_lowering_neuron_preserving,98.5799701046338,1.0,0.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.20224719101123595,0.21348314606741572,0.20224719101123595,-0.007514841102471909,-0.005317832616179775,-0.0077188015,-0.0056123734,0.02662754,0.018762589,89,H20.33.024:0.0453901;H20.33.035:0.0424175;H21.33.009:0.0194139;H21.33.004:0.0161626;H21.33.013:0.0110502,0.207116233653165,passes_non_gliosis_axes_fails_gliosis_only
RAD51B,tau_lowering_neuron_preserving,98.542600896861,1.0,0.997,1.0,0.0,0.0,gliosis_noninflating_stability,0.2247191011235955,0.02247191011235955,0.0,-0.0076893795450561795,-0.02253056240112359,-0.008508921,-0.021483898,0.036878586,0.0026168823,89,H20.33.034:0.0368786;H21.33.043:0.0223799;H21.33.039:0.0190463;H21.33.031:0.0179367;H20.33.024:0.0149813,0.19818446273810816,passes_non_gliosis_axes_fails_gliosis_only
PI4KA,tau_lowering_neuron_preserving,98.4678624813154,1.0,0.827,1.0,0.052,0.052,gliosis_noninflating_stability,0.0,0.033707865168539325,0.0,-0.010917725160674156,-0.007650352576516856,-0.01093483,-0.008160114,-0.0068335533,0.022137642,89,H200.1023:0.0221376;H18.30.001:0.0211372;H19.30.002:0.00194037;H18.30.002:0;H19.30.001:0,0.4896056572913401,passes_non_gliosis_axes_fails_gliosis_only
PTPRE,tau_lowering_neuron_preserving,98.4304932735426,1.0,0.808,1.0,0.0,0.0,gliosis_noninflating_stability,0.29213483146067415,0.14606741573033707,0.14606741573033707,-0.04074710932505618,-0.03815106197674157,-0.034653664,-0.029695034,0.10765982,0.042736053,89,H18.30.001:0.148987;H21.33.003:0.143818;H21.33.039:0.118084;H21.33.025:0.108608;H20.33.044:0.0989699,0.12342020256233414,passes_non_gliosis_axes_fails_gliosis_only
STARD13,tau_lowering_neuron_preserving,98.3931240657698,1.0,0.986,1.0,0.0,0.0,gliosis_noninflating_stability,0.29213483146067415,0.4044943820224719,0.29213483146067415,-0.04309437751460674,-0.005182489978426966,-0.045606613,-0.0078418255,0.15493107,0.08351898,89,H21.33.017:0.23845;H21.33.008:0.187231;H20.33.005:0.161601;H20.33.017:0.144315;H20.33.037:0.120571,0.11257717221253716,passes_non_gliosis_axes_fails_gliosis_only
SARAF,tau_lowering_neuron_preserving,98.24364723467862,1.0,1.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.011235955056179775,0.4157303370786517,0.011235955056179775,-0.02753871206449438,-0.0070427294626404496,-0.026220798,-0.0067152977,5.340576e-05,0.085861206,89,H18.30.001:0.0859146;H20.33.025:0.0459249;H21.33.019:0.0363717;H20.33.044:0.0357265;H21.33.016:0.0271544,0.14923892025052313,passes_non_gliosis_axes_fails_gliosis_only
MSR1,tau_lowering_neuron_preserving,98.20627802690582,1.0,1.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.42696629213483145,0.33707865168539325,0.33707865168539325,0.003477543707415729,-0.017039452998876405,-0.005738735,-0.022681236,0.3154621,0.20063305,89,H200.1023:0.516095;H20.33.038:0.305368;H21.33.044:0.294959;H21.33.003:0.279227;H21.33.032:0.262364,0.11046937601294786,passes_non_gliosis_axes_fails_gliosis_only
NCOA2,tau_lowering_neuron_preserving,98.16890881913304,1.0,1.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.06741573033707865,0.3146067415730337,0.0,-0.0224659335752809,-0.019483766105617976,-0.023156166,-0.013558865,0.023726463,0.106357574,89,H18.30.001:0.106358;H200.1023:0.085432;H21.33.017:0.0631568;H20.33.005:0.0573959;H21.33.038:0.0553327,0.11332737920617536,passes_non_gliosis_axes_fails_gliosis_only
TMEM165,dual_pathology_lowering_neuron_preserving,98.13153961136024,1.0,1.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.5280898876404494,0.4157303370786517,0.4157303370786517,0.002077140224719101,-0.008201726313932586,0.002869606,-0.006583929,0.16527939,0.1876049,89,H18.30.001:0.352884;H18.30.002:0.154279;H19.30.002:0.125517;H21.33.027:0.109563;H20.33.032:0.0948489,0.14984319859172238,passes_non_gliosis_axes_fails_gliosis_only
ATRX,tau_lowering_neuron_preserving,98.01943198804184,1.0,1.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.0,0.5617977528089888,0.0,-0.03837762796629213,0.005288762995842697,-0.037779808,0.0032258034,-0.020034313,0.094010115,89,H21.33.031:0.0940101;H21.33.035:0.0765178;H18.30.002:0.0755377;H20.33.032:0.0730247;H20.33.041:0.063529,0.0687323963565902,passes_non_gliosis_axes_fails_gliosis_only
ZRANB2,dual_pathology_lowering_neuron_preserving,97.98206278026906,1.0,1.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.5280898876404494,0.0898876404494382,0.0,0.011342096580853932,-0.02013223893,0.0067300797,-0.019673586,1.0267324,0.104665756,89,H200.1023:1.02673;H21.33.033:0.140715;H20.33.008:0.121106;H20.33.026:0.114817;H20.33.040:0.113117,0.2823543295619089,passes_non_gliosis_axes_fails_gliosis_only
VPS39,dual_pathology_lowering_neuron_preserving,97.86995515695068,1.0,1.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.4044943820224719,0.3707865168539326,0.0,-0.005749260433707866,-0.0030648106044943828,-0.0048418045,-0.0070824623,0.08432865,0.35051727,89,H200.1023:0.350517;H18.30.001:0.0843287;H20.33.030:0.0483263;H18.30.002:0.043005;H20.33.029:0.036262,0.26336462350629347,passes_non_gliosis_axes_fails_gliosis_only
CSMD3,tau_lowering_neuron_preserving,97.72047832585947,1.0,0.219,1.0,0.0,0.0,gliosis_noninflating_stability,0.1348314606741573,0.4606741573033708,0.0,-0.028087889081460673,-0.017365879093258426,-0.032574415,-0.008313894,0.07082558,0.1472969,89,H18.30.001:0.147297;H200.1023:0.134453;H18.30.002:0.104492;H21.33.020:0.0860124;H21.33.034:0.0785701,0.07955116335482053,passes_non_gliosis_axes_fails_gliosis_only
SLC38A2,dual_pathology_lowering_neuron_preserving,97.60837070254112,1.0,1.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.5056179775280899,0.11235955056179775,0.0,-0.013179942391460675,-0.009363158387977528,0.00010728836,-0.010443449,0.20277596,0.033493042,89,H200.1023:0.202776;H21.33.019:0.0882807;H20.33.025:0.0806832;H21.33.011:0.079308;H20.33.013:0.0738988,0.11387423777508505,passes_non_gliosis_axes_fails_gliosis_only
MTX2,tau_lowering_neuron_preserving,97.53363228699553,1.0,1.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.056179775280898875,0.47191011235955055,0.056179775280898875,-0.009778861273258428,-0.004901528326404493,-0.008676052,-0.00063824654,0.0020661354,0.03869772,89,H20.33.040:0.0407639;H20.33.019:0.0327721;H21.33.042:0.0322442;H20.33.012:0.0312388;H20.33.035:0.0290098,0.06977367774232734,passes_non_gliosis_axes_fails_gliosis_only
