baseline_id,target,pooled_oof_spearman,bootstrap_mean,ci_lower,ci_upper,n_bootstrap,n_donors,notes
lightgbm_raw_expression,6e10/Aβ,0.1786979852181836,0.17563285220568906,-0.05279985003803158,0.3805806631282425,1000,84,Donor bootstrap over pooled OOF predictions.
lightgbm_raw_expression,AT8,0.5993925280955755,0.589373321504864,0.42174210808122164,0.7399062031202304,1000,84,Donor bootstrap over pooled OOF predictions.
lightgbm_raw_expression,GFAP,0.1607573149741824,0.15935481904182675,-0.05081483597956579,0.3667399946669711,1000,84,Donor bootstrap over pooled OOF predictions.
lightgbm_raw_expression,Iba1,-0.0077958894401133,-0.01385550480805472,-0.22418226897899654,0.215000871776981,1000,84,Donor bootstrap over pooled OOF predictions.
lightgbm_raw_expression,NeuN,0.4083426141540954,0.4075161559264994,0.20818889059289772,0.5753884229276623,1000,84,Donor bootstrap over pooled OOF predictions.
module_mean_baseline,6e10/Aβ,0.3267793864533765,0.32011423722203924,0.13626125008645162,0.5123907700101742,1000,84,Donor bootstrap over pooled OOF predictions.
module_mean_baseline,AT8,0.5417434443656981,0.5362192657836526,0.3499263178655665,0.7037244673359998,1000,84,Donor bootstrap over pooled OOF predictions.
module_mean_baseline,GFAP,0.2607876885694037,0.25628088200847593,0.04823808959776249,0.4584183666810167,1000,84,Donor bootstrap over pooled OOF predictions.
module_mean_baseline,Iba1,0.0291181532854105,0.031185533204990245,-0.19068918462394302,0.2621109750177699,1000,84,Donor bootstrap over pooled OOF predictions.
module_mean_baseline,NeuN,0.405770983092032,0.4004561966304077,0.20946788671435046,0.5685494784998646,1000,84,Donor bootstrap over pooled OOF predictions.
pca_elasticnet,6e10/Aβ,0.1960109344942796,0.19493602510405003,-0.013468408684259102,0.3968220838197973,1000,84,Donor bootstrap over pooled OOF predictions.
pca_elasticnet,AT8,0.3562822719449225,0.35439606538293766,0.1553743928487597,0.5376122916901881,1000,84,Donor bootstrap over pooled OOF predictions.
pca_elasticnet,GFAP,0.0725523944517566,0.07209776744314343,-0.1330253947994854,0.27566124951260473,1000,84,Donor bootstrap over pooled OOF predictions.
pca_elasticnet,Iba1,-0.0747190442442037,-0.07175949988668065,-0.27792426092620764,0.14865988019288878,1000,84,Donor bootstrap over pooled OOF predictions.
pca_elasticnet,NeuN,0.5407309911916574,0.5332689680825539,0.35125845768362174,0.6902604851587808,1000,84,Donor bootstrap over pooled OOF predictions.
pca_ridge,6e10/Aβ,0.2048800242988762,0.20317211241796929,-0.004207352695669115,0.41327748879426246,1000,84,Donor bootstrap over pooled OOF predictions.
pca_ridge,AT8,0.3376936316695353,0.3357449298510691,0.1140263206650229,0.5304297924371054,1000,84,Donor bootstrap over pooled OOF predictions.
pca_ridge,GFAP,0.1132327629847119,0.11424489207750169,-0.11091245571746956,0.3054628715686086,1000,84,Donor bootstrap over pooled OOF predictions.
pca_ridge,Iba1,-0.0021868988559279,0.001406501136812064,-0.21358201974022803,0.22370947107480663,1000,84,Donor bootstrap over pooled OOF predictions.
pca_ridge,NeuN,0.4950896021059026,0.49145704468348833,0.316451525394743,0.6493848853991577,1000,84,Donor bootstrap over pooled OOF predictions.
raw_expression_elasticnet,6e10/Aβ,0.0736318973522061,0.06834442058177158,-0.14366935449864862,0.2539715707166414,1000,84,Donor bootstrap over pooled OOF predictions.
raw_expression_elasticnet,AT8,0.520846410853498,0.5125879091088508,0.3291490559039545,0.6678132246649356,1000,84,Donor bootstrap over pooled OOF predictions.
raw_expression_elasticnet,GFAP,0.072325300426155,0.07129923317877696,-0.13590068379344825,0.26849488259214516,1000,84,Donor bootstrap over pooled OOF predictions.
raw_expression_elasticnet,Iba1,-0.0562650656619388,-0.052195491846863305,-0.24455694885750962,0.1499507258128806,1000,84,Donor bootstrap over pooled OOF predictions.
raw_expression_elasticnet,NeuN,0.5727245114913435,0.5670258824130232,0.41687885367490257,0.6983814109698335,1000,84,Donor bootstrap over pooled OOF predictions.
raw_expression_ridge,6e10/Aβ,0.2974587425331578,0.29643847692444203,0.07525001005784365,0.5073395284396913,1000,84,Donor bootstrap over pooled OOF predictions.
raw_expression_ridge,AT8,0.4317100334109547,0.43155953176236356,0.23571302671312963,0.6060945582078637,1000,84,Donor bootstrap over pooled OOF predictions.
raw_expression_ridge,GFAP,0.1486888731396173,0.1444145778818134,-0.05713476957292524,0.35512144490779396,1000,84,Donor bootstrap over pooled OOF predictions.
raw_expression_ridge,Iba1,0.033856434139921,0.036934048517671084,-0.17874815357908966,0.24759169808721293,1000,84,Donor bootstrap over pooled OOF predictions.
raw_expression_ridge,NeuN,0.4102055279943302,0.4084164102159087,0.22368694939817788,0.5747051954486018,1000,84,Donor bootstrap over pooled OOF predictions.
wgcna_module_summary_elasticnet,6e10/Aβ,-0.2206630924790786,-0.2161590189768541,-0.4106745580369167,-0.021942558357657446,1000,84,Donor bootstrap over pooled OOF predictions.
wgcna_module_summary_elasticnet,AT8,-0.0407267372083998,-0.03676722597918148,-0.25184827074151866,0.20385465616374224,1000,84,Donor bootstrap over pooled OOF predictions.
wgcna_module_summary_elasticnet,GFAP,-0.2051693858877529,-0.20287969860099772,-0.39148042947060785,0.009599725833250534,1000,84,Donor bootstrap over pooled OOF predictions.
