dataset,feature,target,best_tail_metric,best_tail_spearman,mean_spearman,best_tail_minus_mean_abs_spearman,any_tail_beats_mean,n_tail_metrics_beating_mean,supports_dilution_hypothesis
DLPFC,disease_program_score,NeuN,variance,-0.3873652133145804,-0.0457805907172995,0.3415846225972809,True,8,True
MTG,disease_program_score,NeuN,variance,-0.4713576997063887,-0.1810266275184772,0.2903310721879115,True,8,True
DLPFC,lysosomal_endolysosomal,NeuN,variance,-0.5109704641350211,-0.2395921237693389,0.2713783403656822,True,8,True
DLPFC,lysosomal_endolysosomal,AT8,top_1pct_mean,0.4338490389123301,0.2187763713080169,0.21507266760431323,True,7,True
DLPFC,disease_program_score,AT8,top_1pct_mean,0.3151429910923581,0.1112048757618378,0.2039381153305203,True,8,True
DLPFC,dam_lipid_trem2_apoe,NeuN,top_1pct_mean,-0.2764181903422409,-0.0745194561650257,0.2018987341772152,True,8,True
DLPFC,lysosomal_endolysosomal,6e10/A_beta,top_1pct_mean,0.363877168307548,0.1793248945147679,0.1845522737927801,True,7,True
MTG,antigen_presentation,GFAP,variance,0.2912827781715095,0.1205021767743242,0.1707806013971853,True,8,True
DLPFC,dam_lipid_trem2_apoe,AT8,top_1pct_mean,0.3617440225035162,0.2023909985935302,0.159353023909986,True,8,True
DLPFC,disease_program_score,GFAP,top_1pct_mean,0.2854195968120019,0.1274027191748711,0.15801687763713082,True,8,True
MTG,complement_phagocytosis,GFAP,variance,0.4346461476156727,0.2876581958084439,0.14698795180722884,True,6,True
MTG,lysosomal_endolysosomal,NeuN,variance,-0.4892173736964666,-0.3464614761567278,0.14275589753973883,True,8,True
MTG,lysosomal_endolysosomal,GFAP,q95,0.4174951908474233,0.3085957274476055,0.10889946339981782,True,7,True
DLPFC,lysosomal_endolysosomal,Iba1,top_1pct_mean,0.3689873417721518,0.2652133145804032,0.10377402719174861,True,5,True
MTG,lysosomal_endolysosomal,6e10/A_beta,q90,0.4366305558367926,0.3355269818770882,0.10110357395970443,True,8,True
MTG,lysosomal_endolysosomal,AT8,fraction_high_global_q95,0.4190868638651647,0.3357092234484155,0.08337764041674922,True,8,True
MTG,interferon_inflammatory,6e10/A_beta,fraction_high_global_q95,0.3141237217778678,0.2338969322668826,0.08022678951098519,True,4,True
MTG,dam_lipid_trem2_apoe,GFAP,q95,0.3673585096689278,0.2913030272349903,0.0760554824339375,True,6,True
DLPFC,disease_program_score,6e10/A_beta,q99,0.2571964369432724,0.1828176277543366,0.07437880918893577,True,8,True
MTG,interferon_inflammatory,GFAP,q90,0.3140832236509061,0.2475852991799129,0.06649792447099317,True,6,True
DLPFC,dam_lipid_trem2_apoe,6e10/A_beta,q95,0.3171120487576184,0.2510079699953118,0.06610407876230662,True,8,True
MTG,interferon_inflammatory,AT8,fraction_high_global_q95,0.4409031082312444,0.381046876581958,0.059856231649286384,True,4,True
MTG,oxidative_stress_gene_preserved,GFAP,q99,0.3064493267186393,0.2527893084944821,0.05366001822415717,True,4,True
DLPFC,oxidative_stress_gene_preserved,Iba1,q95,0.3418424753867792,0.290014064697609,0.05182841068917021,True,8,True
MTG,disease_program_score,AT8,q90,0.4293611420471803,0.3787587324086262,0.05060240963855411,True,4,True
MTG,disease_program_score,6e10/A_beta,q90,0.4005467247139819,0.3551685734534777,0.04537815126050421,True,4,True
MTG,disease_program_score,GFAP,q90,0.3929330768451959,0.3515034929634504,0.0414295838817455,True,6,True
DLPFC,lysosomal_endolysosomal,GFAP,fraction_high_global_q95,0.2717768401312705,0.2387951242381622,0.032981715893108304,True,4,True
DLPFC,dam_lipid_trem2_apoe,Iba1,q99,0.2527894983591186,0.2207688701359587,0.03202062822315993,True,4,True
DLPFC,interferon_inflammatory,Iba1,q99,0.2632208157524613,0.233356774496015,0.029864041256446316,True,3,True
MTG,complement_phagocytosis,6e10/A_beta,top_5pct_mean,0.3088792143363369,0.2842361040801863,0.024643110256150624,True,4,True
MTG,dam_lipid_trem2_apoe,AT8,top_10pct_mean,0.4612129189025008,0.4441429583881745,0.0170699605143263,True,5,True
MTG,dam_lipid_trem2_apoe,6e10/A_beta,top_10pct_mean,0.4024298876176976,0.3862103877695657,0.016219499848131924,True,5,True
MTG,oxidative_stress_gene_preserved,NeuN,q90,-0.4575883365394351,-0.4464108534980257,0.01117748304140942,True,1,True
MTG,disease_program_score,Iba1,q90,0.2609091829502885,0.2499949377341297,0.010914245216158774,True,1,True
MTG,complement_phagocytosis,NeuN,variance,-0.1925280955755796,0.0091120785663663,0.18341601700921328,True,8,False
DLPFC,complement_phagocytosis,NeuN,variance,-0.186615096108767,-0.0035161744022503,0.1830989217065167,True,8,False
MTG,dam_lipid_trem2_apoe,NeuN,variance,-0.2212412675913739,-0.1027234990381694,0.11851776855320452,True,8,False
DLPFC,antigen_presentation,6e10/A_beta,top_1pct_mean,0.1234646038443506,-0.0110642287857477,0.1124003750586029,True,8,False
DLPFC,dam_lipid_trem2_apoe,GFAP,top_1pct_mean,0.2323956868260666,0.1231833098921706,0.10921237693389599,True,8,False
DLPFC,complement_phagocytosis,GFAP,q99,0.2365682137834036,0.1448195030473511,0.09174871073605248,True,7,False
MTG,interferon_inflammatory,NeuN,variance,-0.1523539536296446,-0.0693732914852688,0.0829806621443758,True,7,False
DLPFC,antigen_presentation,GFAP,top_1pct_mean,0.0883028598218471,-0.0398265353961556,0.048476324425691504,True,6,False
MTG,antigen_presentation,6e10/A_beta,variance,0.1441125847929533,0.0971145084539839,0.04699807633896941,True,6,False
DLPFC,interferon_inflammatory,NeuN,q90,-0.0521565869667135,0.0078996718237224,0.0442569151429911,True,8,False
DLPFC,antigen_presentation,Iba1,top_1pct_mean,0.0585560243788092,0.0262775433661509,0.032278481012658296,True,1,False
MTG,complement_phagocytosis,Iba1,q90,0.2046572846005872,0.1776652829806621,0.026992001619925127,True,1,False
DLPFC,complement_phagocytosis,AT8,top_5pct_mean,0.0841537740271917,0.0589076418190342,0.025246132208157496,True,6,False
MTG,antigen_presentation,Iba1,fraction_high_global_q95,0.0848280506962597,0.0756909992912827,0.009137051404977004,True,1,False
MTG,interferon_inflammatory,Iba1,q90,0.1749114103472714,0.1689986838108737,0.005912726536397683,True,1,False
DLPFC,complement_phagocytosis,Iba1,fraction_high_global_q95,0.1679364261227023,0.1647913736521331,0.003145052470569204,True,1,False
DLPFC,disease_program_score,Iba1,top_1pct_mean,0.2327004219409282,0.2309188935771214,0.0017815283638067947,True,1,False
DLPFC,complement_phagocytosis,6e10/A_beta,q95,0.1645100796999531,0.1642522269104547,0.0002578527894983862,True,1,False
MTG,oxidative_stress_gene_preserved,6e10/A_beta,fraction_high_global_q95,0.3253854954656542,0.3276905943100132,-0.002305098844358977,False,0,False
DLPFC,antigen_presentation,AT8,top_1pct_mean,0.0867323019221753,-0.0892639474917956,-0.0025316455696202944,False,0,False
DLPFC,interferon_inflammatory,6e10/A_beta,q90,0.1994139709329583,0.2059540553211439,-0.006540084388185596,False,0,False
DLPFC,oxidative_stress_gene_preserved,GFAP,fraction_high_global_q95,0.1708157524613221,0.1787857477730895,-0.007969995311767397,False,0,False
DLPFC,oxidative_stress_gene_preserved,6e10/A_beta,top_10pct_mean,0.2383263009845288,0.2473277074542897,-0.009001406469760886,False,0,False
MTG,complement_phagocytosis,AT8,top_1pct_mean,0.2086261010428267,0.2228814417333198,-0.014255340690493112,False,0,False
DLPFC,interferon_inflammatory,GFAP,q90,0.2634317862165963,0.2806375996249414,-0.017205813408345094,False,0,False
MTG,antigen_presentation,AT8,q90,0.0884479092841956,0.1111876075731497,-0.0227396982889541,False,0,False
DLPFC,oxidative_stress_gene_preserved,AT8,top_1pct_mean,0.1353961556493202,0.1661509610876699,-0.030754805438349714,False,0,False
MTG,oxidative_stress_gene_preserved,AT8,q90,0.3770983092031993,0.4088488407411157,-0.031750531537916404,False,0,False
MTG,dam_lipid_trem2_apoe,Iba1,top_5pct_mean,0.1956667004151057,0.228632175761871,-0.032965475346765305,False,0,False
DLPFC,oxidative_stress_gene_preserved,NeuN,q99,-0.0885841537740272,-0.1294186591654946,-0.04083450539146741,False,0,False
MTG,lysosomal_endolysosomal,Iba1,q90,0.2809355067328136,0.3314974182444062,-0.05056191151159262,False,0,False
DLPFC,interferon_inflammatory,AT8,q95,0.1663853727144866,0.2213783403656821,-0.05499296765119549,False,0,False
MTG,antigen_presentation,NeuN,q95,0.0886908980459653,0.1639364179406702,-0.0752455198947049,False,0,False
MTG,oxidative_stress_gene_preserved,Iba1,fraction_high_global_q95,0.2135386609268191,0.2966892781208869,-0.0831506171940678,False,0,False
DLPFC,antigen_presentation,NeuN,q90,0.0954758556024378,0.197374589779653,-0.10189873417721519,False,0,False
