target,pca_knn_spearman,jepa_knn_spearman,delta_knn_spearman,pca_knn_r2,jepa_knn_r2,delta_knn_r2,pca_silhouette,jepa_silhouette,delta_silhouette
percent GFAP positive area_Grey matter,-0.0121089399615267,0.2077351422496709,0.2198440822111976,-0.127744250745603,-0.0415290798476226,0.08621517089798039,-0.0165812943007861,-0.0195058231603187,-0.0029245288595326005
percent 6e10 positive area_Grey matter,0.0989774222942189,0.1703958691910499,0.07141844689683101,-0.3573008296019568,-0.1311156800358242,0.22618514956613262,-0.0057228172556585,-0.0325238043134316,-0.026800987057773097
percent Iba1 positive area_Grey matter,-0.0435557355472309,-0.0185278930849448,0.025027842462286096,-0.1714877064961626,-0.1821126145710134,-0.010624908074850808,-0.0116200536213135,-0.0334091467900868,-0.021789093168773303
percent AT8 positive area_Grey matter,0.2186493874658297,0.235273868583578,0.01662448111774828,-0.0107215921826921,0.0624352401568591,0.0731568323395512,-0.0075143844822877,-0.022602980210867,-0.015088595728579299
percent NeuN positive area_Grey matter,0.329776247848537,0.3228308190746178,-0.006945428773919182,0.1024857711507232,0.0735077627750242,-0.028978008375699,-0.0038462844977133,-0.0015825107670264,0.0022637737306869
