epoch,loss,jepa_loss,sea_rehearsal_loss,cellxgene_rehearsal_loss,sea_anchor_cosine,cellxgene_anchor_cosine,pathology_contrastive_loss,pathology_contrastive_weight,embedding_effective_dims,embedding_top_sv_ratio,embedding_mean_dim_std,predictor_effective_dims,predictor_top_sv_ratio,mask_fraction,ema_decay,base_lr,head_lr,steps
1,0.9891403615474701,0.9891403615474701,3.070136722627126e-09,3.0701436615210297e-09,0.9999637573957443,0.9999637335538865,3.133189773052436e-06,0.0,73.5123519897461,0.08865975588560104,0.006217045709490776,22.98135757446289,0.18784505128860474,0.2,0.995,1e-06,0.0001,20
2,0.9891114890575409,0.9891107350587844,3.072134757697853e-09,3.0721326260696457e-09,0.999957263469696,0.9999572575092316,3.0141811521389173e-06,0.25,77.52198791503906,0.10087401419878006,0.005363456904888153,36.83951950073242,0.14315207302570343,0.275,0.996125,1e-06,0.0001,20
3,0.9891467273235321,0.9891452878713608,3.0754734869908873e-09,3.07544835154161e-09,0.9999463975429534,0.9999464720487594,2.877184158478485e-06,0.5,77.20146179199219,0.1038942039012909,0.005273465067148209,47.24433898925781,0.11120448261499405,0.35,0.99725,1e-06,0.0001,20
4,0.9891600370407104,0.9891579627990723,3.078343213669399e-09,3.078343935314365e-09,0.9999370604753495,0.9999370485544204,2.7587497129388796e-06,0.75,77.16844940185547,0.10593272745609283,0.005286806728690863,51.508541107177734,0.0697656199336052,0.425,0.998375,1e-06,0.0001,20
5,0.9891602665185928,0.9891576439142227,3.079932742178215e-09,3.079906685243827e-09,0.9999318927526474,0.9999319851398468,2.6272199875165823e-06,1.0,76.28388214111328,0.1086893230676651,0.005319645628333092,54.46260070800781,0.06249479204416275,0.5,0.9995,1e-06,0.0001,20
6,0.9891609191894531,0.9891582727432251,3.0809983786461715e-09,3.0809466200487636e-09,0.9999284386634827,0.9999286204576492,2.6481702661840245e-06,1.0,75.74559020996094,0.11001880466938019,0.005344506353139877,54.61861801147461,0.060055870562791824,0.5,0.9995,1e-06,0.0001,20
7,0.9891698151826859,0.9891671150922775,3.082125255016166e-09,3.082065846982118e-09,0.9999247789382935,0.9999249875545502,2.6982950885212633e-06,1.0,76.00006866455078,0.10994056612253189,0.005352448206394911,54.29146957397461,0.061106372624635696,0.5,0.9995,1e-06,0.0001,20
8,0.9891726255416871,0.9891698747873306,3.0833492759008153e-09,3.0832143838033233e-09,0.9999208182096482,0.999921253323555,2.751662123046117e-06,1.0,76.06155395507812,0.11060922592878342,0.005380218382924795,53.67835235595703,0.06355506926774979,0.5,0.9995,1e-06,0.0001,20
9,0.989171975851059,0.9891691684722901,3.0845755283337438e-09,3.084444799572594e-09,0.9999168395996094,0.9999172657728195,2.807576629493269e-06,1.0,75.65220642089844,0.11254981905221939,0.005410606507211924,54.228519439697266,0.06451453268527985,0.5,0.9995,1e-06,0.0001,20
10,0.989182835817337,0.9891799926757813,3.0861570854412435e-09,3.0859418909123804e-09,0.9999117076396942,0.9999124079942703,2.841560933575238e-06,1.0,75.84013366699219,0.1127362847328186,0.005441581830382347,52.546600341796875,0.06553632020950317,0.5,0.9995,1e-06,0.0001,20
