source_idx,target_idx,weight
1784,2929,0.48457873
458,1784,0.48190197
709,2929,0.481487
1002,2929,0.4812133
1308,2929,0.4803733
458,1308,0.4802014
2362,2929,0.4801233
161,1784,0.48007438
161,709,0.47991621
458,1002,0.47988063
67,800,0.4796952
67,1784,0.4796238
161,2929,0.47951722
800,2929,0.47879058
67,1308,0.4785323
458,800,0.47832587
67,2761,0.47792432
2568,2929,0.47788382
67,119,0.4777764
161,458,0.47773793
119,2929,0.47773367
458,1805,0.47767818
2356,2929,0.47766778
1805,2929,0.4775334
2761,2929,0.47745764
458,2362,0.47745582
67,2356,0.4772759
161,1002,0.4771588
458,2356,0.47707272
458,709,0.47685093
67,1805,0.47683042
2004,2929,0.47652873
67,1581,0.47629493
802,2929,0.47627288
539,2929,0.47607368
2034,2929,0.47602454
2038,2929,0.47601902
802,1784,0.47598764
67,1002,0.47589198
1644,2929,0.47571224
458,2038,0.4756778
67,2034,0.47563198
161,800,0.47562063
37,67,0.4755319
67,2280,0.47549137
161,1308,0.4753558
458,802,0.47534934
119,458,0.47527534
67,2278,0.4752695
67,539,0.47524136
57,67,0.4751279
161,2362,0.47502398
458,2034,0.47494787
2836,2929,0.47493142
67,428,0.47492495
800,802,0.47479782
67,94,0.4746597
709,802,0.47462383
67,239,0.47453046
458,2929,0.47449932
458,2568,0.47445434
67,709,0.47438616
458,2004,0.47436205
67,1480,0.47425225
458,2761,0.47424135
161,791,0.47414207
305,458,0.47406438
67,802,0.47405964
67,2038,0.47400466
458,1644,0.4739983
802,1308,0.47397858
2929,2939,0.47395644
458,1480,0.4738779
1557,2929,0.47385597
1784,2004,0.4738396
458,2234,0.47382244
67,1644,0.47376934
802,1002,0.47363472
40,458,0.4736252
2068,2929,0.47357014
458,2275,0.47355714
1480,2929,0.4735234
67,2362,0.47342318
161,2568,0.47330475
67,2234,0.47316948
57,458,0.47307935
67,458,0.47307438
161,2038,0.47297478
458,2068,0.47284773
2257,2929,0.47259802
458,2339,0.47249195
305,2929,0.4724454
67,2339,0.47243705
458,2398,0.47232077
161,1154,0.4722938
458,1601,0.4722903
179,2929,0.47227743
2234,2929,0.4722241
57,2929,0.47214386
1002,2004,0.4721284
67,1751,0.47211486
67,1821,0.4720396
1784,2356,0.47203782
161,802,0.47199187
791,2929,0.47182748
161,2004,0.47181
1784,1805,0.4717983
67,2416,0.47179145
458,2278,0.4717674
458,2836,0.47169465
67,1771,0.4716878
67,305,0.47163266
802,2362,0.47162753
2280,2929,0.47160524
2339,2929,0.47159526
67,798,0.47154242
709,2004,0.4715232
2398,2929,0.47148958
67,1557,0.47139776
1601,2929,0.4713379
67,2929,0.47123656
161,383,0.47122073
67,384,0.47118598
67,2767,0.47117525
67,161,0.4711741
161,2398,0.47116172
67,2068,0.47107574
802,2038,0.4710284
458,1557,0.47101235
161,2356,0.47093198
458,562,0.4709294
161,1557,0.47092187
458,2597,0.4708072
161,2034,0.47077745
67,2836,0.47076985
84,161,0.47067574
458,2603,0.47064888
161,1113,0.47043124
37,2929,0.470428
239,2929,0.47042382
67,2473,0.4703531
673,2929,0.4702616
161,2498,0.47025788
161,1805,0.47025302
119,161,0.47023585
2597,2929,0.47022092
458,1751,0.47004062
458,2035,0.47003472
458,1154,0.4699984
119,802,0.46997342
161,2193,0.4699673
458,524,0.46989617
67,1488,0.46988642
161,1644,0.4698792
40,67,0.46986556
802,1805,0.4698046
458,2280,0.4697641
524,2929,0.46964788
802,2356,0.4696421
802,2761,0.4696023
161,2068,0.4695994
802,2034,0.46959084
2004,2362,0.46955016
428,458,0.46953532
1581,2929,0.4695345
161,1480,0.46951482
67,937,0.46945927
161,2761,0.46943521
1002,1805,0.4694321
67,2219,0.46924472
67,1360,0.46923545
458,1192,0.46921176
67,524,0.46919814
40,2929,0.4691344
1002,2356,0.46912053
802,1644,0.4690616
67,2597,0.4690562
67,673,0.46902037
84,2929,0.46899837
1357,2929,0.46892944
67,2494,0.46890765
161,2643,0.46889693
1179,2929,0.4688941
67,1601,0.46887624
802,2068,0.46885678
67,1254,0.4687755
458,2927,0.46876678
2737,2929,0.46876377
458,1357,0.46868467
458,539,0.46863174
802,2568,0.4685634
161,179,0.46850353
67,186,0.4684965
161,1192,0.46848178
67,385,0.46846336
1308,2356,0.46838105
119,1784,0.46832517
67,1639,0.468269
802,2004,0.46826836
161,2939,0.4682562
428,2929,0.46825293
2004,2568,0.4682112
1308,1805,0.4681963
2278,2929,0.4680875
1113,2929,0.46804738
161,562,0.46798038
1308,2004,0.46791205
458,2193,0.46787456
161,2836,0.467867
2365,2929,0.46786427
1154,2929,0.4678036
458,798,0.46774063
161,2026,0.46774048
800,2004,0.46771222
67,654,0.4676983
67,2768,0.46765727
458,1713,0.46764657
161,2257,0.4676454
562,2929,0.46762845
802,1480,0.46760803
161,305,0.4676073
1713,2929,0.46746388
161,2453,0.46736166
458,2939,0.46733502
67,1748,0.46732718
67,598,0.4673162
67,2004,0.46731246
67,460,0.46729735
40,161,0.46728924
458,2858,0.46725255
709,2356,0.46723762
67,1780,0.46723044
458,2257,0.46721
798,2929,0.46715942
67,1809,0.46714255
67,872,0.46708316
2275,2929,0.46702677
239,458,0.4669984
1805,2362,0.4669816
2356,2362,0.46694764
800,1805,0.46687388
67,2293,0.46681288
179,458,0.4668079
186,2929,0.4667891
119,1805,0.4667249
1805,1821,0.4667183
458,673,0.4667176
2603,2929,0.4666978
800,2356,0.46668053
133,2929,0.4666643
2643,2929,0.46662587
67,1788,0.46660703
161,539,0.46645546
1805,2761,0.46645305
67,1713,0.46644098
383,2929,0.46640682
1805,2034,0.46636516
1751,2929,0.46628645
161,1357,0.46625477
67,1164,0.4662055
37,458,0.46619123
305,802,0.46617994
802,1557,0.4661392
2193,2929,0.4661304
1308,1821,0.4660943
458,2907,0.46608618
2927,2929,0.4660679
458,1581,0.46604526
40,802,0.46603897
1192,2929,0.46594298
1805,2356,0.4659056
67,2299,0.46590042
67,179,0.46581453
133,458,0.465814
119,800,0.46578547
1254,2929,0.46573114
161,2275,0.46568432
161,1601,0.46568185
119,1002,0.46567354
458,1821,0.46565783
161,2234,0.46565044
2498,2929,0.4655466
161,524,0.46552476
1784,2362,0.4655036
161,673,0.46543533
67,1715,0.46543434
67,2907,0.4654277
2004,2038,0.46541783
802,2398,0.4653857
67,1789,0.4653523
802,2836,0.46532503
1784,1821,0.46523005
161,1179,0.46519646
2767,2929,0.46518183
67,2435,0.46517035
1805,2568,0.46516418
1488,2929,0.46513173
67,1209,0.46509206
67,2568,0.4650706
67,2737,0.4650595
539,802,0.4650445
1821,2356,0.4650333
2004,2356,0.46502107
1805,2004,0.46495628
161,2597,0.46494427
2473,2929,0.46491843
1809,2929,0.4649029
57,161,0.4648905
458,1691,0.46485138
1805,2836,0.46484193
67,2115,0.46483004
67,2603,0.4648167
119,709,0.46481493
524,802,0.46480158
2858,2929,0.46479663
802,1601,0.46473235
119,2356,0.46472502
802,2234,0.4647003
802,2597,0.4646868
67,2616,0.4646571
67,2775,0.46463874
1164,2929,0.46461934
791,2004,0.46461657
161,2603,0.46459994
709,1805,0.4645342
458,1254,0.4645125
2713,2929,0.46446276
2026,2929,0.46444362
57,802,0.46444026
458,2416,0.46440643
802,2275,0.4643769
802,2339,0.4643601
119,2004,0.4643351
2356,2761,0.46430567
133,161,0.4641976
161,2339,0.46417347
57,1821,0.46416506
458,1478,0.46414626
802,1154,0.4641145
67,2275,0.46409714
709,2362,0.46406645
179,802,0.46403056
2299,2929,0.46401644
161,2717,0.464016
67,2507,0.46401373
67,763,0.4640045
2038,2356,0.4639561
2004,2398,0.46393734
67,894,0.46393707
67,2423,0.46391624
67,2667,0.46390623
2035,2929,0.46388894
1771,2929,0.46383774
1805,2234,0.4638288
791,802,0.46382558
2826,2929,0.46382427
2004,2836,0.4637909
67,2361,0.4637431
2034,2356,0.46374032
1644,1805,0.46373758
2494,2929,0.4637245
1805,2339,0.46369782
458,1179,0.46368545
119,1308,0.46368438
119,2761,0.46367764
2004,2761,0.46366754
2831,2929,0.46363854
161,2927,0.46362323
193,458,0.46361923
2004,2939,0.46354342
161,2854,0.46354192
1557,2004,0.46349934
67,1862,0.46344206
2004,2034,0.4634254
67,2831,0.46341512
2356,2568,0.46333852
1644,2356,0.46333715
1644,2004,0.4633258
872,2929,0.46331334
802,2278,0.46326286
119,1821,0.4632435
67,2203,0.4632421
67,193,0.4632273
1821,2278,0.46320435
161,345,0.46317828
1154,2004,0.46315068
802,1192,0.46310994
