gene_symbol,source_stage,source_version,mechanism_bin,stage47_evidence_tier,stage47_priority_rank,graph_jepa_candidate,frozen_candidate,stage48_traceable,notes
APOE,Stage47/Stage48,v3,Glial activation / disease-associated microglia-astrocyte state,Tier 1,1,True,True,True,predeclared candidate from Stage47/48; no new target-derived selection
BSG,Stage47/Stage48,v3,Inflammatory signaling / transport / cell-state modulation,Tier 1,2,True,True,True,predeclared candidate from Stage47/48; no new target-derived selection
CST7,Stage47/Stage48,v3,Glial activation / disease-associated microglia-astrocyte state,Tier 1,3,True,True,True,predeclared candidate from Stage47/48; no new target-derived selection
CTSB,Stage47/Stage48,v3,Endolysosomal / autophagy / proteostasis,Tier 1,4,True,True,True,predeclared candidate from Stage47/48; no new target-derived selection
CTSD,Stage47/Stage48,v3,Glial activation / disease-associated microglia-astrocyte state,Tier 1,5,True,True,True,predeclared candidate from Stage47/48; no new target-derived selection
GPX4,Stage47/Stage48,v3,Oxidative stress / antioxidant response,Tier 1,6,True,True,True,predeclared candidate from Stage47/48; no new target-derived selection
HMOX1,Stage47/Stage48,v3,Oxidative stress / antioxidant response,Tier 1,7,True,True,True,predeclared candidate from Stage47/48; no new target-derived selection
IL27RA,Stage47/Stage48,v3,Inflammatory signaling / transport / cell-state modulation,Tier 1,8,True,True,True,predeclared candidate from Stage47/48; no new target-derived selection
LAMP2,Stage47/Stage48,v3,Endolysosomal / autophagy / proteostasis,Tier 1,9,True,True,True,predeclared candidate from Stage47/48; no new target-derived selection
LAPTM5,Stage47/Stage48,v3,Endolysosomal / autophagy / proteostasis,Tier 1,10,True,True,True,predeclared candidate from Stage47/48; no new target-derived selection
LGALS3,Stage47/Stage48,v3,Glial activation / disease-associated microglia-astrocyte state,Tier 1,11,True,True,True,predeclared candidate from Stage47/48; no new target-derived selection
NFKBIA,Stage47/Stage48,v3,Inflammatory signaling / transport / cell-state modulation,Tier 1,12,True,True,True,predeclared candidate from Stage47/48; no new target-derived selection
NPC2,Stage47/Stage48,v3,Endolysosomal / autophagy / proteostasis,Tier 1,13,True,True,True,predeclared candidate from Stage47/48; no new target-derived selection
NQO1,Stage47/Stage48,v3,Oxidative stress / antioxidant response,Tier 1,14,True,True,True,predeclared candidate from Stage47/48; no new target-derived selection
SLC6A12,Stage47/Stage48,v3,Inflammatory signaling / transport / cell-state modulation,Tier 1,15,True,True,True,predeclared candidate from Stage47/48; no new target-derived selection
SOD1,Stage47/Stage48,v3,Oxidative stress / antioxidant response,Tier 1,16,True,True,True,predeclared candidate from Stage47/48; no new target-derived selection
SOD2,Stage47/Stage48,v3,Oxidative stress / antioxidant response,Tier 1,17,True,True,True,predeclared candidate from Stage47/48; no new target-derived selection
TREM2,Stage47/Stage48,v3,Glial activation / disease-associated microglia-astrocyte state,Tier 1,18,True,True,True,predeclared candidate from Stage47/48; no new target-derived selection
