tf,evidence_tier,regulator_present_in_jepa_feature_space,total_candidate_edges,usable_signed_edges,regulator_missing_edges,target_missing_edges,both_missing_edges,total_candidate_target_genes,target_genes_present_in_jepa_feature_space,target_genes_absent_from_jepa_feature_space,target_feature_coverage_fraction,unresolved_desired_perturbation_direction,donor_coverage,region_coverage,state_label_coverage,per_regulator_readiness_status,readiness_status,blocking_reason,validated_regulation,validated_grn_claim,causal_validation_pass,therapeutic_target_claim
ELF1,Tier A,True,25,23,0,2,0,25,23,2,0.92,True,89,3,8,feature_ready_with_missing_target_edges_classified,feature_ready_with_missing_target_edges_classified,at least one usable signed edge exists; missing target edges are explicitly classified and not imputed,False,False,False,False
SPI1,Tier A,True,15,14,0,1,0,15,14,1,0.9333333333333333,True,89,3,8,feature_ready_with_missing_target_edges_classified,feature_ready_with_missing_target_edges_classified,at least one usable signed edge exists; missing target edges are explicitly classified and not imputed,False,False,False,False
STAT1,Tier A,True,18,16,0,2,0,18,16,2,0.8888888888888888,True,89,3,8,feature_ready_with_missing_target_edges_classified,feature_ready_with_missing_target_edges_classified,at least one usable signed edge exists; missing target edges are explicitly classified and not imputed,False,False,False,False
BACH1,Tier B,True,9,8,0,1,0,9,8,1,0.8888888888888888,True,89,3,8,feature_ready_with_missing_target_edges_classified,feature_ready_with_missing_target_edges_classified,at least one usable signed edge exists; missing target edges are explicitly classified and not imputed,False,False,False,False
CEBPA,Tier B,False,12,0,11,0,1,12,11,1,0.9166666666666666,True,89,3,8,blocked_regulator_not_in_jepa_feature_space,blocked_regulator_not_in_jepa_feature_space,regulator is absent from JEPA feature order,False,False,False,False
IRF8,Tier B,True,6,6,0,0,0,6,6,0,1.0,True,89,3,8,feature_ready_direction_unresolved,feature_ready_direction_unresolved,features are present; F11 should preserve up and down simulations because desired_tf_change remains unresolved by F9,False,False,False,False
RELA,Tier B,False,11,0,10,0,1,11,10,1,0.9090909090909091,True,89,3,8,blocked_regulator_not_in_jepa_feature_space,blocked_regulator_not_in_jepa_feature_space,regulator is absent from JEPA feature order,False,False,False,False
MITF,Tier C,True,0,0,0,0,0,0,0,0,0.0,True,89,3,8,excluded_negative_motif_gate,excluded_negative_motif_gate,Tier C regulator has no TF-annotated enriched motif support at configured thresholds,False,False,False,False
NRF1,Tier C,True,0,0,0,0,0,0,0,0,0.0,True,89,3,8,excluded_negative_motif_gate,excluded_negative_motif_gate,Tier C regulator has no TF-annotated enriched motif support at configured thresholds,False,False,False,False
STAT3,Tier C,True,0,0,0,0,0,0,0,0,0.0,True,89,3,8,excluded_negative_motif_gate,excluded_negative_motif_gate,Tier C regulator has no TF-annotated enriched motif support at configured thresholds,False,False,False,False
