path,filename,stage_or_source,filesize_bytes,artifact_class,readable,n_sample_rows,n_columns,columns_sample,has_cell_identifier,has_donor_identifier,has_embedding_columns,has_score_columns
results/tables/microglia_pvm_jepa_ema_var_expanded_balanced_e40_cell_embeddings.csv,microglia_pvm_jepa_ema_var_expanded_balanced_e40_cell_embeddings.csv,microglia_pvm_jepa,61959516,cell_embedding,True,50,130,Unnamed: 0;Donor ID;jepa_0;jepa_1;jepa_2;jepa_3;jepa_4;jepa_5;jepa_6;jepa_7;jepa_8;jepa_9;jepa_10;jepa_11;jepa_12;jepa_13;jepa_14;jepa_15;jepa_16;jepa_17;jepa_18;jepa_19;jepa_20;jepa_21;jepa_22,False,True,False,False
results/tables/microglia_pvm_jepa_expanded_modules_balanced_e40_cell_embeddings.csv,microglia_pvm_jepa_expanded_modules_balanced_e40_cell_embeddings.csv,microglia_pvm_jepa,62196625,cell_embedding,True,50,130,Unnamed: 0;Donor ID;jepa_0;jepa_1;jepa_2;jepa_3;jepa_4;jepa_5;jepa_6;jepa_7;jepa_8;jepa_9;jepa_10;jepa_11;jepa_12;jepa_13;jepa_14;jepa_15;jepa_16;jepa_17;jepa_18;jepa_19;jepa_20;jepa_21;jepa_22,False,True,False,False
results/tables/microglia_pvm_jepa_expanded_modules_balanced_e80_cell_embeddings.csv,microglia_pvm_jepa_expanded_modules_balanced_e80_cell_embeddings.csv,microglia_pvm_jepa,62197824,cell_embedding,True,50,130,Unnamed: 0;Donor ID;jepa_0;jepa_1;jepa_2;jepa_3;jepa_4;jepa_5;jepa_6;jepa_7;jepa_8;jepa_9;jepa_10;jepa_11;jepa_12;jepa_13;jepa_14;jepa_15;jepa_16;jepa_17;jepa_18;jepa_19;jepa_20;jepa_21;jepa_22,False,True,False,False
results/tables/microglia_pvm_jepa_mixed_cell_embeddings.csv,microglia_pvm_jepa_mixed_cell_embeddings.csv,microglia_pvm_jepa,15522488,cell_embedding,True,50,130,Unnamed: 0;Donor ID;jepa_0;jepa_1;jepa_2;jepa_3;jepa_4;jepa_5;jepa_6;jepa_7;jepa_8;jepa_9;jepa_10;jepa_11;jepa_12;jepa_13;jepa_14;jepa_15;jepa_16;jepa_17;jepa_18;jepa_19;jepa_20;jepa_21;jepa_22,False,True,False,False
results/tables/microglia_pvm_jepa_module_preserved_cell_embeddings.csv,microglia_pvm_jepa_module_preserved_cell_embeddings.csv,microglia_pvm_jepa,15554599,cell_embedding,True,50,130,Unnamed: 0;Donor ID;jepa_0;jepa_1;jepa_2;jepa_3;jepa_4;jepa_5;jepa_6;jepa_7;jepa_8;jepa_9;jepa_10;jepa_11;jepa_12;jepa_13;jepa_14;jepa_15;jepa_16;jepa_17;jepa_18;jepa_19;jepa_20;jepa_21;jepa_22,False,True,False,False
results/tables/pathology_latent_weights.csv,pathology_latent_weights.csv,unknown,37723,latent_or_attribution,True,50,10,target;latent_dimension;mean_coefficient;std_coefficient;mean_abs_coefficient;fold_1_coef;fold_2_coef;fold_3_coef;fold_4_coef;fold_5_coef,False,False,True,False
results/tables/stage39h_latent_plus_safe_context_results_v1.csv,stage39h_latent_plus_safe_context_results_v1.csv,unknown,396,latent_or_attribution,True,3,5,candidate_id;feature_set_id;mean_pooled_oof_spearman;min_target_spearman;n_targets,False,False,False,False
results/tables/stage_a_frozen_cellxgene_normal_microglia_coordinates.csv,stage_a_frozen_cellxgene_normal_microglia_coordinates.csv,stage_a,14703992,coordinate,True,50,131,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21,True,True,True,False
results/tables/stage_a_frozen_sea_ad_low_pathology_relaxed_coordinates.csv,stage_a_frozen_sea_ad_low_pathology_relaxed_coordinates.csv,stage_a,6516499,coordinate,True,50,131,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21,True,True,True,False
results/tables/stage_a_frozen_sea_ad_low_pathology_strict_coordinates.csv,stage_a_frozen_sea_ad_low_pathology_strict_coordinates.csv,stage_a,2739641,coordinate,True,50,131,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21,True,True,True,False
results/tables/stage_b_rehearsal_cellxgene_normal_microglia_coordinates.csv,stage_b_rehearsal_cellxgene_normal_microglia_coordinates.csv,stage_b,14833380,coordinate,True,50,131,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21,True,True,True,False
results/tables/stage_b_rehearsal_sea_ad_low_pathology_relaxed_coordinates.csv,stage_b_rehearsal_sea_ad_low_pathology_relaxed_coordinates.csv,stage_b,6579660,coordinate,True,50,131,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21,True,True,True,False
results/tables/stage_c_elastic_cov001_epoch_005_latent_space_evaluation_metrics.csv,stage_c_elastic_cov001_epoch_005_latent_space_evaluation_metrics.csv,stage_c,1503,latent_or_attribution,True,10,7,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae,False,True,False,False
results/tables/stage_c_elastic_cov001_epoch_005_latent_space_umap_coordinates.csv,stage_c_elastic_cov001_epoch_005_latent_space_umap_coordinates.csv,stage_c,19199,coordinate,True,50,9,Donor ID;representation;x;y;percent AT8 positive area_Grey matter;percent NeuN positive area_Grey matter;percent 6e10 positive area_Grey matter;percent GFAP positive area_Grey matter;percent Iba1 positive area_Grey matter,False,True,False,False
results/tables/stage_c_elastic_cov001_epoch_005_sea_ad_microglia_pvm_all_coordinates.csv,stage_c_elastic_cov001_epoch_005_sea_ad_microglia_pvm_all_coordinates.csv,stage_c,59295185,coordinate,True,50,131,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21,True,True,True,False
results/tables/stage_c_elastic_cov001_epoch_010_latent_space_evaluation_metrics.csv,stage_c_elastic_cov001_epoch_010_latent_space_evaluation_metrics.csv,stage_c,1502,latent_or_attribution,True,10,7,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae,False,True,False,False
results/tables/stage_c_elastic_cov001_epoch_010_latent_space_umap_coordinates.csv,stage_c_elastic_cov001_epoch_010_latent_space_umap_coordinates.csv,stage_c,19214,coordinate,True,50,9,Donor ID;representation;x;y;percent AT8 positive area_Grey matter;percent NeuN positive area_Grey matter;percent 6e10 positive area_Grey matter;percent GFAP positive area_Grey matter;percent Iba1 positive area_Grey matter,False,True,False,False
results/tables/stage_c_elastic_cov001_epoch_010_sea_ad_microglia_pvm_all_coordinates.csv,stage_c_elastic_cov001_epoch_010_sea_ad_microglia_pvm_all_coordinates.csv,stage_c,58875710,coordinate,True,50,131,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21,True,True,True,False
