dataset_id,source_stage,local_files_found,modality,disease_metadata_available,donor_or_sample_metadata_available,cell_type_metadata_available,expression_available,target_like_measurements_available,usable_for_support_only,usable_for_clean_validation,reason,notes
GSE160936,repo_existing_outputs,results\reports\stage37c_gse160936_dataset_summary_v1.md;results\reports\stage37c_gse160936_missing_data_report_v1.md;results\tables\stage37c_gse160936_readiness_v1.csv;results\tables\stage37c_gse160936_support_scores_v1.csv,unknown_or_prior_external,False,False,False,False,False,True,False,clean validation not inferred; support/readiness only,n_hits=4
GSE125050,repo_existing_outputs,results\reports\stage37d_gse125050_dataset_summary_v1.md;results\reports\stage37d_gse125050_missing_data_report_v1.md;results\tables\stage37d_gse125050_readiness_v1.csv;results\tables\stage37d_gse125050_support_scores_v1.csv,unknown_or_prior_external,False,False,False,False,False,True,False,clean validation not inferred; support/readiness only,n_hits=4
GSE157827,repo_existing_outputs,results\reports\stage37e_gse157827_dataset_summary_v1.md;results\reports\stage37e_gse157827_missing_data_report_v1.md;results\tables\stage37e_gse157827_readiness_v1.csv;results\tables\stage37e_gse157827_support_scores_v1.csv,unknown_or_prior_external,False,False,False,False,False,True,False,clean validation not inferred; support/readiness only,n_hits=4
GSE138852,repo_existing_outputs,results\reports\stage37f_gse138852_dataset_summary_v1.md;results\tables\gse138852_graph_jepa_zero_shot_aligned_donor_embeddings.csv;results\tables\gse138852_graph_jepa_zero_shot_aligned_module_scores.csv;results\tables\gse138852_graph_jepa_zero_shot_aligned_predicted_pathology.csv;results\tables\gse138852_graph_jepa_zero_shot_aligned_report.md;results\tables\gse138852_graph_jepa_zero_shot_aligned_sea_ad_trajectory_vectors.csv;results\tables\gse138852_graph_jepa_zero_shot_aligned_summary.csv;results\tables\gse138852_graph_jepa_zero_shot_aligned_trajectory_scores.csv;results\tables\gse138852_graph_jepa_zero_shot_alignment_comparison.csv;results\tables\gse138852_graph_jepa_zero_shot_baseline_donor_embeddings.csv;results\tables\gse138852_graph_jepa_zero_shot_baseline_module_scores.csv;results\tables\gse138852_graph_jepa_zero_shot_baseline_predicted_pathology.csv;results\tables\gse138852_graph_jepa_zero_shot_baseline_report.md;results\tables\gse138852_graph_jepa_zero_shot_baseline_sea_ad_trajectory_vectors.csv;results\tables\gse138852_graph_jepa_zero_shot_baseline_summary.csv;results\tables\gse138852_graph_jepa_zero_shot_baseline_trajectory_scores.csv;results\tables\gse138852_graph_jepa_zero_shot_donor_embeddings.csv;results\tables\gse138852_graph_jepa_zero_shot_module_scores.csv;results\tables\gse138852_graph_jepa_zero_shot_predicted_pathology.csv;results\tables\gse138852_graph_jepa_zero_shot_report.md,unknown_or_prior_external,False,False,False,True,False,True,False,clean validation not inferred; support/readiness only,n_hits=25
GSE174367,repo_existing_outputs,results\archive\smoke_and_benchmark\figures\v2_1_gse174367_smoke_at8_trajectory.png;results\archive\smoke_and_benchmark\figures\v2_1_gse174367_smoke_at8_trajectory.svg;results\archive\smoke_and_benchmark\tables\v2_1_gse174367_smoke_cell_trajectory_scores.csv;results\archive\smoke_and_benchmark\tables\v2_1_gse174367_smoke_covariate_audit.csv;results\archive\smoke_and_benchmark\tables\v2_1_gse174367_smoke_donor_trajectory_scores.csv;results\archive\smoke_and_benchmark\tables\v2_1_gse174367_smoke_loo_stability.csv;results\archive\smoke_and_benchmark\tables\v2_1_gse174367_smoke_projection_qc.csv;results\archive\smoke_and_benchmark\tables\v2_1_gse174367_smoke_sea_ad_trajectory_vectors.csv;results\archive\smoke_and_benchmark\tables\v2_1_gse174367_smoke_trajectory_correlations.csv;results\figures\v2_1_gse174367_at8_trajectory_by_tangle.png;results\figures\v2_1_gse174367_at8_trajectory_by_tangle.svg;results\reports\external_validation_gse174367.md;results\reports\external_validation_gse174367_smoke.md;results\tables\v2_1_gse174367_cell_trajectory_scores.csv;results\tables\v2_1_gse174367_covariate_audit.csv;results\tables\v2_1_gse174367_donor_trajectory_scores.csv;results\tables\v2_1_gse174367_loo_stability.csv;results\tables\v2_1_gse174367_projection_qc.csv;results\tables\v2_1_gse174367_sea_ad_trajectory_vectors.csv;results\tables\v2_1_gse174367_trajectory_correlations.csv,unknown_or_prior_external,False,False,True,True,False,True,False,clean validation not inferred; support/readiness only,n_hits=23
stage37_38_39_external_outputs,Stage37/38/39,configs\agent\stage37a_validation_dataset_eligibility_audit_v1.yaml;configs\agent\stage37b_manual_dataset_approval_v1.yaml;configs\agent\stage37b_rev1_dataset_claim_reclassification_v1.yaml;configs\agent\stage37c_f_multidataset_external_support_v1.yaml;configs\agent\stage38a_external_data_acquisition_preprocessing_v1.yaml;configs\agent\stage38b_prepared_external_support_analysis_v1.yaml;configs\agent\stage38c_external_support_prioritization_v1.yaml;configs\agent\stage39a_external_metadata_rescue_v1.yaml;configs\agent\stage39b_lph_internal_model_rescue_v1.yaml;configs\agent\stage39c_target_engineering_residual_stack_v1.yaml;configs\agent\stage39d_metadata_composition_stack_v1.yaml;configs\agent\stage39e_strong_simple_model_leaderboard_v1.yaml;configs\agent\stage39f_robustness_confirmation_v1.yaml;configs\agent\stage39h_proxy_safe_composition_decomposition_v1.yaml;results\reports\stage37a_pi_dataset_decision_summary_v1.md;results\reports\stage37a_validation_dataset_eligibility_audit_v1.md;results\reports\stage37b_manual_dataset_approval_dossier_v1.md;results\reports\stage37b_pi_dataset_approval_summary_v1.md;results\reports\stage37b_rev1_dataset_claim_reclassification_report_v1.md;results\reports\stage37b_rev1_pi_reuse_recommendation_summary_v1.md;results\reports\stage37c_f_multidataset_external_support_report_v1.md;results\reports\stage37c_f_pi_multidataset_summary_v1.md;results\reports\stage37c_gse160936_dataset_summary_v1.md;results\reports\stage37c_gse160936_missing_data_report_v1.md;results\reports\stage37d_gse125050_dataset_summary_v1.md;results\reports\stage37d_gse125050_missing_data_report_v1.md;results\reports\stage37e_gse157827_dataset_summary_v1.md;results\reports\stage37e_gse157827_missing_data_report_v1.md;results\reports\stage37f_gse138852_dataset_summary_v1.md;results\reports\stage38a_external_data_acquisition_preprocessing_report_v1.md;results\reports\stage38a_manual_acquisition_instructions_v1.md;results\reports\stage38a_pi_data_readiness_summary_v1.md;results\reports\stage38b_pi_external_support_summary_v1.md;results\reports\stage38b_prepared_external_support_analysis_report_v1.md;results\reports\stage38c_external_support_prioritization_report_v1.md;results\reports\stage38c_pi_priority_shortlist_v1.md;results\reports\stage39a_external_metadata_rescue_report_v1.md;results\reports\stage39a_pi_metadata_gap_summary_v1.md;results\reports\stage39b_lph_internal_model_rescue_report_v1.md;results\reports\stage39b_lph_pi_model_rescue_summary_v1.md;results\reports\stage39c_pi_target_engineering_summary_v1.md;results\reports\stage39c_target_engineering_residual_stack_report_v1.md;results\reports\stage39d_metadata_composition_stack_report_v1.md;results\reports\stage39d_pi_metadata_composition_summary_v1.md;results\reports\stage39e_pi_simple_model_leaderboard_summary_v1.md;results\reports\stage39e_strong_simple_model_leaderboard_report_v1.md;results\reports\stage39f_pi_benchmark_lock_summary_v1.md;results\reports\stage39f_robustness_confirmation_report_v1.md;results\reports\stage39h_pi_proxy_safe_context_summary_v1.md;results\reports\stage39h_proxy_safe_composition_decomposition_report_v1.md,mixed,True,True,True,True,False,True,False,prior outputs are support/readiness context only,n_hits=260
