env_name,python_executable,python_version,package_name,import_name,available,version,cuda_available_if_torch,needed_for_v3,blocking_if_missing,notes
base_current,C:\Users\dushy\anaconda3\python.exe,3.9.7,numpy,numpy,True,1.24.2,,core_scientific,yes,
base_current,C:\Users\dushy\anaconda3\python.exe,3.9.7,pandas,pandas,True,1.5.3,,core_scientific,yes,
base_current,C:\Users\dushy\anaconda3\python.exe,3.9.7,scipy,scipy,True,1.10.1,,core_scientific,yes,
base_current,C:\Users\dushy\anaconda3\python.exe,3.9.7,sklearn,sklearn,True,1.2.1,,core_scientific,yes,
base_current,C:\Users\dushy\anaconda3\python.exe,3.9.7,networkx,networkx,True,2.6.3,,graph_runtime,yes,
base_current,C:\Users\dushy\anaconda3\python.exe,3.9.7,matplotlib,matplotlib,True,3.7.1,,reporting,baseline_only,
base_current,C:\Users\dushy\anaconda3\python.exe,3.9.7,statsmodels,statsmodels,True,0.12.2,,statistics,baseline_only,
base_current,C:\Users\dushy\anaconda3\python.exe,3.9.7,pyarrow,pyarrow,False,,,data_io,baseline_only,ModuleNotFoundError: No module named 'pyarrow'
base_current,C:\Users\dushy\anaconda3\python.exe,3.9.7,h5py,h5py,True,3.2.1,,data_io,baseline_only,
base_current,C:\Users\dushy\anaconda3\python.exe,3.9.7,anndata,anndata,False,,,single_cell_io,baseline_only,ModuleNotFoundError: No module named 'anndata'
base_current,C:\Users\dushy\anaconda3\python.exe,3.9.7,scanpy,scanpy,False,,,single_cell_analysis,baseline_only,ModuleNotFoundError: No module named 'scanpy'
base_current,C:\Users\dushy\anaconda3\python.exe,3.9.7,torch,torch,False,,,v3_neural_model,yes,ModuleNotFoundError: No module named 'torch'
base_current,C:\Users\dushy\anaconda3\python.exe,3.9.7,torch_geometric,torch_geometric,False,,,v3_graph_model,yes,ModuleNotFoundError: No module named 'torch_geometric'
base_current,C:\Users\dushy\anaconda3\python.exe,3.9.7,umap,umap,False,,,manifold_baseline,baseline_only,ModuleNotFoundError: No module named 'umap'
base_current,C:\Users\dushy\anaconda3\python.exe,3.9.7,openTSNE,openTSNE,False,,,manifold_baseline,baseline_only,ModuleNotFoundError: No module named 'openTSNE'
base_current,C:\Users\dushy\anaconda3\python.exe,3.9.7,phate,phate,False,,,manifold_baseline,baseline_only,ModuleNotFoundError: No module named 'phate'
base_current,C:\Users\dushy\anaconda3\python.exe,3.9.7,pydiffmap,pydiffmap,False,,,manifold_baseline,baseline_only,ModuleNotFoundError: No module named 'pydiffmap'
base_current,C:\Users\dushy\anaconda3\python.exe,3.9.7,scvi,scvi,False,,,optional_single_cell_model,no,ModuleNotFoundError: No module named 'scvi'
base_current,C:\Users\dushy\anaconda3\python.exe,3.9.7,xgboost,xgboost,False,,,boosting_baseline,baseline_only,ModuleNotFoundError: No module named 'xgboost'
base_current,C:\Users\dushy\anaconda3\python.exe,3.9.7,lightgbm,lightgbm,False,,,boosting_baseline,baseline_only,ModuleNotFoundError: No module named 'lightgbm'
base_current,C:\Users\dushy\anaconda3\python.exe,3.9.7,dowhy,dowhy,False,,,causal_optional,baseline_only,ModuleNotFoundError: No module named 'dowhy'
