target,n_donors,r2,mae,spearman
percent NeuN positive area_Grey matter,84,0.14582417591484287,1.4101098775863647,0.38835678849853195
number of NeuN positive cells per area_Grey matter,84,0.12427970713619474,9.614774899091572e-05,0.35107826263035335
guhcl pTau_Grey matter,84,0.08465494319301792,0.5479309558868408,0.30717283344386115
ripa tTau_Grey matter,84,-0.016486825740340105,341.72271728515625,0.21334413283385645
percent Iba1 positive area_Grey matter,84,0.04143388743270193,1.5628513097763062,0.20743140629745874
percent AT8 positive area_Grey matter,84,0.09047971675519251,1.0912355184555054,0.20350308798218084
guhcl tTau_Grey matter,84,0.04533614928057095,34.7891960144043,0.20192366103067733
number of AT8 positive cells per area_Grey matter,84,0.09154892393845315,3.755571015062742e-06,0.19922828409677845
percent GFAP positive area_Grey matter,84,0.03234340483567211,3.459543466567993,0.16756100030373594
ripa pTau_Grey matter,84,-0.01922516560579668,1.7911440134048462,0.09907866761162296
ripa abeta42_Grey matter,84,-0.026249212151265633,98.62236022949219,0.08115906812866386
number of 6e10 positive objects per area_Grey matter,84,-0.0895019419461176,6.629011477343738e-05,-0.10597454666950157
percent 6e10 positive area_Grey matter,84,-0.08685764106392724,2.130558490753174,-0.14804090310823123
ripa abeta40_Grey matter,84,-0.09763003601065878,48.661983489990234,-0.15314599290259545
number of activated Iba1 positive cells_Grey matter,84,-0.1286657537710365,3185.209716796875,-0.1560797813101144
guhcl abeta40_Grey matter,84,-0.11433820067731637,100.16295623779297,-0.20438599155605502
guhcl abeta42_Grey matter,84,-0.0938203281738168,591.8088989257812,-0.2201286834498504
