batch_id,tf,n_query_regions,n_mapped_query_regions,query_coverage_fraction,n_selected_db_regions,n_motifs_tested,n_enriched_motifs,n_direct_batch_tf_enriched_motifs,n_extended_batch_tf_enriched_motifs,batch_tf_direct_motif_support,batch_tf_extended_motif_support,top_batch_tf_supported_motif,top_batch_tf_supported_motif_nes,n_batch_tf_supported_hit_rows,n_batch_tf_supported_unique_db_regions,motif_enrichment_completed,validated_regulation,validated_grn_claim,causal_validation_pass,therapeutic_target_claim
1,IRF8,67,63,0.9402985074626866,176,5876,83,0,1,False,True,tfdimers__MD00012,3.5077968729109004,7,7,True,False,False,False,False
2,STAT1,82,78,0.951219512195122,274,5876,75,1,2,True,True,metacluster_167.5,5.282175557880517,46,40,True,False,False,False,False
