dataset,gene,mean_high_minus_low,median_high_minus_low,n_donors
MTG,APOE,1.2496166700540587,1.267139971256256,86
MTG,C1QC,1.1214178866425226,1.1071067452430725,86
MTG,HLA-DRA,1.0855831330598786,1.098318338394165,86
MTG,C1QA,1.002588463037513,1.0501041412353516,86
MTG,TYROBP,0.9879698905833932,0.9967984259128571,86
MTG,B2M,0.9879457465437955,1.0022453963756561,86
MTG,HLA-DRB1,0.9729340450708256,0.9569837749004364,86
MTG,C1QB,0.9678106952545255,0.9692463576793671,86
MTG,CTSD,0.8958712462768998,0.8937322199344635,86
MTG,CD74,0.8855200714843218,0.8526318669319153,86
MTG,HLA-DPA1,0.8640594569056533,0.8823981881141663,86
MTG,TXNIP,0.7338230332662893,0.7207724153995514,86
MTG,PSAP,0.7184620049110678,0.7209948599338531,86
MTG,CTSS,0.7150576298320016,0.7251462340354919,86
MTG,HLA-DPB1,0.6569304833578509,0.6556916236877441,86
MTG,SOD2,0.632824820314729,0.63078972697258,86
MTG,APOC1,0.617620283001384,0.6323047578334808,86
MTG,LAPTM5,0.6103934770406678,0.5918475985527039,86
MTG,NPC2,0.609208484028661,0.6313102841377258,86
MTG,TREM2,0.5544771773870601,0.5369661450386047,86
MTG,CTSB,0.3922539422678393,0.37629711627960205,86
MTG,LAMP2,0.385759181407995,0.39667806029319763,86
MTG,NFKBIA,0.24342978069948595,0.2488834261894226,86
MTG,LGALS3,0.13493169653554296,0.09635869041085243,86
MTG,LPL,0.1344003472910371,0.09614577889442444,86
MTG,BSG,0.0891775258405264,0.058489225804805756,86
MTG,STAT1,0.08114688055113305,0.06831195950508118,86
MTG,IRF8,0.035098169605399285,0.022019505500793457,86
MTG,IL27RA,0.03361234612503024,0.013044822961091995,86
MTG,CST7,0.005652208092384214,-0.007332004606723785,86
MTG,SLC6A12,0.00561682611357334,-0.0032643452286720276,86
DLPFC,APOE,2.0081620259457322,1.9980310201644897,83
DLPFC,B2M,1.4167959237673196,1.433262586593628,83
DLPFC,C1QC,1.4018923317093448,1.4328504800796509,83
DLPFC,C1QB,1.3528899342180736,1.3848682641983032,83
DLPFC,CD74,1.3071627882589776,1.2836698293685913,83
DLPFC,HLA-DRA,1.3066652323826249,1.2928309440612793,83
DLPFC,HLA-DRB1,1.1422375494457153,1.171486735343933,83
DLPFC,C1QA,1.1061453155006271,1.0668593645095825,83
DLPFC,PSAP,0.9874815409442028,0.9788556098937988,83
DLPFC,TYROBP,0.9804517680622009,1.0203425884246826,83
DLPFC,HLA-DPA1,0.8605674589613834,0.8522962331771851,83
DLPFC,CTSD,0.8168256702911423,0.7759530544281006,83
DLPFC,HLA-DPB1,0.784157467175679,0.7972985506057739,83
DLPFC,APOC1,0.7364994200417795,0.7075915336608887,83
DLPFC,LAPTM5,0.715427873364414,0.7427914142608643,83
DLPFC,AIF1,0.6745862224733973,0.6290150880813599,83
DLPFC,CTSB,0.6732966188924858,0.6434012651443481,83
DLPFC,CTSS,0.6602279121976301,0.6876988410949707,83
DLPFC,TXNIP,0.6123596033058971,0.6431423425674438,83
DLPFC,NPC2,0.5713143646717072,0.512340247631073,83
DLPFC,FCER1G,0.5497544559549137,0.5268343687057495,83
DLPFC,GPX4,0.5457761477095535,0.5264536738395691,83
DLPFC,TREM2,0.4414915393993079,0.4083874523639679,83
DLPFC,SOD2,0.4382711880537401,0.4178200364112854,83
DLPFC,PRDX1,0.404169408088348,0.3710671663284302,83
DLPFC,HMOX1,0.3483695291790618,0.3388500511646271,83
DLPFC,LAMP2,0.3056085183318839,0.3031695485115051,83
DLPFC,IFITM3,0.26712372450786365,0.20429229736328125,83
DLPFC,NFKBIA,0.22464762093970575,0.18704742193222046,83
DLPFC,SOD1,0.2008632475801979,0.17998136579990387,83
DLPFC,LGALS3,0.11849462304331632,0.09155990183353424,83
DLPFC,LPL,0.10080349146870964,0.0689600482583046,83
DLPFC,BSG,0.07320073897759598,0.04836659133434296,83
DLPFC,STAT1,0.04493997596114515,0.04219342768192291,83
DLPFC,IRF8,0.03601535903402122,0.04367092251777649,83
DLPFC,NQO1,0.0167733012300254,0.0,83
DLPFC,IL27RA,0.011078436710277056,-0.0035624410957098007,83
DLPFC,SLC6A12,0.0107670086835713,0.0,83
DLPFC,CST7,0.0014648387118814938,-0.005838623270392418,83
