module_name,requested_genes,present_genes,missing_genes,n_present
dam_lipid_trem2_apoe,APOE;TREM2;LPL;APOC1;TYROBP;CST7;LGALS3;CTSD,APOE;TREM2;LPL;APOC1;TYROBP;CST7;LGALS3;CTSD,,8
lysosomal_endolysosomal,CTSD;CTSB;LAPTM5;NPC2;LAMP2;CTSS;GBA;PSAP,CTSD;CTSB;LAPTM5;NPC2;LAMP2;CTSS;GBA;PSAP,,8
complement_phagocytosis,C1QA;C1QB;C1QC;TYROBP;FCER1G;CTSS;AIF1,C1QA;C1QB;C1QC;TYROBP;FCER1G;CTSS;AIF1,,7
antigen_presentation,CD74;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;B2M,CD74;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;B2M,,6
interferon_inflammatory,NFKBIA;IRF8;STAT1;IFITM3;IL27RA;SLC6A12;BSG,NFKBIA;IRF8;STAT1;IFITM3;IL27RA;SLC6A12;BSG,,7
oxidative_stress_gene_preserved,HMOX1;NQO1;SOD2;SOD1;GPX4;PRDX1;TXNIP,HMOX1;NQO1;SOD2;SOD1;GPX4;PRDX1;TXNIP,,7
