entity_type,candidate,pathology_axis_class,pathology_axis_label_confidence,classification_reason,AT8_delta,A_beta_6e10_delta,GFAP_delta,Iba1_delta,NeuN_delta,tau_lowering_score,amyloid_lowering_score,neuron_preservation_score,gliosis_penalty,broad_shift_score,therapeutic_like_score,amyloid_selectivity_score,tau_selectivity_score,dual_pathology_lowering_score,discovery_sort_score,covariate_audit_status,covariate_warning_details,druggability_status,localization,is_membrane,is_secreted,known_compounds_count,max_clinical_trial_phase,n_targets,n_targets_up,n_targets_down,mean_abs_delta,max_abs_delta,strongest_target,strongest_delta,effect_signature,neuron_risk_score,is_covariate_warning,classification_threshold_tau_lowering,classification_threshold_amyloid_lowering,classification_threshold_neuron_preservation,classification_threshold_gliosis_penalty,classification_threshold_broad_shift
gene,PTPRG,dual_pathology_lowering_candidate,weak,AT8 and A_beta both lower without strong NeuN loss; not automatically therapeutic,-0.0024802442640066,-0.0041931541636586,-0.0021057042758911,0.0049901148304343,0.0105366762727499,0.0024802442640066,0.0041931541636586,0.0105366762727499,0.0049901148304343,0.004861178761348101,0.008026805706322202,-0.0032772049307823,-0.0067030247300863,0.0066733984276652,0.006811511015985177,not_audited,,,,,,,,5,2,3,0.0048611787613481,0.0105366762727499,NeuN,0.0105366762727499,A beta/6e10:down; AT8/pTau:down; GFAP:down; Iba1:up; NeuN:up,-0.0105366762727499,False,0.0022587499115616,0.0023861016379669,0.01071326341480015,0.0192552108783274,0.008528049616143049
gene,CTSD,amyloid_lowering_candidate,weak,A_beta lowered but selectivity score or tau/gliosis penalties weaken amyloid specificity,0.0012059407308697,-0.0074471547268331,0.014668027870357,-0.001684563467279,0.024592014029622,-0.0012059407308697,0.0074471547268331,0.024592014029622,0.014668027870357,0.00991954016499216,0.0087180454283953,-0.008426813874393601,-0.0233211233280598,0.0062412139959634,0.006238160387147261,not_audited,,,,,,,,5,3,2,0.0099195401649921,0.024592014029622,NeuN,0.024592014029622,A beta/6e10:down; AT8/pTau:up; GFAP:up; Iba1:down; NeuN:up,-0.024592014029622,False,0.0022587499115616,0.0023861016379669,0.01071326341480015,0.0192552108783274,0.008528049616143049
gene,CD4,artifact_or_covariate_sensitive,weak,covariate audit warning,-0.0025843996554613,-0.0071796393021941,0.0119060650467872,0.0022240281105041,0.0192602612078189,0.0025843996554613,0.0071796393021941,0.0192602612078189,0.0141300931572913,0.00863087866455312,0.007714567705988903,-0.0095348535105585,-0.0187253328040241,0.0097640389576554,0.0055568480398506225,WARNING: Technical Artifact,donor_mean_total_counts_proxy rho=0.377 p=0.00041; donor_median_total_counts_proxy rho=0.372 p=0.00049; donor_mean_n_genes_detected_proxy rho=0.411 p=0.0001; donor_median_n_genes_detected_proxy rho=0.404 p=0.00014,,,,,,,5,3,2,0.0086308786645531,0.0192602612078189,NeuN,0.0192602612078189,A beta/6e10:down; AT8/pTau:down; GFAP:up; Iba1:up; NeuN:up,-0.0192602612078189,True,0.0022587499115616,0.0023861016379669,0.01071326341480015,0.0192552108783274,0.008528049616143049
gene,P2RY13,amyloid_lowering_candidate,weak,A_beta lowered but selectivity score or tau/gliosis penalties weaken amyloid specificity,-0.0017155760433524,-0.003730931552127,0.0058046067133545,-0.0010649107862263,0.0070418999530375,0.0017155760433524,0.003730931552127,0.0070418999530375,0.0058046067133545,0.0038715850096195394,0.0029528692830354,-0.0037892512045798995,-0.0078199622221291,0.0054465075954794,0.001984973030630515,not_audited,,,,,,,,5,2,3,0.0038715850096195,0.0070418999530375,NeuN,0.0070418999530375,A beta/6e10:down; AT8/pTau:down; GFAP:up; Iba1:down; NeuN:up,-0.0070418999530375,False,0.0022587499115616,0.0023861016379669,0.01071326341480015,0.0192552108783274,0.008528049616143049
gene,DRAM1,mixed_or_unclear,weak,no conservative pathology-axis rule passed,0.0007611562032252,-0.0005049563478678,0.0011927769519388,-0.000341162784025,0.0013625422725453,-0.0007611562032252,0.0005049563478678,0.0013625422725453,0.0011927769519388,0.00083251891192042,-0.0005913908826187,-0.0014489768072962,-0.0024588895030318,-0.00025619985535740007,-0.000799520610598805,not_audited,,,,,,,,5,3,2,0.0008325189119204,0.0013625422725453,NeuN,0.0013625422725453,A beta/6e10:down; AT8/pTau:up; GFAP:up; Iba1:down; NeuN:up,-0.0013625422725453,False,0.0022587499115616,0.0023861016379669,0.01071326341480015,0.0192552108783274,0.008528049616143049
gene,F13A1,mixed_or_unclear,weak,no conservative pathology-axis rule passed,0.0007706399192102,0.0003178431943524,0.0002635774144437,-0.0014567857142537,-0.0004063220112584,-0.0007706399192102,-0.0003178431943524,-0.0004063220112584,0.0002635774144437,0.00064303365070368,-0.0014405393449123,-0.0013520605280063,-0.0013520605280063,-0.0010884831135626,-0.0016012977575882198,not_audited,,,,,,,,5,3,2,0.0006430336507036,0.0014567857142537,Iba1,-0.0014567857142537,A beta/6e10:up; AT8/pTau:up; GFAP:up; Iba1:down; NeuN:down,0.0004063220112584,False,0.0022587499115616,0.0023861016379669,0.01071326341480015,0.0192552108783274,0.008528049616143049
gene,ROCK1,amyloid_lowering_candidate,weak,A_beta lowered but selectivity score or tau/gliosis penalties weaken amyloid specificity,-0.0019059550249949,-0.0039400146342813,0.007653341628611,0.0037673229817301,0.008645225316286,0.0019059550249949,0.0039400146342813,0.008645225316286,0.011420664610341101,0.00518237191718066,-0.0008694842690602014,-0.0093866050010547,-0.013454724219627501,0.0058459696592762,-0.0021650772483553663,not_audited,,,,,,,,5,3,2,0.0051823719171806,0.008645225316286,NeuN,0.008645225316286,A beta/6e10:down; AT8/pTau:down; GFAP:up; Iba1:up; NeuN:up,-0.008645225316286,False,0.0022587499115616,0.0023861016379669,0.01071326341480015,0.0192552108783274,0.008528049616143049
gene,CHI3L1,mixed_or_unclear,weak,no conservative pathology-axis rule passed,-0.0003336023073643,0.0004185679426882,-0.001681605936028,-0.000731544860173,-0.0025349627248942,0.0003336023073643,-0.0004185679426882,-0.0025349627248942,0.0,0.00114005675422954,-0.0022013604175299003,-0.0007521702500525,-8.496563532390004e-05,-8.496563532390004e-05,-0.0024863746060872854,not_audited,,,,,,,,5,1,4,0.0011400567542295,0.0025349627248942,NeuN,-0.0025349627248942,A beta/6e10:up; AT8/pTau:down; GFAP:down; Iba1:down; NeuN:down,0.0025349627248942,False,0.0022587499115616,0.0023861016379669,0.01071326341480015,0.0192552108783274,0.008528049616143049
gene,UGCG,mixed_or_unclear,weak,no conservative pathology-axis rule passed,0.0007971750455908,-0.0020530777983367,0.0079714655876159,0.0063640447333455,0.0086247576400637,-0.0007971750455908,0.0020530777983367,0.0086247576400637,0.014335510320961399,0.00516210416099052,-0.006507927726488498,-0.013079607568215499,-0.0171857631648889,0.0012559027527459,-0.007798453766736128,not_audited,,,,,,,,5,4,1,0.0051621041609905,0.0086247576400637,NeuN,0.0086247576400637,A beta/6e10:down; AT8/pTau:up; GFAP:up; Iba1:up; NeuN:up,-0.0086247576400637,False,0.0022587499115616,0.0023861016379669,0.01071326341480015,0.0192552108783274,0.008528049616143049
gene,PLCG2,mixed_or_unclear,weak,no conservative pathology-axis rule passed,0.0006295369239524,-0.0010227205930277,0.0067346352152526,0.0041036093607544,0.0030679134652018,-0.0006295369239524,0.0010227205930277,0.0030679134652018,0.010838244576007,0.0031116831116377803,-0.0083998680347576,-0.010445060906931699,-0.0124905020929871,0.0003931836690753,-0.009177788812667044,not_audited,,,,,,,,5,4,1,0.0031116831116377,0.0067346352152526,GFAP,0.0067346352152526,A beta/6e10:down; AT8/pTau:up; GFAP:up; Iba1:up; NeuN:up,-0.0030679134652018,False,0.0022587499115616,0.0023861016379669,0.01071326341480015,0.0192552108783274,0.008528049616143049
