score,comparison,n_early_donors,n_late_donors,auc_late_vs_early,rank_biserial_late_minus_early,late_mean,early_mean,mean_difference_late_minus_early
trajectory_AT8/pTau_score,tangle_stage_1_2_vs_5_6,7,11,0.6233766233766234,0.24675324675324672,0.46408320692452515,0.3531415989356382,0.11094160798888697
trajectory_A beta/6e10_score,tangle_stage_1_2_vs_5_6,7,11,0.6233766233766234,0.24675324675324672,0.39127781648527493,0.2861533271414893,0.10512448934378565
trajectory_NeuN_score,tangle_stage_1_2_vs_5_6,7,11,0.6103896103896104,0.22077922077922074,0.797270920466293,0.6660863182374409,0.1311846022288521
trajectory_Iba1_score,tangle_stage_1_2_vs_5_6,7,11,0.5974025974025974,0.19480519480519476,1.0455954339016567,0.8967405344758715,0.14885489942578511
trajectory_GFAP_score,tangle_stage_1_2_vs_5_6,7,11,0.38961038961038963,-0.22077922077922074,-1.544978835365989,-1.3889066044773375,-0.15607223088865152
