control_graph_id,control_type,seed,scenario_id,regulator,direction,magnitude,n_cells,n_donors,mean_regulator_delta,mean_target_only_l1_delta_norm,mean_target_only_l2_delta_norm,mean_full_changed_feature_l1_delta_norm,mean_full_changed_feature_l2_delta_norm,mean_number_changed_features,total_clipping_count,mean_clipping_fraction
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,ELF1_down_0p10,ELF1,down,0.1,32,6,-0.1,0.02466037841505544,0.01071864910104575,0.10591037841505552,0.08358430860588462,6.09375,573,0.74609375
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,ELF1_down_0p25,ELF1,down,0.25,32,6,-0.25,0.061650946037638654,0.026796622752614428,0.26477594603763865,0.20896077151471137,6.09375,573,0.74609375
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,ELF1_up_0p10,ELF1,up,0.1,32,6,0.1,0.10000000000000002,0.02195081771452357,0.20000000000000004,0.10238084976369484,24.0,0,0.0
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,ELF1_up_0p25,ELF1,up,0.25,32,6,0.25,0.25000000000000006,0.054877044286308956,0.5000000000000001,0.255952124409237,24.0,0,0.0
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,SPI1_down_0p10,SPI1,down,0.1,32,6,-0.1,0.0293049124381591,0.01445589196226784,0.03867991243815911,0.02221691470122957,4.0625,350,0.7291666666666666
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,SPI1_down_0p25,SPI1,down,0.25,32,6,-0.25,0.07326228109539731,0.03613972990566938,0.09669978109539731,0.0555422867530737,4.0625,350,0.7291666666666666
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,SPI1_up_0p10,SPI1,up,0.1,32,6,0.1,0.10000000000000019,0.027168736708773896,0.2000000000000002,0.1036249982115835,15.0,0,0.0
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,SPI1_up_0p25,SPI1,up,0.25,32,6,0.25,0.25,0.06792184177193462,0.5,0.25906249552895866,15.0,0,0.0
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,STAT1_down_0p10,STAT1,down,0.1,32,6,-0.1,0.029262324805912333,0.01338633569269107,0.06051232480591235,0.04058650235484673,5.375,372,0.6838235294117647
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,STAT1_down_0p25,STAT1,down,0.25,32,6,-0.25,0.07315581201478055,0.033465839231727544,0.15128081201478055,0.10146625588711668,5.375,372,0.6838235294117647
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,STAT1_up_0p10,STAT1,up,0.1,32,6,0.1,0.09785198153070208,0.026337002780611823,0.1978519815307021,0.10341005857896789,16.1875,26,0.04779411764705882
