candidate_id,mean_pooled_oof_spearman,delta_vs_latent_only,delta_vs_stage39e_pca8,delta_vs_stage27c
full_39d_reconstruction_comparator,0.4933643818973373,0.1475549255846917,0.13528321910526814,0.1666619418851878
latent_only,0.3458094563126456,0.0,-0.01227170647942355,0.019107016300496105
latent_plus_tier1_plus_tier2,0.38781411359724616,0.042004657284600566,0.029732950805177016,0.06111167358509667
latent_plus_tier1_safe_metadata,0.37668522830819073,0.030875771995545143,0.018604065516121593,0.04998278829604125
latent_plus_tier2_composition,0.34010732003644834,-0.005702136276197256,-0.017973842755620806,0.013404880024298849
restricted_no_pseudo_no_seaad_reconstruction,0.12650804900273363,-0.21930140730991196,-0.2315731137893355,-0.20019439100941586
safe_composition_only,-0.020388885233050727,-0.3661983415456963,-0.37847004802511985,-0.3470913252452002
safe_metadata_only,0.24245418649387468,-0.10335526981877091,-0.11562697629819446,-0.08424825351827481
stage27c_reference,0.3267024400121495,-0.019107016300496105,-0.031378722779919654,0.0
stage39e_pca8_reference,0.35808116279206914,0.01227170647942355,0.0,0.031378722779919654
target_shuffled_control,-0.01542573655968411,-0.3612351928723297,-0.37350689935175324,-0.3421281765718336
tier3_proxy_only_comparator,0.1718497519489724,-0.1739597043636732,-0.18623141084309675,-0.1548526880631771
