source_tf,target_gene,edge_type,n_samples,spearman_rho,spearman_pvalue,bootstrap_median_rho,bootstrap_sd_rho,bootstrap_sign_stability,tf_mean_microglia_expressed_fraction,target_mean_microglia_expressed_fraction,atac_peak_support_status,motif_support_status,edge_candidate_pass,claim_language
BACH1,LAPTM5,microglia_snrna_sample_coactivity,18,0.9133126934984519,1.2182182797478767e-07,0.8997912317327766,0.0510019166717975,1.0,0.7182959780743823,0.4685638507440458,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
NRF1,AP1G1,microglia_snrna_sample_coactivity,18,0.9029927760577915,2.8975155060171095e-07,0.9008895158604204,0.0879430018894823,1.0,0.41908665570149395,0.2724491569792058,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
NFKB1,FCER1G,microglia_snrna_sample_coactivity,18,0.8885448916408669,8.394663545248568e-07,0.8702659614576713,0.06057736531558427,1.0,0.3477197168557938,0.13221140813433435,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
ELF1,AP1G1,microglia_snrna_sample_coactivity,18,0.8782249742002064,1.6482702612246244e-06,0.8831499614679619,0.08886247776818615,1.0,0.6193480739287138,0.2724491569792058,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
ELF1,FCER1G,microglia_snrna_sample_coactivity,18,0.8740970072239421,2.123130093783671e-06,0.8777450209643607,0.08891292703711076,1.0,0.6193480739287138,0.13221140813433435,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
ELF1,APOE,microglia_snrna_sample_coactivity,18,0.87203302373581,2.4017641453772196e-06,0.8711685182706466,0.07800884546461456,1.0,0.6193480739287138,0.3446906182885147,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
SPI1,AP1G1,microglia_snrna_sample_coactivity,18,0.8596491228070176,4.827997425048475e-06,0.8593766106936496,0.10229812763251304,1.0,0.3132576831893714,0.2724491569792058,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
PPARG,FCER1G,microglia_snrna_sample_coactivity,18,0.8575851393188855,5.3892599467414964e-06,0.8283609390847932,0.07849783122578545,1.0,0.23448901936554328,0.13221140813433435,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
NRF1,PLD3,microglia_snrna_sample_coactivity,18,0.8575851393188855,5.3892599467414964e-06,0.8542425424904615,0.08727884957909636,1.0,0.41908665570149395,0.20977653153134185,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
NFKB1,AP1G1,microglia_snrna_sample_coactivity,18,0.8555211558307534,6.005632918162668e-06,0.8488811887640939,0.08891304372416599,1.0,0.3477197168557938,0.2724491569792058,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
NRF1,PSAP,microglia_snrna_sample_coactivity,18,0.8555211558307534,6.005632918162668e-06,0.8404188013085612,0.0959908664387673,1.0,0.41908665570149395,0.5064787733429853,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
SPI1,FCER1G,microglia_snrna_sample_coactivity,18,0.8534571723426212,6.681541734969331e-06,0.8421325900420834,0.08276719310058982,1.0,0.3132576831893714,0.13221140813433435,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
STAT3,AP1G1,microglia_snrna_sample_coactivity,18,0.8534571723426212,6.681541734969331e-06,0.8523908523908525,0.08614699415569663,1.0,0.554013960823625,0.2724491569792058,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
SPI1,APOE,microglia_snrna_sample_coactivity,18,0.8513931888544891,7.42168762562196e-06,0.8374998236760238,0.08799021532850307,1.0,0.3132576831893714,0.3446906182885147,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
NFKB1,LAPTM5,microglia_snrna_sample_coactivity,18,0.8513931888544891,7.42168762562196e-06,0.8427173170222018,0.085849519871431,1.0,0.3477197168557938,0.4685638507440458,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
NRF1,CTSS,microglia_snrna_sample_coactivity,18,0.8431372549019607,1.1129003812786908e-05,0.8308930970570064,0.08842178865279945,1.0,0.41908665570149395,0.35899723445306414,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
CEBPB,LAPTM5,microglia_snrna_sample_coactivity,18,0.8390092879256965,1.351266247095845e-05,0.8196024704244955,0.09131616468532397,1.0,0.26683700723042186,0.4685638507440458,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
SPI1,LAPTM5,microglia_snrna_sample_coactivity,18,0.8328173374613003,1.7901901423159217e-05,0.832030790799333,0.09409464965232883,1.0,0.3132576831893714,0.4685638507440458,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
NFE2L2,FCER1G,microglia_snrna_sample_coactivity,18,0.8328173374613003,1.7901901423159217e-05,0.8310804712688049,0.09361877525554953,1.0,0.4825569896100508,0.13221140813433435,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
CEBPB,PRDX1,microglia_snrna_sample_coactivity,18,0.8286893704850361,2.1461184426396098e-05,0.8153526970954358,0.09199864497474566,1.0,0.26683700723042186,0.0546293123458819,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
BACH1,C1QB,microglia_snrna_sample_coactivity,18,0.8286893704850361,2.1461184426396098e-05,0.8064855330551882,0.1162475979736124,1.0,0.7182959780743823,0.3998900395366775,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
BACH1,C1QC,microglia_snrna_sample_coactivity,18,0.8224974200206397,2.7926170666106315e-05,0.8145833333333333,0.07658384697808632,1.0,0.7182959780743823,0.28887820968764655,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
STAT3,HMOX1,microglia_snrna_sample_coactivity,18,0.8204334365325078,3.0420805277771525e-05,0.8051080349500559,0.10367932235082782,1.0,0.554013960823625,0.14145689895878755,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
BACH1,HMOX1,microglia_snrna_sample_coactivity,18,0.8204334365325078,3.0420805277771525e-05,0.8118511891061903,0.08139374482481515,1.0,0.7182959780743823,0.14145689895878755,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
ELF1,PLD3,microglia_snrna_sample_coactivity,18,0.8183694530443757,3.3103070471624634e-05,0.8108686513547598,0.10491669417222456,1.0,0.6193480739287138,0.20977653153134185,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
NFE2L2,AP1G1,microglia_snrna_sample_coactivity,18,0.8163054695562436,3.598441737777743e-05,0.8135430275305016,0.11361417822355296,1.0,0.4825569896100508,0.2724491569792058,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
NRF1,PRDX1,microglia_snrna_sample_coactivity,18,0.8121775025799793,4.239283893458809e-05,0.798740148136428,0.10981922454024869,1.0,0.41908665570149395,0.0546293123458819,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
NFKB1,C1QB,microglia_snrna_sample_coactivity,18,0.8101135190918473,4.594554343625327e-05,0.825363070539419,0.11791735641918719,1.0,0.3477197168557938,0.3998900395366775,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
CEBPB,HMOX1,microglia_snrna_sample_coactivity,18,0.8080495356037152,4.974862279747091e-05,0.7896402307185089,0.10713840471452712,1.0,0.26683700723042186,0.14145689895878755,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
ELF1,LAPTM5,microglia_snrna_sample_coactivity,18,0.7956656346749225,7.866871839732892e-05,0.7813471502590673,0.11661912313561516,1.0,0.6193480739287138,0.4685638507440458,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
STAT3,FCER1G,microglia_snrna_sample_coactivity,18,0.7915376676986584,9.103407554058783e-05,0.7804381534836582,0.10823702134131326,1.0,0.554013960823625,0.13221140813433435,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
PPARG,LAPTM5,microglia_snrna_sample_coactivity,18,0.7915376676986584,9.103407554058783e-05,0.7833295716939532,0.08908486360341553,1.0,0.23448901936554328,0.4685638507440458,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
ELF1,LAMP2,microglia_snrna_sample_coactivity,18,0.7894736842105263,9.781072774060512e-05,0.7998978780125987,0.1235458064111242,1.0,0.6193480739287138,0.20766387318271254,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
RUNX1,AP1G1,microglia_snrna_sample_coactivity,18,0.7874097007223942,0.0001050103927107811,0.7667927677932664,0.1322256509174271,1.0,0.8827267977897237,0.2724491569792058,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
SPI1,C1QB,microglia_snrna_sample_coactivity,18,0.7853457172342622,0.0001126543102925679,0.7796257796257797,0.09754165355694677,1.0,0.3132576831893714,0.3998900395366775,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
CEBPB,FCER1G,microglia_snrna_sample_coactivity,18,0.7853457172342622,0.0001126543102925679,0.7733887733887734,0.12385783651854129,1.0,0.26683700723042186,0.13221140813433435,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
NFE2L2,HMOX1,microglia_snrna_sample_coactivity,18,0.7853457172342622,0.0001126543102925679,0.8101673648722084,0.1349759437665426,1.0,0.4825569896100508,0.14145689895878755,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
CEBPB,AP1G1,microglia_snrna_sample_coactivity,18,0.78328173374613,0.00012076451611540745,0.7889759950725875,0.12834041410528235,1.0,0.26683700723042186,0.2724491569792058,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
PPARG,C1QC,microglia_snrna_sample_coactivity,18,0.78328173374613,0.00012076451611540745,0.7727982707681613,0.12956193333190213,1.0,0.23448901936554328,0.28887820968764655,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
NRF1,C1QB,microglia_snrna_sample_coactivity,18,0.78328173374613,0.00012076451611540745,0.8068240937508266,0.12800714964370258,1.0,0.41908665570149395,0.3998900395366775,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
ELF1,C1QB,microglia_snrna_sample_coactivity,18,0.7812177502579979,0.00012936386013196713,0.7751156029890933,0.1302873854010081,1.0,0.6193480739287138,0.3998900395366775,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
NFKB1,C1QC,microglia_snrna_sample_coactivity,18,0.7791537667698658,0.00013847602522646014,0.7854216965520984,0.12612511241576715,1.0,0.3477197168557938,0.28887820968764655,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
SPI1,PRDX1,microglia_snrna_sample_coactivity,18,0.7770897832817338,0.00014812554588688426,0.7726832355272557,0.15354649817026203,1.0,0.3132576831893714,0.0546293123458819,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
NFE2L2,CTSS,microglia_snrna_sample_coactivity,18,0.7750257997936018,0.00015833782693194361,0.7909529290105963,0.1368556568292969,1.0,0.4825569896100508,0.35899723445306414,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
BACH1,CTSB,microglia_snrna_sample_coactivity,18,0.7729618163054695,0.00016913916228325986,0.7612869102864063,0.11604048678529244,1.0,0.7182959780743823,0.6474920997642787,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
CEBPB,C1QB,microglia_snrna_sample_coactivity,18,0.7688338493292053,0.0001926187299802615,0.7522107107009455,0.09747830106653682,1.0,0.26683700723042186,0.3998900395366775,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation
