model,target,module,perturbation,intervention,n_genes_perturbed,genes,mean_delta_model_scale,mean_delta_raw_scale,median_delta_raw_scale,abs_mean_delta_raw_scale,n_donors,n_cells
upgrade_fine_08,percent AT8 positive area_Grey matter,antigen_presentation,antigen_presentation,global_mean,10,B2M;CD74;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;TAP1;TAP2,-0.010088850744068623,-0.01749374158680439,-0.01530313491821289,0.01749374158680439,84,11666
upgrade_fine_08,percent AT8 positive area_Grey matter,vascular_barrier_myeloid,vascular_barrier_myeloid,global_mean,10,C1QA;C1QB;C1QC;CD163;F13A1;LYVE1;MARCO;MERTK;MRC1;MSR1,-0.009057741612195969,-0.015683893114328384,-0.01451420783996582,0.015683893114328384,84,11666
upgrade_fine_08,percent AT8 positive area_Grey matter,lipid_metabolism,lipid_metabolism,global_mean,9,ABCA1;ABCA7;APOE;CLU;LPL;MSR1;PLCG2;SORL1;TREM2,0.007822892628610134,0.01376964058727026,0.013585090637207031,0.01376964058727026,84,11666
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,homeostatic_microglia,global_mean,10,CSF1R;CX3CR1;GPR34;HEXB;OLFML3;P2RY12;P2RY13;SALL1;SELPLG;TMEM119,0.006976707838475704,0.012402829714119434,0.011407613754272461,0.012402829714119434,84,11666
upgrade_fine_08,percent AT8 positive area_Grey matter,senescence_stress,senescence_stress,global_mean,10,CDKN1A;CDKN2A;DDIT3;FOS;GADD45A;HSP90AA1;HSPA1A;HSPA1B;JUN;SERPINE1,0.006775453686714172,0.011929772794246674,0.0121690034866333,0.011929772794246674,84,11666
upgrade_fine_08,percent AT8 positive area_Grey matter,inflammatory_signaling,inflammatory_signaling,global_mean,11,CCL2;CCL3;CCL4;CXCL8;IL18;IL1B;IL27RA;IL6;NFKBIA;TNF;TNFRSF11B,-0.005408020224422216,-0.009444070979952812,-0.00857330858707428,0.009444070979952812,84,11666
upgrade_fine_08,percent AT8 positive area_Grey matter,complement,complement,global_mean,9,C1QA;C1QB;C1QC;C3;C4A;C4B;CFH;SERPING1;VSIG4,-0.005275629926472902,-0.009092818945646286,-0.008062690496444702,0.009092818945646286,84,11666
upgrade_fine_08,percent AT8 positive area_Grey matter,lysosome_phagocytosis,lysosome_phagocytosis,global_mean,10,CD68;CTSB;CTSD;CTSS;FCGR3A;LAMP1;LAMP2;LAPTM5;MERTK;NPC2,0.004068378359079361,0.006985448766499758,0.0069460272789001465,0.006985448766499758,84,11666
upgrade_fine_08,percent AT8 positive area_Grey matter,plaque_response,plaque_response,global_mean,12,APOE;AXL;CLEC7A;CST7;CTSD;GPNMB;ITGAX;LGALS3;LPL;SPP1;TREM2;TYROBP,-0.002941623330116272,-0.004974869545549154,-0.0029948800802230835,0.004974869545549154,84,11666
upgrade_fine_08,percent AT8 positive area_Grey matter,disease_associated_microglia,disease_associated_microglia,global_mean,13,APOE;AXL;CD9;CLEC7A;CST7;CTSD;GPNMB;ITGAX;LGALS3;LPL;SPP1;TREM2;TYROBP,-0.0024289069697260857,-0.004082939587533474,-0.0023780912160873413,0.004082939587533474,84,11666
