dataset_id,success,n_obs,n_columns,path,error
d2fc9880-e6d3-4922-af5c-61f4f517adfa,True,111194,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_d2fc9880-e6d3-4922-af5c-61f4f517adfa.csv,
de104f7e-14fa-4795-bd19-b5ee2c1563e0,True,45252,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_de104f7e-14fa-4795-bd19-b5ee2c1563e0.csv,
0ed60482-a34f-4268-b576-d69cc30210f6,True,55968,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_0ed60482-a34f-4268-b576-d69cc30210f6.csv,
74d584f0-74fc-482e-b944-e76f29c1ab85,True,87444,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_74d584f0-74fc-482e-b944-e76f29c1ab85.csv,
03181d87-4769-41e7-8c39-d9a81835f0d2,True,75706,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_03181d87-4769-41e7-8c39-d9a81835f0d2.csv,
d87f3f91-dca4-494b-8993-c4e3008a8fa5,True,90804,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_d87f3f91-dca4-494b-8993-c4e3008a8fa5.csv,
a0d173dd-bb10-4d13-8b9a-e13a4ee83c8c,True,104514,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_a0d173dd-bb10-4d13-8b9a-e13a4ee83c8c.csv,
6437bc9c-16cb-46c8-8f79-9a7384a0212a,True,47373,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_6437bc9c-16cb-46c8-8f79-9a7384a0212a.csv,
9940f951-3dc0-4579-bbb2-2392786e59a3,True,145995,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_9940f951-3dc0-4579-bbb2-2392786e59a3.csv,
53bc5729-6202-4351-bc99-1f36139e9dc4,True,100215,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_53bc5729-6202-4351-bc99-1f36139e9dc4.csv,
9ff9f9ba-016b-4cbb-8899-45dc20860b8b,True,81869,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_9ff9f9ba-016b-4cbb-8899-45dc20860b8b.csv,
605b89b1-c474-4180-8c0b-88afb5920991,True,128090,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_605b89b1-c474-4180-8c0b-88afb5920991.csv,
04c94a7d-1133-42c9-bb48-c697bd302a8d,True,116142,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_04c94a7d-1133-42c9-bb48-c697bd302a8d.csv,
ac0fee7e-0999-4319-b244-20278e1ff2fb,True,168860,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_ac0fee7e-0999-4319-b244-20278e1ff2fb.csv,
44c83972-e5d2-4858-ac58-2df9f4bf564b,True,104106,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_44c83972-e5d2-4858-ac58-2df9f4bf564b.csv,
b74100ea-1a1a-486a-9cad-70ae44150935,True,330085,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_b74100ea-1a1a-486a-9cad-70ae44150935.csv,
646e3e87-e46b-4b12-85b5-8d8589e26088,True,341960,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_646e3e87-e46b-4b12-85b5-8d8589e26088.csv,
c2876b1b-06d8-4d96-a56b-5304f815b99a,True,1378211,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_c2876b1b-06d8-4d96-a56b-5304f815b99a.csv,
6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3,True,1395601,11,data/sea_ad/stage45/cellxgene/stage45_cellxgene_obs_metadata_6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3.csv,
