model_variant,fold_id,self_supervised_train_loss,self_supervised_heldout_loss
raw_jepa_no_graph,1,0.00015771972539369017,0.00014897277287673205
raw_jepa_no_graph,2,9.865420724963769e-05,6.068381480872631e-05
raw_jepa_no_graph,3,3.19094215228688e-05,1.5975792848621495e-05
raw_jepa_no_graph,4,0.0004823681665584445,0.00014592272054869682
raw_jepa_no_graph,5,2.0917488654959016e-05,1.3930137356510386e-05
identity_diffusion_jepa,1,0.00015771972539369017,0.00014897277287673205
identity_diffusion_jepa,2,9.865420724963769e-05,6.068381480872631e-05
identity_diffusion_jepa,3,3.19094215228688e-05,1.5975792848621495e-05
identity_diffusion_jepa,4,0.0004823681665584445,0.00014592272054869682
identity_diffusion_jepa,5,2.0917488654959016e-05,1.3930137356510386e-05
beta0_diffusion_jepa,1,0.00015771972539369017,0.00014897277287673205
beta0_diffusion_jepa,2,9.865420724963769e-05,6.068381480872631e-05
beta0_diffusion_jepa,3,3.19094215228688e-05,1.5975792848621495e-05
beta0_diffusion_jepa,4,0.0004823681665584445,0.00014592272054869682
beta0_diffusion_jepa,5,2.0917488654959016e-05,1.3930137356510386e-05
real_string_t900_diffusion_jepa,1,1.2057335376739502,2.0615122318267822
real_string_t900_diffusion_jepa,2,1.330153465270996,1.6601672172546387
real_string_t900_diffusion_jepa,3,1.649277925491333,2.269798755645752
real_string_t900_diffusion_jepa,4,2.0313594341278076,2.1917474269866943
real_string_t900_diffusion_jepa,5,1.51016366481781,2.7567038536071777
random_graph_diffusion_jepa,1,1.4339275360107422,2.5507144927978516
random_graph_diffusion_jepa,2,1.5808652639389038,2.0512709617614746
random_graph_diffusion_jepa,3,1.676490068435669,2.3292815685272217
random_graph_diffusion_jepa,4,1.7428679466247559,2.6426782608032227
random_graph_diffusion_jepa,5,1.8550982475280762,2.9713592529296875
gene_label_shuffled_graph_jepa,1,1.072125792503357,1.508671760559082
gene_label_shuffled_graph_jepa,2,1.153742790222168,1.6530802249908447
gene_label_shuffled_graph_jepa,3,1.2012097835540771,1.819606065750122
gene_label_shuffled_graph_jepa,4,1.120459794998169,1.886304497718811
gene_label_shuffled_graph_jepa,5,1.346916913986206,2.0909347534179688
degree_preserving_shuffled_graph_jepa,1,1.072125792503357,1.508671760559082
degree_preserving_shuffled_graph_jepa,2,1.153742790222168,1.6530802249908447
degree_preserving_shuffled_graph_jepa,3,1.2012097835540771,1.819606065750122
degree_preserving_shuffled_graph_jepa,4,1.120459794998169,1.886304497718811
degree_preserving_shuffled_graph_jepa,5,1.346916913986206,2.0909347534179688
