epoch,loss,jepa_loss,domain_loss,domain_accuracy,alignment_state,selected_sea_ad_cells,selected_rexach_cells,selected_olah_cells,lambda_grl,mask_fraction,epoch_seconds,cells_per_second,effective_dims,top_sv_ratio,mean_dim_std,centroid_l2_sea_ad_rexach,centroid_l2_sea_ad_olah,centroid_l2_rexach_olah,random_gene_dropout_genes,module_dropout_events,module_dropout_genes,external_mask_events,external_mask_genes,edge_dropout_edges
1,0.5661536435927114,0.013122045885651343,1.1060632005814584,0.353494623655914,reference_like,6263,3605,2013,0.11995727325477043,0.2,41.344193700002506,143.9621738227208,45.728519439697266,0.23186923563480377,0.011962493881583214,0.12911725044250488,0.2544376254081726,0.12556365132331848,2642043,601,6142,1478,268996,715994
2,0.5597787672473539,0.012931178894735152,1.0936951637268066,0.37231182795698925,reference_like,6263,3605,2013,0.35374915252499306,0.275,41.64841119997436,142.91061359871668,45.58762741088867,0.21857509016990662,0.011778119951486588,0.11866787821054459,0.23617081344127655,0.117764912545681,2641860,588,5969,1464,272706,715191
3,0.5466050390274294,0.012973785851030581,1.0672625187904603,0.432627688172043,reference_like,6263,3605,2013,0.5505020129511542,0.35,41.99511409999104,141.73077339016612,43.15178298950195,0.18922637403011322,0.01273720245808363,0.10536963492631912,0.2085293084383011,0.10344885289669037,2638764,564,5742,1496,271080,715556
4,0.4726340155447683,0.012973102110047494,0.9193218215819328,0.5514112903225806,reference_like,6263,3605,2013,0.7007246712918049,0.425,42.20090750005329,141.03962100797202,47.459720611572266,0.16868671774864197,0.011141529306769371,0.09192109853029251,0.18143382668495178,0.08984073996543884,2640357,556,5638,1500,278066,715971
5,0.38233145975297494,0.012767098032899441,0.7391287184530689,0.6377688172043011,reference_like,6263,3605,2013,0.807072060140185,0.5,42.39951660000952,140.37895894309946,58.61776351928711,0.18731896579265594,0.008158502168953419,0.08840520679950714,0.17329704761505127,0.08521021157503128,2639179,603,6081,1530,283526,716097
6,0.38995926803158176,0.012471575680519304,0.7549753881269886,0.6261760752688172,reference_like,6263,3605,2013,0.8783741400058992,0.5,42.58170020004036,139.77835483408808,59.64329528808594,0.18786972761154175,0.007894864305853844,0.08445383608341217,0.16822077333927155,0.0841161236166954,2642116,562,5718,1479,268433,714944
7,0.37209403226452487,0.012495305779720507,0.7191974520683289,0.6428091397849462,reference_like,6263,3605,2013,0.924445635824921,0.5,42.71445460000541,139.3439306608692,59.80442810058594,0.18864805996418,0.00784746091812849,0.0875893086194992,0.16931550204753876,0.08207770437002182,2640938,598,6084,1510,275416,716748
8,0.36556829271777985,0.012344619109024924,0.7064473513633974,0.6466733870967742,reference_like,6263,3605,2013,0.9535054822059571,0.5,42.75192840001546,139.22179005141317,59.60585403442383,0.19033074378967285,0.007759742438793182,0.08397744596004486,0.16775734722614288,0.08411891013383865,2637165,564,5717,1481,274459,715529
9,0.3621015740979102,0.012095282064570535,0.7000125877318844,0.6508736559139785,reference_like,6263,3605,2013,0.9715567079877375,0.5,42.77870020002592,139.13466216059535,60.5767936706543,0.1849822849035263,0.007731015328317881,0.08393564075231552,0.1651860475540161,0.08161184936761856,2639866,633,6448,1465,258137,716750
10,0.3887381649786426,0.012026342082648508,0.7534236408049061,0.6248319892473119,reference_like,6263,3605,2013,0.9826630931524248,0.5,42.81277050002245,139.02393913042556,60.40488052368164,0.18449632823467255,0.007714122533798218,0.08207444846630096,0.1636343151330948,0.08186803013086319,2639978,551,5601,1444,267278,716382
