model_variant,latent_dim,seed,fold_id,target,chosen_branch,inner_scores,selection_scope
nested_target_gated_programming_vs_state_module,8,107,1,AT8,programming_plus_state_module,programming_only=0.523407;programming_plus_state_module=0.540809,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,107,1,6e10/A_beta,programming_plus_state_module,programming_only=0.176348;programming_plus_state_module=0.207843,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,107,1,GFAP,programming_plus_state_module,programming_only=0.125735;programming_plus_state_module=0.174510,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,107,1,Iba1,programming_plus_state_module,programming_only=0.084804;programming_plus_state_module=0.106373,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,107,1,NeuN,programming_only,programming_only=0.539093;programming_plus_state_module=0.513235,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,107,2,AT8,programming_plus_state_module,programming_only=0.375123;programming_plus_state_module=0.379167,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,107,2,6e10/A_beta,programming_only,programming_only=0.196814;programming_plus_state_module=0.195588,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,107,2,GFAP,programming_plus_state_module,programming_only=0.250368;programming_plus_state_module=0.260784,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,107,2,Iba1,programming_plus_state_module,programming_only=-0.019118;programming_plus_state_module=0.091667,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,107,2,NeuN,programming_only,programming_only=0.577083;programming_plus_state_module=0.565809,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,107,3,AT8,programming_plus_state_module,programming_only=0.406127;programming_plus_state_module=0.458088,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,107,3,6e10/A_beta,programming_plus_state_module,programming_only=0.171936;programming_plus_state_module=0.233824,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,107,3,GFAP,programming_only,programming_only=0.303309;programming_plus_state_module=0.240564,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,107,3,Iba1,programming_only,programming_only=0.202941;programming_plus_state_module=0.200980,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,107,3,NeuN,programming_only,programming_only=0.418015;programming_plus_state_module=0.373652,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,107,4,AT8,programming_only,programming_only=0.427328;programming_plus_state_module=0.401103,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,107,4,6e10/A_beta,programming_only,programming_only=0.315441;programming_plus_state_module=0.310784,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,107,4,GFAP,programming_plus_state_module,programming_only=0.253922;programming_plus_state_module=0.288971,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,107,4,Iba1,programming_only,programming_only=0.313725;programming_plus_state_module=0.304412,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,107,4,NeuN,programming_plus_state_module,programming_only=0.533946;programming_plus_state_module=0.539951,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,107,5,AT8,programming_only,programming_only=0.506127;programming_plus_state_module=0.497549,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,107,5,6e10/A_beta,programming_plus_state_module,programming_only=0.289216;programming_plus_state_module=0.318627,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,107,5,GFAP,programming_plus_state_module,programming_only=0.132966;programming_plus_state_module=0.191789,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,107,5,Iba1,programming_plus_state_module,programming_only=0.054534;programming_plus_state_module=0.085784,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,107,5,NeuN,programming_only,programming_only=0.484681;programming_plus_state_module=0.457721,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,211,1,AT8,programming_plus_state_module,programming_only=0.310907;programming_plus_state_module=0.338480,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,211,1,6e10/A_beta,programming_plus_state_module,programming_only=0.169730;programming_plus_state_module=0.172549,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,211,1,GFAP,programming_plus_state_module,programming_only=0.046201;programming_plus_state_module=0.047181,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,211,1,Iba1,programming_plus_state_module,programming_only=0.127941;programming_plus_state_module=0.198529,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,211,1,NeuN,programming_only,programming_only=0.492770;programming_plus_state_module=0.485662,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,211,2,AT8,programming_plus_state_module,programming_only=0.392402;programming_plus_state_module=0.435417,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,211,2,6e10/A_beta,programming_plus_state_module,programming_only=0.166054;programming_plus_state_module=0.181250,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,211,2,GFAP,programming_only,programming_only=0.466912;programming_plus_state_module=0.464706,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,211,2,Iba1,programming_only,programming_only=0.065564;programming_plus_state_module=0.062990,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,211,2,NeuN,programming_plus_state_module,programming_only=0.524142;programming_plus_state_module=0.534804,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,211,3,AT8,programming_plus_state_module,programming_only=0.403064;programming_plus_state_module=0.425368,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,211,3,6e10/A_beta,programming_only,programming_only=0.019363;programming_plus_state_module=0.017402,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,211,3,GFAP,programming_plus_state_module,programming_only=0.280637;programming_plus_state_module=0.287500,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,211,3,Iba1,programming_plus_state_module,programming_only=0.131495;programming_plus_state_module=0.148529,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,211,3,NeuN,programming_plus_state_module,programming_only=0.606373;programming_plus_state_module=0.614583,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,211,4,AT8,programming_plus_state_module,programming_only=0.493505;programming_plus_state_module=0.539951,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,211,4,6e10/A_beta,programming_only,programming_only=0.256373;programming_plus_state_module=0.220343,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,211,4,GFAP,programming_plus_state_module,programming_only=0.318750;programming_plus_state_module=0.319485,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,211,4,Iba1,programming_plus_state_module,programming_only=-0.031250;programming_plus_state_module=0.012010,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,211,4,NeuN,programming_plus_state_module,programming_only=0.530760;programming_plus_state_module=0.556005,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,211,5,AT8,programming_plus_state_module,programming_only=0.272059;programming_plus_state_module=0.276348,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,211,5,6e10/A_beta,programming_plus_state_module,programming_only=0.193627;programming_plus_state_module=0.244485,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,211,5,GFAP,programming_plus_state_module,programming_only=0.137255;programming_plus_state_module=0.200980,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,211,5,Iba1,programming_plus_state_module,programming_only=0.281250;programming_plus_state_module=0.344975,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,211,5,NeuN,programming_only,programming_only=0.432598;programming_plus_state_module=0.399510,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,307,1,AT8,programming_plus_state_module,programming_only=0.375000;programming_plus_state_module=0.405270,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,307,1,6e10/A_beta,programming_plus_state_module,programming_only=0.111887;programming_plus_state_module=0.148897,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,307,1,GFAP,programming_plus_state_module,programming_only=0.298897;programming_plus_state_module=0.311029,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,307,1,Iba1,programming_plus_state_module,programming_only=-0.048407;programming_plus_state_module=-0.017892,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,307,1,NeuN,programming_only,programming_only=0.484436;programming_plus_state_module=0.462255,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,307,2,AT8,programming_plus_state_module,programming_only=0.398897;programming_plus_state_module=0.414216,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,307,2,6e10/A_beta,programming_plus_state_module,programming_only=0.069485;programming_plus_state_module=0.124877,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,307,2,GFAP,programming_only,programming_only=0.065074;programming_plus_state_module=0.020098,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,307,2,Iba1,programming_plus_state_module,programming_only=0.069485;programming_plus_state_module=0.129167,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,307,2,NeuN,programming_only,programming_only=0.409926;programming_plus_state_module=0.390686,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,307,3,AT8,programming_only,programming_only=0.529534;programming_plus_state_module=0.505515,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,307,3,6e10/A_beta,programming_only,programming_only=0.316789;programming_plus_state_module=0.309681,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,307,3,GFAP,programming_only,programming_only=0.212868;programming_plus_state_module=0.173039,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,307,3,Iba1,programming_plus_state_module,programming_only=0.199387;programming_plus_state_module=0.262745,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,307,3,NeuN,programming_only,programming_only=0.491299;programming_plus_state_module=0.474265,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,307,4,AT8,programming_only,programming_only=0.473652;programming_plus_state_module=0.442892,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,307,4,6e10/A_beta,programming_only,programming_only=0.129412;programming_plus_state_module=0.116789,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,307,4,GFAP,programming_only,programming_only=0.149632;programming_plus_state_module=0.106740,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,307,4,Iba1,programming_only,programming_only=0.296446;programming_plus_state_module=0.279044,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,307,4,NeuN,programming_plus_state_module,programming_only=0.430392;programming_plus_state_module=0.442647,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,307,5,AT8,programming_plus_state_module,programming_only=0.252451;programming_plus_state_module=0.257966,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,307,5,6e10/A_beta,programming_only,programming_only=0.159314;programming_plus_state_module=0.148897,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,307,5,GFAP,programming_only,programming_only=0.259191;programming_plus_state_module=0.256127,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,307,5,Iba1,programming_plus_state_module,programming_only=-0.006127;programming_plus_state_module=0.009191,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,8,307,5,NeuN,programming_plus_state_module,programming_only=0.501838;programming_plus_state_module=0.520833,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,16,107,1,AT8,programming_plus_state_module,programming_only=0.480025;programming_plus_state_module=0.503554,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,16,107,1,6e10/A_beta,programming_only,programming_only=0.189216;programming_plus_state_module=0.112500,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,16,107,1,GFAP,programming_plus_state_module,programming_only=0.101593;programming_plus_state_module=0.108824,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,16,107,1,Iba1,programming_plus_state_module,programming_only=-0.051471;programming_plus_state_module=-0.042525,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,16,107,1,NeuN,programming_plus_state_module,programming_only=0.478799;programming_plus_state_module=0.489338,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,16,107,2,AT8,programming_plus_state_module,programming_only=0.316176;programming_plus_state_module=0.344608,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,16,107,2,6e10/A_beta,programming_only,programming_only=0.223162;programming_plus_state_module=0.173039,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,16,107,2,GFAP,programming_only,programming_only=0.304534;programming_plus_state_module=0.209559,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,16,107,2,Iba1,programming_plus_state_module,programming_only=0.033701;programming_plus_state_module=0.040074,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,16,107,2,NeuN,programming_only,programming_only=0.538235;programming_plus_state_module=0.515074,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,16,107,3,AT8,programming_plus_state_module,programming_only=0.374020;programming_plus_state_module=0.380392,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,16,107,3,6e10/A_beta,programming_only,programming_only=0.167157;programming_plus_state_module=0.130147,inner_cv_training_donors_only
nested_target_gated_programming_vs_state_module,16,107,3,GFAP,programming_plus_state_module,programming_only=0.237255;programming_plus_state_module=0.251593,inner_cv_training_donors_only
