model,target,module,perturbation,intervention,Donor ID,prediction_model_scale_baseline,prediction_raw_scale_baseline,prediction_model_scale_perturbed,prediction_raw_scale_perturbed,delta_model_scale,delta_raw_scale
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.037,2.0364358,6.6632476,2.0408728,6.6973248,0.0044369698,0.034077168
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.038,1.6116399,4.011022,1.6137518,4.021616,0.0021119118,0.010593891
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.039,1.4134057,3.1099286,1.4149108,3.1161194,0.0015051365,0.006190777
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.040,1.7159051,4.561707,1.7156549,4.5603156,-0.0002502203,-0.0013914108
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.041,1.8407013,5.300956,1.8432158,5.316819,0.0025144815,0.015863419
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.043,1.6626391,4.273209,1.6632534,4.2764497,0.00061428547,0.0032405853
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.044,1.871645,5.498978,1.8753531,5.523122,0.0037081242,0.024143696
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.045,1.6321045,4.1146274,1.6351149,4.1300473,0.0030103922,0.01541996
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.046,1.8735322,5.511255,1.8752317,5.5223303,0.0016995668,0.011075497
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.001,2.1457796,7.548703,2.1485345,7.5722866,0.0027549267,0.023583412
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.002,1.7189932,4.578909,1.7202425,4.5858827,0.0012493134,0.0069737434
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.003,1.6238478,4.0725713,1.6241894,4.074304,0.00034153461,0.0017328262
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.004,1.747832,4.74214,1.7482865,4.7447505,0.00045454502,0.0026106834
