source,target,weight,source_idx,target_idx
COPB1,XIAP,0.48457873,1784,2929
PPIG,COPB1,0.48190197,458,1784
SEC62,XIAP,0.481487,709,2929
PPP2CA,XIAP,0.4812133,1002,2929
RSBN1L,XIAP,0.4803733,1308,2929
PPIG,RSBN1L,0.4802014,458,1308
ZC3H7A,XIAP,0.4801233,2362,2929
CSDE1,COPB1,0.48007438,161,1784
CSDE1,SEC62,0.47991621,161,709
PPIG,PPP2CA,0.47988063,458,1002
AGO3,OCIAD1,0.4796952,67,800
AGO3,COPB1,0.4796238,67,1784
CSDE1,XIAP,0.47951722,161,2929
OCIAD1,XIAP,0.47879058,800,2929
AGO3,RSBN1L,0.4785323,67,1308
PPIG,OCIAD1,0.47832587,458,800
AGO3,UQCC1,0.47792432,67,2761
NPLOC4,XIAP,0.47788382,2568,2929
AGO3,MIGA1,0.4777764,67,119
CSDE1,PPIG,0.47773793,161,458
MIGA1,XIAP,0.47773367,119,2929
PPIG,AMBRA1,0.47767818,458,1805
USP7,XIAP,0.47766778,2356,2929
AMBRA1,XIAP,0.4775334,1805,2929
UQCC1,XIAP,0.47745764,2761,2929
PPIG,ZC3H7A,0.47745582,458,2362
AGO3,USP7,0.4772759,67,2356
CSDE1,PPP2CA,0.4771588,161,1002
PPIG,USP7,0.47707272,458,2356
PPIG,SEC62,0.47685093,458,709
AGO3,AMBRA1,0.47683042,67,1805
SCYL2,XIAP,0.47652873,2004,2929
AGO3,RAD23B,0.47629493,67,1581
FIP1L1,XIAP,0.47627288,802,2929
HDLBP,XIAP,0.47607368,539,2929
ANAPC5,XIAP,0.47602454,2034,2929
RSRC2,XIAP,0.47601902,2038,2929
FIP1L1,COPB1,0.47598764,802,1784
AGO3,PPP2CA,0.47589198,67,1002
STAM,XIAP,0.47571224,1644,2929
PPIG,RSRC2,0.4756778,458,2038
AGO3,ANAPC5,0.47563198,67,2034
CSDE1,OCIAD1,0.47562063,161,800
HNRNPR,AGO3,0.4755319,37,67
AGO3,SPPL2A,0.47549137,67,2280
CSDE1,RSBN1L,0.4753558,161,1308
PPIG,FIP1L1,0.47534934,458,802
MIGA1,PPIG,0.47527534,119,458
AGO3,USP8,0.4752695,67,2278
AGO3,HDLBP,0.47524136,67,539
KPNA6,AGO3,0.4751279,57,67
CSDE1,ZC3H7A,0.47502398,161,2362
PPIG,ANAPC5,0.47494787,458,2034
CABIN1,XIAP,0.47493142,2836,2929
AGO3,UBXN4,0.47492495,67,428
OCIAD1,FIP1L1,0.47479782,800,802
AGO3,NRDC,0.4746597,67,94
SEC62,FIP1L1,0.47462383,709,802
AGO3,IPO9,0.47453046,67,239
PPIG,XIAP,0.47449932,458,2929
PPIG,NPLOC4,0.47445434,458,2568
AGO3,SEC62,0.47438616,67,709
PPIG,SCYL2,0.47436205,458,2004
AGO3,YWHAZ,0.47425225,67,1480
PPIG,UQCC1,0.47424135,458,2761
CSDE1,RPL9,0.47414207,161,791
HADHB,PPIG,0.47406438,305,458
AGO3,FIP1L1,0.47405964,67,802
AGO3,RSRC2,0.47400466,67,2038
PPIG,STAM,0.4739983,458,1644
FIP1L1,RSBN1L,0.47397858,802,1308
XIAP,ARHGAP4,0.47395644,2929,2939
PPIG,YWHAZ,0.4738779,458,1480
HNRNPK,XIAP,0.47385597,1557,2929
COPB1,SCYL2,0.4738396,1784,2004
PPIG,DYNC1H1,0.47382244,458,2234
AGO3,STAM,0.47376934,67,1644
FIP1L1,PPP2CA,0.47363472,802,1002
SRRM1,PPIG,0.4736252,40,458
SUPT20H,XIAP,0.47357014,2068,2929
PPIG,SECISBP2L,0.47355714,458,2275
YWHAZ,XIAP,0.4735234,1480,2929
AGO3,ZC3H7A,0.47342318,67,2362
CSDE1,NPLOC4,0.47330475,161,2568
AGO3,DYNC1H1,0.47316948,67,2234
KPNA6,PPIG,0.47307935,57,458
AGO3,PPIG,0.47307438,67,458
CSDE1,RSRC2,0.47297478,161,2038
PPIG,SUPT20H,0.47284773,458,2068
PLCB2,XIAP,0.47259802,2257,2929
PPIG,AP3S2,0.47249195,458,2339
HADHB,XIAP,0.4724454,305,2929
AGO3,AP3S2,0.47243705,67,2339
PPIG,RBL2,0.47232077,458,2398
CSDE1,HMGN3,0.4722938,161,1154
PPIG,RC3H2,0.4722903,458,1601
CDC42SE1,XIAP,0.47227743,179,2929
DYNC1H1,XIAP,0.4722241,2234,2929
KPNA6,XIAP,0.47214386,57,2929
PPP2CA,SCYL2,0.4721284,1002,2004
AGO3,TIAL1,0.47211486,67,1751
AGO3,MARK2,0.4720396,67,1821
COPB1,USP7,0.47203782,1784,2356
CSDE1,FIP1L1,0.47199187,161,802
RPL9,XIAP,0.47182748,791,2929
CSDE1,SCYL2,0.47181,161,2004
COPB1,AMBRA1,0.4717983,1784,1805
AGO3,GLG1,0.47179145,67,2416
PPIG,USP8,0.4717674,458,2278
PPIG,CABIN1,0.47169465,458,2836
AGO3,STIM1,0.4716878,67,1771
AGO3,HADHB,0.47163266,67,305
FIP1L1,ZC3H7A,0.47162753,802,2362
SPPL2A,XIAP,0.47160524,2280,2929
AP3S2,XIAP,0.47159526,2339,2929
AGO3,SLAIN2,0.47154242,67,798
SEC62,SCYL2,0.4715232,709,2004
RBL2,XIAP,0.47148958,2398,2929
AGO3,HNRNPK,0.47139776,67,1557
RC3H2,XIAP,0.4713379,1601,2929
AGO3,XIAP,0.47123656,67,2929
CSDE1,TMSB10,0.47122073,161,383
AGO3,KCMF1,0.47118598,67,384
AGO3,CTNNBL1,0.47117525,67,2767
AGO3,CSDE1,0.4711741,67,161
CSDE1,RBL2,0.47116172,161,2398
AGO3,SUPT20H,0.47107574,67,2068
FIP1L1,RSRC2,0.4710284,802,2038
PPIG,HNRNPK,0.47101235,458,1557
CSDE1,USP7,0.47093198,161,2356
PPIG,TOP2B,0.4709294,458,562
CSDE1,HNRNPK,0.47092187,161,1557
PPIG,RNF138,0.4708072,458,2597
CSDE1,ANAPC5,0.47077745,161,2034
AGO3,CABIN1,0.47076985,67,2836
PRDX1,CSDE1,0.47067574,84,161
PPIG,ELP2,0.47064888,458,2603
CSDE1,RPS18,0.47043124,161,1113
HNRNPR,XIAP,0.470428,37,2929
IPO9,XIAP,0.47042382,239,2929
AGO3,FAM222B,0.4703531,67,2473
CNBP,XIAP,0.4702616,673,2929
CSDE1,RPL19,0.47025788,161,2498
CSDE1,AMBRA1,0.47025302,161,1805
MIGA1,CSDE1,0.47023585,119,161
RNF138,XIAP,0.47022092,2597,2929
PPIG,TIAL1,0.47004062,458,1751
PPIG,KDM2B,0.47003472,458,2035
PPIG,HMGN3,0.4699984,458,1154
MIGA1,FIP1L1,0.46997342,119,802
CSDE1,SRSF5,0.4699673,161,2193
PPIG,SP140L,0.46989617,458,524
AGO3,EIF3E,0.46988642,67,1488
CSDE1,STAM,0.4698792,161,1644
SRRM1,AGO3,0.46986556,40,67
FIP1L1,AMBRA1,0.4698046,802,1805
PPIG,SPPL2A,0.4697641,458,2280
SP140L,XIAP,0.46964788,524,2929
FIP1L1,USP7,0.4696421,802,2356
FIP1L1,UQCC1,0.4696023,802,2761
CSDE1,SUPT20H,0.4695994,161,2068
FIP1L1,ANAPC5,0.46959084,802,2034
SCYL2,ZC3H7A,0.46955016,2004,2362
UBXN4,PPIG,0.46953532,428,458
RAD23B,XIAP,0.4695345,1581,2929
CSDE1,YWHAZ,0.46951482,161,1480
AGO3,KIF2A,0.46945927,67,937
CSDE1,UQCC1,0.46943521,161,2761
PPP2CA,AMBRA1,0.4694321,1002,1805
AGO3,PPP4R3A,0.46924472,67,2219
AGO3,TNPO3,0.46923545,67,1360
PPIG,SERINC1,0.46921176,458,1192
AGO3,SP140L,0.46919814,67,524
SRRM1,XIAP,0.4691344,40,2929
PPP2CA,USP7,0.46912053,1002,2356
FIP1L1,STAM,0.4690616,802,1644
AGO3,RNF138,0.4690562,67,2597
AGO3,CNBP,0.46902037,67,673
PRDX1,XIAP,0.46899837,84,2929
WASL,XIAP,0.46892944,1357,2929
AGO3,AATF,0.46890765,67,2494
CSDE1,OAZ1,0.46889693,161,2643
CD164,XIAP,0.4688941,1179,2929
AGO3,RC3H2,0.46887624,67,1601
FIP1L1,SUPT20H,0.46885678,802,2068
AGO3,C1GALT1,0.4687755,67,1254
PPIG,LAMP2,0.46876678,458,2927
TASP1,XIAP,0.46876377,2737,2929
PPIG,WASL,0.46868467,458,1357
PPIG,HDLBP,0.46863174,458,539
FIP1L1,NPLOC4,0.4685634,802,2568
CSDE1,CDC42SE1,0.46850353,161,179
AGO3,TPM3,0.4684965,67,186
CSDE1,SERINC1,0.46848178,161,1192
AGO3,TGOLN2,0.46846336,67,385
RSBN1L,USP7,0.46838105,1308,2356
MIGA1,COPB1,0.46832517,119,1784
AGO3,UPF2,0.468269,67,1639
FIP1L1,SCYL2,0.46826836,802,2004
CSDE1,ARHGAP4,0.4682562,161,2939
UBXN4,XIAP,0.46825293,428,2929
SCYL2,NPLOC4,0.4682112,2004,2568
RSBN1L,AMBRA1,0.4681963,1308,1805
USP8,XIAP,0.4680875,2278,2929
RPS18,XIAP,0.46804738,1113,2929
