dataset_id,file_path,file_name,file_suffix,file_size_bytes,modified_time,checksum_sha256,inferred_file_type,usable_for_expression,usable_for_metadata,usable_for_celltype,usable_for_pathology,notes
gse157827,data/external/public_schema_audit/GSE157827/GSE157827_series_matrix.txt.gz,GSE157827_series_matrix.txt.gz,.txt.gz,4203,2026-06-20T08:58:05.436174,ac10882d0a957bb1aa183e870f2ced329248fa8586a4bb66d5a1454e80d5972d,expression,True,False,False,False,existing local file detected; not downloaded by Stage 38A
gse138852,data/external/grubman_gse138852/GSE138852_counts.csv.gz,GSE138852_counts.csv.gz,.csv.gz,12466052,2026-06-09T18:57:34.208064,cf4b29e8acc215b8c697b6c10aff505028b698d7ea00b7cea4e5f4d3f4b3420c,expression,True,False,False,False,existing local file detected; not downloaded by Stage 38A
gse138852,data/external/grubman_gse138852/GSE138852_covariates.csv.gz,GSE138852_covariates.csv.gz,.csv.gz,86792,2026-06-09T18:57:34.384130,b1792071bee9942f7cd18ef90fd350d611e06dd8a2d478b45f55c00d8b9896da,metadata,False,True,True,True,existing local file detected; not downloaded by Stage 38A
gse138852,data/external/public_schema_audit/GSE138852/GSE138852_series_matrix.txt.gz,GSE138852_series_matrix.txt.gz,.txt.gz,3483,2026-06-20T08:58:09.235604,f89f218f5c5ee53323d07c88edb960af6ede760b33ad342c4d911e05fb6c270b,expression,True,False,False,False,existing local file detected; not downloaded by Stage 38A
gse174367,data/external/gse174367/GSE174367_snRNA-seq_cell_meta.csv.gz,GSE174367_snRNA-seq_cell_meta.csv.gz,.csv.gz,435170,2026-06-09T19:46:15.150201,ab1a029deb43196e2bb1fea5907d838885750cfff3850c600c07588c7c7cdb2b,metadata,False,True,True,True,existing local file detected; not downloaded by Stage 38A
gse174367,data/external/gse174367/GSE174367_snRNA-seq_filtered_feature_bc_matrix.h5,GSE174367_snRNA-seq_filtered_feature_bc_matrix.h5,.h5,273975534,2026-06-09T20:07:33.596697,6ba98a1af8772af08c8cdd5e5e63eebb0890daed48cac2e1b8961dcc67069b77,expression,True,False,False,False,existing local file detected; not downloaded by Stage 38A
gse174367,data/external/public_schema_audit/GSE174367/GSE174367_series_matrix.txt.gz,GSE174367_series_matrix.txt.gz,.txt.gz,13280,2026-06-20T08:58:08.811551,e36488f44e30d0bdf48f5864b8cd091629203defecbb41d9e7fec721b5115928,expression,True,False,False,False,existing local file detected; not downloaded by Stage 38A
