source_page_id,source_page_url,link_index,link_text,url,resource_type,download_candidate
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,0,Skip to main content,https://brain-map.org/consortia/sea-ad/our-data#main-content,unknown,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,1,,https://brain-map.org/,unknown,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,2,brain knowledge platform,https://brain-map.org/bkp,AD Knowledge Portal controlled access,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,3,Browse,https://brain-map.org/bkp/browse,unknown,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,4,Experience,https://brain-map.org/bkp/experiment,unknown,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,5,explore,https://brain-map.org/bkp/explore,unknown,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,6,analyze,https://brain-map.org/bkp/analyze,unknown,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,7,reference,https://brain-map.org/bkp/reference,unknown,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,8,develop,https://brain-map.org/bkp/develop,unknown,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,9,atlases,https://brain-map.org/atlases,unknown,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,10,Anatomy Reference Atlases,https://brain-map.org/atlases/anatomy,unknown,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,11,Mouse Data Atlases,https://brain-map.org/atlases#mouse,unknown,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,12,human data atlases,https://brain-map.org/atlases#human,unknown,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,13,Non-Human Primate Data Atlases,https://brain-map.org/atlases#non-human-primate,unknown,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,14,our research,https://brain-map.org/our-research,unknown,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,15,Scientific Consortia,https://brain-map.org/consortia,unknown,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,16,Community Parnerships,https://brain-map.org/community-partnerships,unknown,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,17,news,https://alleninstitute.org/news/,unknown,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,18,support,https://brain-map.org/support,unknown,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,19,Tutorials & How-Tos,https://brain-map.org/support/tutorials,unknown,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,20,Documentation,https://brain-map.org/support/documentation,unknown,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,21,Citation Policy,https://alleninstitute.org/citation-policy/,unknown,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,22,Community Forum,https://community.brain-map.org/,unknown,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,23,,https://brain-map.org/consortia/sea-ad/our-data,unknown,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,24,,https://brain-map.org/,unknown,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,25,,https://brain-map.org/consortia/sea-ad/our-data,unknown,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,26,brain knowledge platform,https://brain-map.org/consortia/sea-ad/our-data,AD Knowledge Portal controlled access,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,27,back to menu,https://brain-map.org/consortia/sea-ad/our-data,unknown,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,28,brain knowledge platform,https://brain-map.org/bkp,AD Knowledge Portal controlled access,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,29,experiment Use Allen Institute tools and protocols for your labs' experiments,https://brain-map.org/bkp/experiment,white paper / PDF,True
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,30,explore (Visually) explore choice taxonomiesnts,https://brain-map.org/bkp/explore,unknown,False
sea_ad_data,https://brain-map.org/consortia/sea-ad/our-data,31,analyze Analyze your own data using Allen Institute mapping and analysis solutions,https://brain-map.org/bkp/analyze,unknown,False
