dataset_id,metadata_file,size_bytes,columns
03181d87-4769-41e7-8c39-d9a81835f0d2,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_03181d87-4769-41e7-8c39-d9a81835f0d2.csv,13805628,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
0374f03c-62e2-4859-8a14-acb00b0627d5,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_0374f03c-62e2-4859-8a14-acb00b0627d5.csv,3020421,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
04c94a7d-1133-42c9-bb48-c697bd302a8d,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_04c94a7d-1133-42c9-bb48-c697bd302a8d.csv,21479958,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
07428d73-fdea-4bd4-a801-94b00c4d961c,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_07428d73-fdea-4bd4-a801-94b00c4d961c.csv,522538,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
0eccaf0c-19d2-4900-9962-899378adf8be,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_0eccaf0c-19d2-4900-9962-899378adf8be.csv,1926885,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
0ed60482-a34f-4268-b576-d69cc30210f6,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_0ed60482-a34f-4268-b576-d69cc30210f6.csv,10363328,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
100c6145-7b0e-4ba6-81c1-ffebed0d1ac4,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_100c6145-7b0e-4ba6-81c1-ffebed0d1ac4.csv,6996325,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
146216e1-ec30-4fee-a1fb-25defe801e2d,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_146216e1-ec30-4fee-a1fb-25defe801e2d.csv,10027664,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
1c05b7ae-4dfb-4c1b-a441-4b23c04b169e,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_1c05b7ae-4dfb-4c1b-a441-4b23c04b169e.csv,5522000,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
1c9f5c6b-73da-4d17-95de-df080ffe0df1,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_1c9f5c6b-73da-4d17-95de-df080ffe0df1.csv,2863782,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
236baeda-5fdd-41bf-8e32-bae21ac7d435,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_236baeda-5fdd-41bf-8e32-bae21ac7d435.csv,732813,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
2e5a9b5d-d31b-4e9f-a179-d5d70ba459fb,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_2e5a9b5d-d31b-4e9f-a179-d5d70ba459fb.csv,866592,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
