pathology_axis,support_status,n_results,best_support_tier,recommended_next_step
tau_ptau,not_testable_yet,0,not_testable,prepare Stage 38A pathology metadata
abeta_amyloid,not_testable_yet,0,not_testable,prepare Stage 38A pathology metadata
