representation,target,n_donors,pathology_tertile_silhouette,knn_spearman,knn_r2,knn_mae
expression_pca_128,percent AT8 positive area_Grey matter,84,-0.007514388214060921,0.2186493874658297,-0.010721592182692197,1.015285611152649
expression_pca_128,percent NeuN positive area_Grey matter,84,-0.003846282415955851,0.329776247848537,0.10248577115072321,1.4595980644226074
expression_pca_128,percent 6e10 positive area_Grey matter,84,-0.00572282378626114,0.0989774222942189,-0.3573007382883968,2.65954852104187
expression_pca_128,percent GFAP positive area_Grey matter,84,-0.01658129564508972,-0.01210893996152678,-0.12774438557130408,3.4605205059051514
expression_pca_128,percent Iba1 positive area_Grey matter,84,-0.011620062629643454,-0.04355573554723094,-0.171487625549416,1.7882497310638428
jepa_latent_128,percent AT8 positive area_Grey matter,84,-0.06420930693783242,-0.037076035233370455,-0.14706045389099165,1.1531188488006592
jepa_latent_128,percent NeuN positive area_Grey matter,84,-0.045979052473297824,0.20941581451857852,-0.005300456490650918,1.5392875671386719
jepa_latent_128,percent 6e10 positive area_Grey matter,84,-0.05964656791068099,0.14737268401336437,-0.13371391607699423,1.9819461107254028
jepa_latent_128,percent GFAP positive area_Grey matter,84,-0.06668777918729496,-0.17335223245924877,-0.2730781995133196,4.033605098724365
jepa_latent_128,percent Iba1 positive area_Grey matter,84,-0.05890979667682665,-0.09442138301103574,-0.25900247219459005,1.7963752746582031
