candidate,pathology_axis_class,AT8_delta,A_beta_6e10_delta,GFAP_delta,Iba1_delta,NeuN_delta,therapeutic_like_score,amyloid_selectivity_score,tau_selectivity_score,broad_shift_score,covariate_audit_status,druggability_status,localization,discovery_sort_score
PTPRG,mixed_or_unclear,-0.0024802442640066,-0.0041931541636586,-0.0021057042758911,0.0049901148304343,0.0105366762727499,0.008026805706322202,-0.0032772049307823,-0.0067030247300863,0.004861178761348101,not_audited,,,0.006811511015985177
CTSD,amyloid_lowering_selective,0.0012059407308697,-0.0074471547268331,0.014668027870357,-0.001684563467279,0.024592014029622,0.0087180454283953,-0.008426813874393601,-0.0233211233280598,0.00991954016499216,not_audited,,,0.006238160387147261
CD4,artifact_or_covariate_sensitive,-0.0025843996554613,-0.0071796393021941,0.0119060650467872,0.0022240281105041,0.0192602612078189,0.007714567705988903,-0.0095348535105585,-0.0187253328040241,0.00863087866455312,WARNING: Technical Artifact,,,0.0055568480398506225
P2RY13,amyloid_lowering_selective,-0.0017155760433524,-0.003730931552127,0.0058046067133545,-0.0010649107862263,0.0070418999530375,0.0029528692830354,-0.0037892512045798995,-0.0078199622221291,0.0038715850096195394,not_audited,,,0.001984973030630515
DRAM1,mixed_or_unclear,0.0007611562032252,-0.0005049563478678,0.0011927769519388,-0.000341162784025,0.0013625422725453,-0.0005913908826187,-0.0014489768072962,-0.0024588895030318,0.00083251891192042,not_audited,,,-0.000799520610598805
F13A1,mixed_or_unclear,0.0007706399192102,0.0003178431943524,0.0002635774144437,-0.0014567857142537,-0.0004063220112584,-0.0014405393449123,-0.0013520605280063,-0.0013520605280063,0.00064303365070368,not_audited,,,-0.0016012977575882198
ROCK1,amyloid_lowering_selective,-0.0019059550249949,-0.0039400146342813,0.007653341628611,0.0037673229817301,0.008645225316286,-0.0008694842690602014,-0.0093866050010547,-0.013454724219627501,0.00518237191718066,not_audited,,,-0.0021650772483553663
CHI3L1,mixed_or_unclear,-0.0003336023073643,0.0004185679426882,-0.001681605936028,-0.000731544860173,-0.0025349627248942,-0.0022013604175299003,-0.0007521702500525,-8.496563532390004e-05,0.00114005675422954,not_audited,,,-0.0024863746060872854
UGCG,mixed_or_unclear,0.0007971750455908,-0.0020530777983367,0.0079714655876159,0.0063640447333455,0.0086247576400637,-0.006507927726488498,-0.013079607568215499,-0.0171857631648889,0.00516210416099052,not_audited,,,-0.007798453766736128
PLCG2,mixed_or_unclear,0.0006295369239524,-0.0010227205930277,0.0067346352152526,0.0041036093607544,0.0030679134652018,-0.0083998680347576,-0.010445060906931699,-0.0124905020929871,0.0031116831116377803,not_audited,,,-0.009177788812667044
CSF1R,mixed_or_unclear,0.0009486317867413,-0.0021005882881581,0.0116935539990663,0.0051885871216654,0.0085136238485574,-0.009317149058915598,-0.0157301846193149,-0.0199313611956311,0.0056889970088377,not_audited,,,-0.010739398311125024
CD74,gliosis_inflating,0.0012450320646166,-0.001339794602245,0.0139501746743917,0.0066208131611347,0.0108898505568504,-0.0109261693432926,-0.020476225297898,-0.023155814502388,0.00680913301184768,not_audited,,,-0.01262845259625452
HSP90AA1,broad_reactive_state_shift,0.0058206892572343,-0.0067795570939779,0.0284996666014194,0.0082766786217689,0.0331625379621982,-0.009434496518224401,-0.0358174773864447,-0.049376591574400504,0.01650782590731974,not_audited,,,-0.013561452995054336
TLR2,gliosis_inflating,-0.0029971925541758,-0.0042025516740977,0.0164810791611671,0.0083410516381263,0.010104227811098,-0.0117207104340196,-0.023616771679371498,-0.026027489919215302,0.00842522056773298,CLEARED,Surface / Monoclonal Target,"Membrane; Cytoplasmic vesicle, phagosome membrane; Membrane raft",-0.013827015575952846
MAPK1,broad_reactive_state_shift,0.0025016348809003,-0.0039477716200053,0.0223403964191675,0.0103695197030901,0.0226683020591735,-0.012543248943984397,-0.0312637793831526,-0.0391593226231632,0.01236552493646734,not_audited,,,-0.01563463017810123
CX3CR1,broad_reactive_state_shift,0.0050454409793019,-0.0001612390769878,0.022089198231697,0.0041510006412863,0.0146571965888142,-0.016628443263471,-0.0311244007752974,-0.031446878929273,0.009220815103617441,not_audited,,,-0.018933647039375362
P2RY12,gliosis_inflating,0.0020372555591166,0.000731312087737,0.0178252011537551,0.006284225732088,0.0059307105839252,-0.0202159718610345,-0.0268779945326967,-0.0268779945326967,0.00656174102332438,not_audited,,,-0.021856407116865595
BCL2,broad_reactive_state_shift,0.0048683919012546,-0.0023182544391602,0.0277670994400978,0.0132661117240786,0.0245520677417516,-0.02134953532367939,-0.04358334862627079,-0.04821985750459119,0.01455438504926856,not_audited,,,-0.024988131585996533
HIF1A,broad_reactive_state_shift,0.004148312844336,-0.0024539488367736,0.0347047410905361,0.0093775764107704,0.0189800355583429,-0.0292505947872996,-0.0457766815088689,-0.0506845791824161,0.013932922948151799,not_audited,,,-0.03273382552433755
GRB2,broad_reactive_state_shift,0.0063339839689433,-0.0014500943943858,0.0369182303547859,0.0146537935361266,0.0257304348051548,-0.032175573054701,-0.05645591346547,-0.0593561022542416,0.01701730741187928,not_audited,,,-0.03642989990767082
APOE,broad_reactive_state_shift,0.0063072899356484,0.0037317047826945,0.0200221147388219,0.0154494363814592,0.0070380852557718,-0.0347407558001577,-0.045510545838624,-0.045510545838624,0.01050972621887916,CLEARED,Diagnostic Biomarker Target,"Secreted; Secreted, extracellular space; Secreted, extracellular space, extracellular matrix; Extracellular vesicle; Endosome, multivesicular body",-0.03736818735487749
RHOA,neuron_risk,0.0014317638706415,0.0117804240435361,0.0109580438584089,0.0069813900627195,-0.0193107761442661,-0.038681973936036,-0.031151621835306002,-0.031151621835306002,0.01009247959591442,not_audited,,,-0.041205093835014604
APP,broad_reactive_state_shift,0.0128721520304679,-0.0011984691955149,0.0626100152730941,0.0192196629941463,0.0391351990401744,-0.05556663125753389,-0.09350336110219339,-0.09590029949322318,0.027007099706679517,CLEARED,Repurpose Existing Drug / Monoclonal Target + Diagnostic Biomarker Target,"Cell membrane; Membrane; Perikaryon; Cell projection, growth cone; Membrane, clathrin-coated pit; Early endosome; Cytoplasmic vesicle; Endoplasmic reticulum; Golgi apparatus; Secreted; Cell surface; Nucleus; Cytoplasm",-0.06231840618420377
STAT3,broad_reactive_state_shift,0.017108004540205,0.0045346701517701,0.0641533881425857,0.0145954946056008,0.0269622858613729,-0.0688946014270186,-0.10039155744016161,-0.10039155744016161,0.025470768660306897,not_audited,,,-0.07526229359209533
