candidate_id,target,target_oof_spearman,n_donors,stage27c_target_reference,delta_vs_stage27c,stage39e_target_reference,delta_vs_stage39e,stage41b_target_reference,delta_vs_stage41b
blend_stage41b_with_stage27c,6e10/A_beta,0.45637339273058625,84,,,0.3746733755407961,0.08170001718979014,0.45637339273058625,0.0
blend_stage41b_with_stage27c,AT8,0.6033208464108536,84,0.5284398096588033,0.07488103675205027,0.5155185235317487,0.08780232287910494,0.5838817454692721,0.019439100941581522
blend_stage41b_with_stage27c,GFAP,0.32078566366305555,84,0.30229826870507237,0.018487394957983183,0.3823049963928304,-0.061519332729774834,0.30760352333704566,0.013182140326009895
blend_stage41b_with_stage27c,Iba1,0.015227295737572137,84,0.016077756403766325,-0.0008504606661941874,0.056974172849842526,-0.04174687711227039,0.03239850156930242,-0.017171205831730284
blend_stage41b_with_stage27c,NeuN,0.39580844385947145,84,0.4519590968917688,-0.056150653032297326,0.4609347456451279,-0.06512630178565643,0.3168573453477777,0.07895109851169374
blend_stage41b_with_stage27c_and_stage39e_pca8,6e10/A_beta,0.4612129189025008,84,,,0.3746733755407961,0.08653954336170472,0.45637339273058625,0.004839526171914577
blend_stage41b_with_stage27c_and_stage39e_pca8,AT8,0.5900982079578819,84,0.5284398096588033,0.0616583982990786,0.5155185235317487,0.07457968442613327,0.5838817454692721,0.006216462488609853
blend_stage41b_with_stage27c_and_stage39e_pca8,GFAP,0.33435253619520094,84,0.30229826870507237,0.032054267490128574,0.3823049963928304,-0.04795246019762944,0.30760352333704566,0.026749012858155286
blend_stage41b_with_stage27c_and_stage39e_pca8,Iba1,0.020937531639161688,84,0.016077756403766325,0.004859775235395363,0.056974172849842526,-0.03603664121068084,0.03239850156930242,-0.011460969930140733
blend_stage41b_with_stage27c_and_stage39e_pca8,NeuN,0.40613546623468666,84,0.4519590968917688,-0.045823630657082115,0.4609347456451279,-0.054799279410441215,0.3168573453477777,0.08927812088690895
blend_stage41b_with_stage39e_pca8,6e10/A_beta,0.4619823833147717,84,,,0.3746733755407961,0.0873090077739756,0.45637339273058625,0.005608990584185458
blend_stage41b_with_stage39e_pca8,AT8,0.5916978839728663,84,0.5284398096588033,0.06325807431406294,0.5155185235317487,0.07617936044111762,0.5838817454692721,0.007816138503594194
blend_stage41b_with_stage39e_pca8,GFAP,0.3599878505619115,84,0.30229826870507237,0.057689581856839145,0.3823049963928304,-0.022317145830918872,0.30760352333704566,0.052384327224865856
blend_stage41b_with_stage39e_pca8,Iba1,0.035557355472309406,84,0.016077756403766325,0.01947959906854308,0.056974172849842526,-0.02141681737753312,0.03239850156930242,0.003158853903006985
blend_stage41b_with_stage39e_pca8,NeuN,0.39121190644932674,84,0.4519590968917688,-0.060747190442442034,0.4609347456451279,-0.06972283919580113,0.3168573453477777,0.07435456110154903
guard_aware_target_specific_blend,6e10/A_beta,0.45637339273058625,84,,,0.3746733755407961,0.08170001718979014,0.45637339273058625,0.0
guard_aware_target_specific_blend,AT8,0.5838817454692721,84,0.5284398096588033,0.055441935810468745,0.5155185235317487,0.06836322193752342,0.5838817454692721,0.0
guard_aware_target_specific_blend,GFAP,0.3600080996253923,84,0.30229826870507237,0.05770983092031995,0.3823049963928304,-0.022296896767438068,0.30760352333704566,0.05240457628834666
guard_aware_target_specific_blend,Iba1,0.018345651513617497,84,0.016077756403766325,0.0022678951098511722,0.056974172849842526,-0.03862852133622503,0.03239850156930242,-0.014052850055684924
guard_aware_target_specific_blend,NeuN,0.4024501366811785,84,0.4519590968917688,-0.04950896021059026,0.4609347456451279,-0.05848460896394936,0.3168573453477777,0.08559279133340081
latent_only_control,6e10/A_beta,0.29312544294826365,84,,,0.3746733755407961,-0.08154793259253246,0.45637339273058625,-0.1632479497823226
latent_only_control,AT8,0.4554621848739496,84,0.5284398096588033,-0.0729776247848537,0.5155185235317487,-0.060056338657799024,0.5838817454692721,-0.12841956059532245
latent_only_control,GFAP,0.27237015288042926,84,0.30229826870507237,-0.02992811582464311,0.3823049963928304,-0.10993484351240113,0.30760352333704566,-0.0352333704566164
latent_only_control,Iba1,0.01972258783031285,84,0.016077756403766325,0.003644831426546525,0.056974172849842526,-0.03725158501952967,0.03239850156930242,-0.012675913738989571
latent_only_control,NeuN,0.381168370962843,84,0.4519590968917688,-0.07079072592892577,0.4609347456451279,-0.07976637468228487,0.3168573453477777,0.0643110256150653
latent_plus_stable_metadata_bagged_ridge,6e10/A_beta,0.40522425837805004,84,,,0.3746733755407961,0.030550882837253934,0.45637339273058625,-0.05114913435253621
latent_plus_stable_metadata_bagged_ridge,AT8,0.5153589146501975,84,0.5284398096588033,-0.013080895008605875,0.5155185235317487,-0.00015960888155119868,0.5838817454692721,-0.06852283081907462
latent_plus_stable_metadata_bagged_ridge,GFAP,0.2365090614559077,84,0.30229826870507237,-0.06578920724916468,0.3823049963928304,-0.1457959349369227,0.30760352333704566,-0.07109446188113797
latent_plus_stable_metadata_bagged_ridge,Iba1,-0.018487394957983194,84,0.016077756403766325,-0.03456515136174952,0.056974172849842526,-0.07546156780782572,0.03239850156930242,-0.05088589652728562
latent_plus_stable_metadata_bagged_ridge,NeuN,0.20791738382099828,84,0.4519590968917688,-0.2440417130707705,0.4609347456451279,-0.2530173618241296,0.3168573453477777,-0.10893996152677943
latent_plus_stable_metadata_pruned,6e10/A_beta,0.4495089602105903,84,,,0.3746733755407961,0.07483558466979418,0.45637339273058625,-0.006864432519995967
latent_plus_stable_metadata_pruned,AT8,0.5927710843373495,84,0.5284398096588033,0.06433127467854616,0.5155185235317487,0.07725256080560083,0.5838817454692721,0.008889338868077412
latent_plus_stable_metadata_pruned,GFAP,0.1459350005062266,84,0.30229826870507237,-0.15636326819884577,0.3823049963928304,-0.2363699958866038,0.30760352333704566,-0.16166852283081906
latent_plus_stable_metadata_pruned,Iba1,-0.14069049306469578,84,0.016077756403766325,-0.1567682494684621,0.056974172849842526,-0.1976646659145383,0.03239850156930242,-0.17308899463399818
latent_plus_stable_metadata_pruned,NeuN,0.3575579629442138,84,0.4519590968917688,-0.09440113394755495,0.4609347456451279,-0.10337678270091405,0.3168573453477777,0.04070061759643612
latent_plus_stable_metadata_shared_alpha,6e10/A_beta,0.4695960311835578,84,,,0.3746733755407961,0.0949226556427617,0.45637339273058625,0.013222638452971558
latent_plus_stable_metadata_shared_alpha,AT8,0.5917586311633087,84,0.5284398096588033,0.06331882150450541,0.5155185235317487,0.07624010763156008,0.5838817454692721,0.007876885694036662
latent_plus_stable_metadata_shared_alpha,GFAP,0.35010630758327427,84,0.30229826870507237,0.0478080388782019,0.3823049963928304,-0.03219868880955612,0.30760352333704566,0.04250278424622861
latent_plus_stable_metadata_shared_alpha,Iba1,0.07662245621140024,84,0.016077756403766325,0.06054469980763391,0.056974172849842526,0.01964828336155771,0.03239850156930242,0.044223954642097815
latent_plus_stable_metadata_shared_alpha,NeuN,0.3273058621038777,84,0.4519590968917688,-0.12465323478789109,0.4609347456451279,-0.1336288835412502,0.3168573453477777,0.01044851675609998
latent_plus_stable_metadata_strong_ridge,6e10/A_beta,0.41824440619621345,84,,,0.3746733755407961,0.04357103065541734,0.45637339273058625,-0.0381289865343728
latent_plus_stable_metadata_strong_ridge,AT8,0.5275893489926091,84,0.5284398096588033,-0.0008504606661942082,0.5155185235317487,0.012070825460860468,0.5838817454692721,-0.056292396476662954
latent_plus_stable_metadata_strong_ridge,GFAP,0.24738280854510478,84,0.30229826870507237,-0.054915460159967594,0.3823049963928304,-0.1349221878477256,0.30760352333704566,-0.06022071479194088
latent_plus_stable_metadata_strong_ridge,Iba1,-0.009881542978637237,84,0.016077756403766325,-0.025959299382403562,0.056974172849842526,-0.06685571582847977,0.03239850156930242,-0.042280044547939655
latent_plus_stable_metadata_strong_ridge,NeuN,0.20568998683810874,84,0.4519590968917688,-0.24626911005366003,0.4609347456451279,-0.25524475880701913,0.3168573453477777,-0.11116735850966897
latent_plus_stable_metadata_target_specific_alpha,6e10/A_beta,0.4495089602105903,84,,,0.3746733755407961,0.07483558466979418,0.45637339273058625,-0.006864432519995967
latent_plus_stable_metadata_target_specific_alpha,AT8,0.5927710843373495,84,0.5284398096588033,0.06433127467854616,0.5155185235317487,0.07725256080560083,0.5838817454692721,0.008889338868077412
latent_plus_stable_metadata_target_specific_alpha,GFAP,0.1459350005062266,84,0.30229826870507237,-0.15636326819884577,0.3823049963928304,-0.2363699958866038,0.30760352333704566,-0.16166852283081906
latent_plus_stable_metadata_target_specific_alpha,Iba1,-0.14069049306469578,84,0.016077756403766325,-0.1567682494684621,0.056974172849842526,-0.1976646659145383,0.03239850156930242,-0.17308899463399818
latent_plus_stable_metadata_target_specific_alpha,NeuN,0.3575579629442138,84,0.4519590968917688,-0.09440113394755495,0.4609347456451279,-0.10337678270091405,0.3168573453477777,0.04070061759643612
metadata_only_control,6e10/A_beta,0.2758934899260909,84,,,0.3746733755407961,-0.09877988561470519,0.45637339273058625,-0.18047990280449533
metadata_only_control,AT8,0.37535688974384934,84,0.5284398096588033,-0.15308291991495399,0.5155185235317487,-0.1401616337878993,0.5838817454692721,-0.20852485572542273
metadata_only_control,GFAP,-0.10023286423002938,84,0.30229826870507237,-0.40253113293510173,0.3823049963928304,-0.48253786062285975,0.30760352333704566,-0.407836387567075
metadata_only_control,Iba1,-0.13062670851473118,84,0.016077756403766325,-0.1467044649184975,0.056974172849842526,-0.1876008813645737,0.03239850156930242,-0.1630252100840336
metadata_only_control,NeuN,-0.14822314467955858,84,0.4519590968917688,-0.6001822415713274,0.4609347456451279,-0.6091578903246865,0.3168573453477777,-0.4650804900273363
stage27c_reference,AT8,0.5284398096588033,84,0.5284398096588033,0.0,0.5155185235317487,0.012921286127054676,0.5838817454692721,-0.055441935810468745
stage27c_reference,GFAP,0.30229826870507237,84,0.30229826870507237,0.0,0.3823049963928304,-0.08000672768775802,0.30760352333704566,-0.0053052546319732885
stage27c_reference,Iba1,0.016077756403766325,84,0.016077756403766325,0.0,0.056974172849842526,-0.0408964164460762,0.03239850156930242,-0.016320745165536096
stage27c_reference,NeuN,0.4519590968917688,84,0.4519590968917688,0.0,0.4609347456451279,-0.0089756487533591,0.3168573453477777,0.13510175154399107
stage39e_pca8_reference,6e10/A_beta,0.3746733755407961,84,,,0.3746733755407961,0.0,0.45637339273058625,-0.08170001718979014
stage39e_pca8_reference,AT8,0.5155185235317487,84,0.5284398096588033,-0.012921286127054676,0.5155185235317487,0.0,0.5838817454692721,-0.06836322193752342
stage39e_pca8_reference,GFAP,0.3823049963928304,84,0.30229826870507237,0.08000672768775802,0.3823049963928304,0.0,0.30760352333704566,0.07470147305578473
stage39e_pca8_reference,Iba1,0.056974172849842526,84,0.016077756403766325,0.0408964164460762,0.056974172849842526,0.0,0.03239850156930242,0.024575671280540105
stage39e_pca8_reference,NeuN,0.4609347456451279,84,0.4519590968917688,0.0089756487533591,0.4609347456451279,0.0,0.3168573453477777,0.14407740029735017
stage41b_latent_plus_safe_metadata_original,6e10/A_beta,0.45637339273058625,84,,,0.3746733755407961,0.08170001718979014,0.45637339273058625,0.0
stage41b_latent_plus_safe_metadata_original,AT8,0.5838817454692721,84,0.5284398096588033,0.055441935810468745,0.5155185235317487,0.06836322193752342,0.5838817454692721,0.0
stage41b_latent_plus_safe_metadata_original,GFAP,0.30760352333704566,84,0.30229826870507237,0.0053052546319732885,0.3823049963928304,-0.07470147305578473,0.30760352333704566,0.0
stage41b_latent_plus_safe_metadata_original,Iba1,0.03239850156930242,84,0.016077756403766325,0.016320745165536096,0.056974172849842526,-0.024575671280540105,0.03239850156930242,0.0
stage41b_latent_plus_safe_metadata_original,NeuN,0.3168573453477777,84,0.4519590968917688,-0.13510175154399107,0.4609347456451279,-0.14407740029735017,0.3168573453477777,0.0
stage41b_latent_plus_safe_metadata_plus_mri_original,6e10/A_beta,0.3408727346360231,84,,,0.3746733755407961,-0.03380064090477303,0.45637339273058625,-0.11550065809456317
stage41b_latent_plus_safe_metadata_plus_mri_original,AT8,0.49857244102460263,84,0.5284398096588033,-0.029867368634200697,0.5155185235317487,-0.01694608250714602,0.5838817454692721,-0.08530930444466944
stage41b_latent_plus_safe_metadata_plus_mri_original,GFAP,0.3773412979649691,84,0.30229826870507237,0.07504302925989675,0.3823049963928304,-0.004963698427861263,0.30760352333704566,0.06973777462792347
stage41b_latent_plus_safe_metadata_plus_mri_original,Iba1,0.07548850865647465,84,0.016077756403766325,0.059410752252708324,0.056974172849842526,0.018514335806632122,0.03239850156930242,0.04309000708717223
stage41b_latent_plus_safe_metadata_plus_mri_original,NeuN,0.3147311936822922,84,0.4519590968917688,-0.1372279032094766,0.4609347456451279,-0.1462035519628357,0.3168573453477777,-0.0021261516654855206
target_shuffled_control,6e10/A_beta,-0.029502885491546015,84,,,0.3746733755407961,-0.4041762610323421,0.45637339273058625,-0.48587627822213225
target_shuffled_control,AT8,0.10120481927710843,84,0.5284398096588033,-0.4272349903816949,0.5155185235317487,-0.4143137042546402,0.5838817454692721,-0.4826769261921636
target_shuffled_control,GFAP,0.23604333299584895,84,0.30229826870507237,-0.06625493570922342,0.3823049963928304,-0.14626166339698143,0.30760352333704566,-0.0715601903411967
target_shuffled_control,Iba1,-0.022881441733319834,84,0.016077756403766325,-0.03895919813708616,0.056974172849842526,-0.07985561458316236,0.03239850156930242,-0.05527994330262226
target_shuffled_control,NeuN,-0.09063480814012352,84,0.4519590968917688,-0.5425939050318923,0.4609347456451279,-0.5515695537852514,0.3168573453477777,-0.40749215348790124
