target,jepa_ema_e20,jepa_ema_var_e30,pseudobulk,best_model,best_spearman,pseudobulk_spearman,best_jepa_spearman,best_jepa_model,jepa_minus_pseudobulk
percent NeuN positive area_Grey matter,0.4857547838412473,0.42537207654146,0.3368836691303027,jepa_ema_e20,0.4857547838412473,0.3368836691303027,0.4857547838412473,jepa_ema_e20,0.1488711147109446
percent AT8 positive area_Grey matter,0.4365698086463501,0.4394856737875873,0.4215045054166245,jepa_ema_var_e30,0.4394856737875873,0.4215045054166245,0.4394856737875873,jepa_ema_var_e30,0.017981168370962808
guhcl abeta42_Grey matter,0.3881056398989567,0.3855643695675284,0.3743564561934605,jepa_ema_e20,0.3881056398989567,0.3743564561934605,0.3881056398989567,jepa_ema_e20,0.013749183705496215
percent GFAP positive area_Grey matter,0.155249569707401,0.1716513111268603,0.1647666295433836,jepa_ema_var_e30,0.1716513111268603,0.1647666295433836,0.1716513111268603,jepa_ema_var_e30,0.006884681583476687
guhcl pTau_Grey matter,0.3066665991687633,0.362494115026552,0.3597300758845178,jepa_ema_var_e30,0.362494115026552,0.3597300758845178,0.362494115026552,jepa_ema_var_e30,0.0027640391420342136
percent 6e10 positive area_Grey matter,0.24278627113496,0.2012351928723296,0.2743343120380682,pseudobulk,0.2743343120380682,0.2743343120380682,0.24278627113496,jepa_ema_e20,-0.03154804090310817
ripa abeta42_Grey matter,0.2285028703338092,0.2560520001214956,0.3062195628182932,pseudobulk,0.3062195628182932,0.3062195628182932,0.2560520001214956,jepa_ema_var_e30,-0.05016756269679762
percent Iba1 positive area_Grey matter,0.020026323782525,-0.0649184975194897,0.1230940568998683,pseudobulk,0.1230940568998683,0.1230940568998683,0.020026323782525,jepa_ema_e20,-0.1030677331173433
ripa pTau_Grey matter,0.2088488407411157,0.2534372785258681,0.4703654955958287,pseudobulk,0.4703654955958287,0.4703654955958287,0.2534372785258681,jepa_ema_var_e30,-0.21692821706996057
