signature,null_density_mean,observed_density,density_empirical_p,null_path_mean,observed_path,path_empirical_p
all_stage64_rare_tail_signature_genes,0.010042094501534728,0.11587301587301588,0.0,3.3260818679133433,2.5365079365079364,0.0
antigen_presentation,0.014666666666666666,1.0,0.0,3.014,1.0,0.0
complement_phagocytosis,0.008,0.9,0.0,3.187,1.1,0.0
dam_lipid_trem2_apoe,0.012440476190476191,0.2857142857142857,0.0,3.2648214285714285,2.0357142857142856,0.0
interferon_inflammatory,0.004,0.2,0.0,3.487,2.466666666666667,0.005
lysosomal_endolysosomal,0.002476190476190476,0.38095238095238093,0.0,3.509404761904762,1.9047619047619047,0.0
oxidative_stress_gene_preserved,0.009142857142857142,0.5238095238095238,0.0,3.276047619047619,1.4761904761904763,0.0
