gene,pathology_axis_class,degree,degree_bin,n_scored_neighbors,n_same_class_neighbors,same_class_neighbor_fraction,mean_neighbor_therapeutic_like_percentile,mean_neighbor_broad_shift_percentile,therapeutic_like_score_percentile,tau_lowering_score_percentile,neuron_preservation_score_percentile,gliosis_penalty_percentile,broad_shift_score_percentile,neighbor_class_fraction::amyloid_lowering_candidate,neighbor_class_fraction::broad_reactive_state_shift,neighbor_class_fraction::dual_pathology_lowering_neuron_preserving,neighbor_class_fraction::gliosis_inflating,neighbor_class_fraction::mixed_or_unclear,neighbor_class_fraction::neuron_risk,neighbor_class_fraction::tau_lowering_neuron_preserving,degree_matched_null_pool_size,degree_bin_fallback_used,matched_degree_bin,same_class_neighbor_p,same_class_neighbor_z,neighbor_therapeutic_p,neighbor_therapeutic_z,neighbor_broad_shift_p,neighbor_broad_shift_z,same_class_neighbor_FDR,neighbor_therapeutic_FDR,neighbor_broad_shift_FDR,coherence_status,coherence_evidence_basis,degree_matched_enrichment_supported,is_named_audit_gene
MYH9,broad_reactive_state_shift,41,5,41,18,0.43902439024390244,31.6963797440665,75.53866345838347,1.5695067264573992,3.064275037369208,92.86248131539612,98.16890881913304,97.38415545590432,0.04878048780487805,0.43902439024390244,0.0,0.024390243902439025,0.36585365853658536,0.12195121951219512,0.0,256,False,5,0.5634365634365635,0.3166470083299823,0.44255744255744256,-0.05492193874107296,0.7042957042957043,-0.3911913077438708,1.0,0.9889394614931608,0.9960464246178531,broad_reactive_neighborhood,absolute_neighbor_profile_only,False,False
KIF16B,broad_reactive_state_shift,54,6,54,12,0.2222222222222222,34.13261916625146,79.4123346066545,3.43796711509716,0.9715994020926756,97.34678624813156,96.63677130044844,97.68310911808668,0.07407407407407407,0.2222222222222222,0.037037037037037035,0.07407407407407407,0.2962962962962963,0.24074074074074073,0.05555555555555555,267,False,6,0.4925074925074925,-0.16426755484798017,0.6523476523476524,-0.40926218909566314,0.34565434565434566,0.49487236937997786,1.0,0.9983719983719984,0.9874223520840062,broad_reactive_neighborhood,absolute_neighbor_profile_only,False,False
GGA2,broad_reactive_state_shift,21,3,21,10,0.47619047619047616,34.004199587159235,80.6836785536337,2.428998505231689,3.363228699551569,60.01494768310912,96.7488789237668,96.59940209267565,0.09523809523809523,0.47619047619047616,0.0,0.047619047619047616,0.2857142857142857,0.09523809523809523,0.0,262,False,3,0.27972027972027974,0.7626631460091171,0.6473526473526473,-0.3898732836941221,0.3806193806193806,0.5011041711545707,1.0,0.9983719983719984,0.9874223520840062,broad_reactive_neighborhood,absolute_neighbor_profile_only,False,False
HPS3,broad_reactive_state_shift,82,7,82,11,0.13414634146341464,35.34170039009807,78.71686900725508,3.849028400597907,3.3258594917787745,19.506726457399104,91.3677130044843,96.67414050822124,0.13414634146341464,0.13414634146341464,0.036585365853658534,0.1951219512195122,0.32926829268292684,0.14634146341463414,0.024390243902439025,267,False,7,0.3026973026973027,0.3568901016528386,0.973026973026973,-1.477810336281467,0.006993006993006993,1.663855913345675,1.0,1.0,0.7197417966648736,broad_reactive_neighborhood,absolute_neighbor_profile_only,False,False
STAT1,amyloid_lowering_candidate,107,7,107,7,0.06542056074766354,48.96902895938979,46.47018146766691,97.04783258594918,89.98505231689087,89.23766816143498,14.8355754857997,85.38863976083707,0.06542056074766354,0.04672897196261682,0.018691588785046728,0.07476635514018691,0.719626168224299,0.06542056074766354,0.009345794392523364,267,False,7,0.8111888111888111,-0.8667969444745667,0.001998001998001998,2.5347248640396343,1.0,-3.4060822638855823,1.0,0.44555444555444557,1.0,isolated_high_score_gene,high_focal_score_without_neighbor_enrichment,False,False
CLTC,mixed_or_unclear,46,5,46,29,0.6304347826086957,55.90514720218368,55.03590693442516,97.34678624813156,89.76083707025411,91.21823617339312,14.8355754857997,93.7219730941704,0.06521739130434782,0.021739130434782608,0.08695652173913043,0.08695652173913043,0.6304347826086957,0.06521739130434782,0.043478260869565216,256,False,5,0.1028971028971029,1.6303343053235981,0.003996003996003996,2.659043590387055,0.9200799200799201,-1.818516794738067,1.0,0.6683316683316683,0.99942235678432,isolated_high_score_gene,high_focal_score_without_neighbor_enrichment,False,False
RAC1,mixed_or_unclear,55,6,55,37,0.6727272727272727,51.77265932871313,59.02500339720069,95.92675635276532,54.52167414050823,96.0388639760837,14.8355754857997,35.61285500747384,0.09090909090909091,0.05454545454545454,0.01818181818181818,0.07272727272727272,0.6727272727272727,0.07272727272727272,0.01818181818181818,267,False,6,0.07892107892107893,1.686096195032036,0.00999000999000999,2.3121938932773434,0.8751248751248751,-1.3717610162160603,1.0,0.8354145854145855,0.99942235678432,isolated_high_score_gene,high_focal_score_without_neighbor_enrichment,False,False
B2M,mixed_or_unclear,34,5,34,24,0.7058823529411765,52.99173481051613,51.255165743427426,90.7324364723468,91.74140508221224,96.7862481315396,77.87742899850522,76.30792227204783,0.17647058823529413,0.058823529411764705,0.0,0.029411764705882353,0.7058823529411765,0.0,0.029411764705882353,256,False,5,0.04795204795204795,1.930139823541585,0.02197802197802198,2.2296508645938538,0.9470529470529471,-2.0294295390709025,1.0,0.9282384282384284,0.99942235678432,isolated_high_score_gene,high_focal_score_without_neighbor_enrichment,False,False
ATRX,tau_lowering_neuron_preserving,25,4,25,1,0.04,54.31240657698058,47.57548579970105,98.01943198804184,97.57100149476832,83.48281016442452,42.15246636771301,85.61285500747384,0.08,0.04,0.0,0.08,0.6,0.16,0.04,263,False,4,0.16683316683316685,0.9340386033509408,0.025974025974025976,1.8531878983271974,0.955044955044955,-1.6729096798974903,1.0,0.9435270611741201,0.99942235678432,isolated_high_score_gene,high_focal_score_without_neighbor_enrichment,False,False
PAFAH1B1,broad_reactive_state_shift,639,9,639,31,0.048513302034428794,52.60824204486176,48.818045292181594,99.9626307922272,99.9626307922272,99.73841554559044,99.70104633781764,99.85052316890882,0.06103286384976526,0.048513302034428794,0.017214397496087636,0.050078247261345854,0.6964006259780907,0.09702660406885759,0.0297339593114241,267,False,9,0.4145854145854146,-0.04810677503984323,0.03196803196803197,2.7459778139216082,0.981018981018981,-2.6563658815649975,1.0,0.9468031968031969,1.0,isolated_high_score_gene,high_focal_score_without_neighbor_enrichment,False,True
KATNBL1,broad_reactive_state_shift,255,8,255,26,0.10196078431372549,46.759283683578055,57.65306720595564,99.70104633781764,99.40209267563527,99.2152466367713,86.17339312406577,98.76681614349776,0.06666666666666667,0.10196078431372549,0.0196078431372549,0.07450980392156863,0.596078431372549,0.10588235294117647,0.03529411764705882,265,False,8,0.11388611388611389,0.9553158499112765,0.03396603396603397,1.8900043975120833,0.8901098901098901,-1.3500753381673907,1.0,0.9468031968031969,0.99942235678432,isolated_high_score_gene,high_focal_score_without_neighbor_enrichment,False,False
BRAF,mixed_or_unclear,692,9,692,487,0.703757225433526,52.1219985829942,48.65362848527265,99.47683109118086,0.0373692077727952,99.9626307922272,64.57399103139014,99.66367713004485,0.06069364161849711,0.049132947976878616,0.01300578034682081,0.05057803468208093,0.703757225433526,0.09393063583815028,0.028901734104046242,267,False,9,0.02197802197802198,2.185476095762759,0.03596403596403597,2.7122850632049835,0.986013986013986,-2.86729600555433,1.0,0.9528689132649529,1.0,isolated_high_score_gene,high_focal_score_without_neighbor_enrichment,False,False
AFF1,mixed_or_unclear,16,3,16,12,0.75,58.54353512705531,45.97113228699551,90.99402092675636,74.9626307922272,84.97757847533633,37.74289985052317,26.307922272047836,0.0625,0.0,0.0625,0.0625,0.75,0.0625,0.0,262,False,3,0.11788211788211789,1.297041869137569,0.03596403596403597,1.8700747155921609,0.942057942057942,-1.467216838005948,1.0,0.9528689132649529,0.99942235678432,isolated_high_score_gene,high_focal_score_without_neighbor_enrichment,False,False
ERC1,amyloid_lowering_candidate,534,9,534,30,0.056179775280898875,50.9167352468607,50.34793951506805,99.66367713004485,99.58893871449924,81.68908819133034,14.8355754857997,98.91629297458894,0.056179775280898875,0.056179775280898875,0.0149812734082397,0.056179775280898875,0.6910112359550562,0.09737827715355805,0.028089887640449437,267,False,9,0.9120879120879121,-1.2809339838076492,0.058941058941058944,2.2479651664134765,0.9430569430569431,-2.234366413017665,1.0,0.9547595261880976,0.99942235678432,isolated_high_score_gene,high_focal_score_without_neighbor_enrichment,False,True
MDM2,tau_lowering_neuron_preserving,81,7,81,2,0.024691358024691357,46.53204524903578,56.234660170883394,99.2526158445441,98.91629297458894,94.76831091180868,56.98804185351271,67.63826606875935,0.06172839506172839,0.06172839506172839,0.012345679012345678,0.1111111111111111,0.6419753086419753,0.08641975308641975,0.024691358024691357,267,False,7,0.5614385614385614,-0.33278427890414586,0.07092907092907093,1.7852657837816208,0.949050949050949,-1.8293931553862817,1.0,0.9547595261880976,0.99942235678432,isolated_high_score_gene,high_focal_score_without_neighbor_enrichment,False,False
TLR2,tau_lowering_neuron_preserving,46,5,46,1,0.021739130434782608,50.11048287515435,45.577435497497895,99.10313901345292,97.12257100149478,96.52466367713004,47.23467862481316,73.24364723467862,0.06521739130434782,0.021739130434782608,0.0,0.021739130434782608,0.782608695652174,0.08695652173913043,0.021739130434782608,256,False,5,0.24875124875124874,0.6611657380279413,0.03896103896103896,2.0156764957179294,0.9820179820179821,-2.5019332950811517,1.0,0.9547595261880976,1.0,isolated_high_score_gene,high_focal_score_without_neighbor_enrichment,False,True
RAD51B,tau_lowering_neuron_preserving,7,1,7,1,0.14285714285714285,65.27866752082,49.967969250480465,98.542600896861,95.92675635276532,89.27503736920778,14.8355754857997,68.34828101644244,0.14285714285714285,0.0,0.0,0.14285714285714285,0.5714285714285714,0.0,0.14285714285714285,236,False,1,0.12687312687312688,2.003459691680524,0.06993006993006994,1.4358812947056687,0.7472527472527473,-0.7219843492440714,1.0,0.9547595261880976,0.9960464246178531,isolated_high_score_gene,high_focal_score_without_neighbor_enrichment,False,False
VPS39,dual_pathology_lowering_neuron_preserving,266,8,266,4,0.015037593984962405,45.972554705148525,56.5840048551873,97.86995515695068,94.5814648729447,87.03288490284005,14.8355754857997,80.86696562032884,0.06015037593984962,0.06015037593984962,0.015037593984962405,0.07894736842105263,0.6353383458646616,0.12406015037593984,0.02631578947368421,265,False,8,0.954045954045954,-1.6968327577176066,0.06693306693306693,1.4418784647408323,0.938061938061938,-1.525936382362162,1.0,0.9547595261880976,0.99942235678432,isolated_high_score_gene,high_focal_score_without_neighbor_enrichment,False,False
