dataset,donor_id,feature,n_cells,mean,variance,q90,q95,q99,fraction_high_global_q95,top_10pct_mean,top_5pct_mean,top_1pct_mean
DLPFC,H18.30.002,disease_program_score,295,-0.386169917512229,0.24333979243524184,0.24427686647659697,0.5413171711011434,0.9014729791043824,0.0,0.5859227147491491,0.7865999879089102,1.2083207075339486
DLPFC,H19.30.001,disease_program_score,466,-0.42502903716086565,0.1790306537399116,0.10976106236256203,0.27770350220418016,0.623887767564592,0.002145922746781116,0.3383796937431681,0.4910874066052093,0.8490365630614978
DLPFC,H19.30.002,disease_program_score,538,-0.3725204792292324,0.22729942030455502,0.24704769540616725,0.44318140701388264,0.810159515745928,0.0018587360594795538,0.5218531012394468,0.7212199449041831,1.2526094211989407
DLPFC,H19.33.004,disease_program_score,361,0.16778328329866204,0.5300057760997908,1.1407254639706852,1.4221976135442365,1.8438037895894082,0.060941828254847646,1.4960420745441618,1.7405807294271223,2.292704272204672
DLPFC,H20.33.001,disease_program_score,474,-0.09526001587288997,0.36228494928148364,0.6680021790831172,0.8446971191495961,1.255258536622689,0.008438818565400843,0.9526496492533632,1.1636988057761395,1.6199950546724011
DLPFC,H20.33.002,disease_program_score,741,-0.11334948872169534,0.2150388023441634,0.4417102874382969,0.6840620444228105,1.0387092365745803,0.004048582995951417,0.7382090843914759,0.9288349816161469,1.257695680892583
DLPFC,H20.33.004,disease_program_score,498,0.7267967990305169,0.9313415355358424,1.8898048176180755,2.2641882036558205,3.0079719190209158,0.29518072289156627,2.410801875882141,2.759413927634509,3.5569567101983433
DLPFC,H20.33.005,disease_program_score,230,-0.07392360685721532,0.6391155827498524,0.9416443697825427,1.273685198807274,1.8005088417970672,0.0391304347826087,1.3796957456064924,1.5820685880716618,2.027548862869571
DLPFC,H20.33.008,disease_program_score,295,-0.16941526991623232,0.5049332865022566,0.7480233201736702,1.0830714082984898,1.6881629013895594,0.03389830508474576,1.1771736523239216,1.441630891953602,1.862081505832727
DLPFC,H20.33.011,disease_program_score,480,0.18749887647977767,0.46602929246300956,1.1064746174854427,1.3789589051087994,1.8124448623302025,0.07083333333333333,1.4694579380809152,1.6815135575182236,2.093958764713154
DLPFC,H20.33.012,disease_program_score,747,0.027382811945819874,0.49711481244688654,0.9432462376972742,1.3493015871849559,1.7739700451637834,0.0535475234270415,1.3602451945440943,1.6204642456065692,2.0365936968980716
