baseline_id,target,stratum_variable,stratum_value,n_donors,pooled_spearman_or_error_metric,underpowered,notes
lightgbm_raw_expression,6e10/Aβ,diagnosis,Dementia,42,0.08338060124787294,False,Pooled stratum Spearman on log1p OOF predictions.
lightgbm_raw_expression,6e10/Aβ,diagnosis,No dementia,42,0.028441779434405637,False,Pooled stratum Spearman on log1p OOF predictions.
lightgbm_raw_expression,6e10/Aβ,sex,Female,51,0.06570135746606334,False,Pooled stratum Spearman on log1p OOF predictions.
lightgbm_raw_expression,6e10/Aβ,sex,Male,33,0.32486631016042783,False,Pooled stratum Spearman on log1p OOF predictions.
lightgbm_raw_expression,6e10/Aβ,pathology_stratum,High,42,-0.08662182967344624,False,Pooled stratum Spearman on log1p OOF predictions.
lightgbm_raw_expression,6e10/Aβ,pathology_stratum,Intermediate,21,-0.251948051948052,False,Pooled stratum Spearman on log1p OOF predictions.
lightgbm_raw_expression,6e10/Aβ,pathology_stratum,Low,12,-0.18181818181818185,False,Pooled stratum Spearman on log1p OOF predictions.
lightgbm_raw_expression,6e10/Aβ,pathology_stratum,Not AD,9,0.6166666666666666,False,Pooled stratum Spearman on log1p OOF predictions.
lightgbm_raw_expression,6e10/Aβ,locked_fold_pathology_stratum,High,42,-0.08662182967344624,False,Pooled stratum Spearman on log1p OOF predictions.
lightgbm_raw_expression,6e10/Aβ,locked_fold_pathology_stratum,Intermediate,21,-0.251948051948052,False,Pooled stratum Spearman on log1p OOF predictions.
lightgbm_raw_expression,6e10/Aβ,locked_fold_pathology_stratum,Low,12,-0.18181818181818185,False,Pooled stratum Spearman on log1p OOF predictions.
lightgbm_raw_expression,6e10/Aβ,locked_fold_pathology_stratum,Not AD,9,0.6166666666666666,False,Pooled stratum Spearman on log1p OOF predictions.
lightgbm_raw_expression,AT8,diagnosis,Dementia,42,0.5679442508710802,False,Pooled stratum Spearman on log1p OOF predictions.
lightgbm_raw_expression,AT8,diagnosis,No dementia,42,0.40912405801798885,False,Pooled stratum Spearman on log1p OOF predictions.
