graph_id,graph_type,source_path,n_nodes,n_edges,overlaps_selected_matrix,n_overlap_genes,control_type,control_graph_id,valid_control,limitation
GRAPH105,curated_edge_candidate,results\tables\v2_graph_string_edges_t400.csv,,55027,unknown_until_alignment,,identity_no_graph,GRAPH105_identity_no_graph,True,
GRAPH105,curated_edge_candidate,results\tables\v2_graph_string_edges_t400.csv,,55027,unknown_until_alignment,,beta0,GRAPH105_beta0,True,
GRAPH105,curated_edge_candidate,results\tables\v2_graph_string_edges_t400.csv,,55027,unknown_until_alignment,,random_edge_matched,GRAPH105_random_edge_matched,True,
GRAPH105,curated_edge_candidate,results\tables\v2_graph_string_edges_t400.csv,,55027,unknown_until_alignment,,gene_label_shuffled,GRAPH105_gene_label_shuffled,True,
GRAPH105,curated_edge_candidate,results\tables\v2_graph_string_edges_t400.csv,,55027,unknown_until_alignment,,degree_preserving_shuffled,GRAPH105_degree_preserving_shuffled,False,degree-preserving shuffle requires explicit simple graph construction
GRAPH106,curated_edge_candidate,results\tables\v2_graph_string_edges_t700.csv,,14565,unknown_until_alignment,,identity_no_graph,GRAPH106_identity_no_graph,True,
GRAPH106,curated_edge_candidate,results\tables\v2_graph_string_edges_t700.csv,,14565,unknown_until_alignment,,beta0,GRAPH106_beta0,True,
GRAPH106,curated_edge_candidate,results\tables\v2_graph_string_edges_t700.csv,,14565,unknown_until_alignment,,random_edge_matched,GRAPH106_random_edge_matched,True,
GRAPH106,curated_edge_candidate,results\tables\v2_graph_string_edges_t700.csv,,14565,unknown_until_alignment,,gene_label_shuffled,GRAPH106_gene_label_shuffled,True,
GRAPH106,curated_edge_candidate,results\tables\v2_graph_string_edges_t700.csv,,14565,unknown_until_alignment,,degree_preserving_shuffled,GRAPH106_degree_preserving_shuffled,False,degree-preserving shuffle requires explicit simple graph construction
GRAPH107,curated_edge_candidate,results\tables\v2_graph_string_edges_t900.csv,,6781,unknown_until_alignment,,identity_no_graph,GRAPH107_identity_no_graph,True,
GRAPH107,curated_edge_candidate,results\tables\v2_graph_string_edges_t900.csv,,6781,unknown_until_alignment,,beta0,GRAPH107_beta0,True,
GRAPH107,curated_edge_candidate,results\tables\v2_graph_string_edges_t900.csv,,6781,unknown_until_alignment,,random_edge_matched,GRAPH107_random_edge_matched,True,
GRAPH107,curated_edge_candidate,results\tables\v2_graph_string_edges_t900.csv,,6781,unknown_until_alignment,,gene_label_shuffled,GRAPH107_gene_label_shuffled,True,
GRAPH107,curated_edge_candidate,results\tables\v2_graph_string_edges_t900.csv,,6781,unknown_until_alignment,,degree_preserving_shuffled,GRAPH107_degree_preserving_shuffled,False,degree-preserving shuffle requires explicit simple graph construction
