representation,target,n_donors,pathology_tertile_silhouette,knn_spearman,knn_r2,knn_mae
expression_pca_128,percent AT8 positive area_Grey matter,84,-0.00751437982285317,0.2186493874658297,-0.010721508574405902,1.015285611152649
expression_pca_128,percent NeuN positive area_Grey matter,84,-0.0038462925500100573,0.329776247848537,0.10248577115072321,1.4595980644226074
expression_pca_128,percent 6e10 positive area_Grey matter,84,-0.0057228187251103894,0.0989774222942189,-0.3573007382883968,2.65954852104187
expression_pca_128,percent GFAP positive area_Grey matter,84,-0.01658128232784824,-0.01210893996152678,-0.12774431815845344,3.4605205059051514
expression_pca_128,percent Iba1 positive area_Grey matter,84,-0.011620063025191927,-0.04355573554723094,-0.171487625549416,1.7882497310638428
jepa_latent_128,percent AT8 positive area_Grey matter,84,-0.06415780680225058,-0.03644831426546522,-0.19836157858129622,1.2017416954040527
jepa_latent_128,percent NeuN positive area_Grey matter,84,-0.046209974669938904,0.2676318720259188,0.007191413990672135,1.5163557529449463
jepa_latent_128,percent 6e10 positive area_Grey matter,84,-0.059835148418724206,0.16652829806621444,-0.11680666252955363,1.9766550064086914
jepa_latent_128,percent GFAP positive area_Grey matter,84,-0.066376704112415,-0.15614052850055685,-0.28579455515844154,4.040319442749023
jepa_latent_128,percent Iba1 positive area_Grey matter,84,-0.05933218354595926,-0.1248557254226992,-0.23480862286837878,1.8200169801712036
