candidate_id,feature_set_id,target,n_donors,pooled_oof_spearman
full_39d_reconstruction_comparator,full_39d_reconstruction_comparator,6e10/A_beta,84,0.7306469575782121
full_39d_reconstruction_comparator,full_39d_reconstruction_comparator,AT8,84,0.6959805608990586
full_39d_reconstruction_comparator,full_39d_reconstruction_comparator,GFAP,84,0.3136174951908475
full_39d_reconstruction_comparator,full_39d_reconstruction_comparator,Iba1,84,0.2375215146299484
full_39d_reconstruction_comparator,full_39d_reconstruction_comparator,NeuN,84,0.48905538118862
latent_only,latent_only,6e10/A_beta,84,0.4001619925078465
latent_only,latent_only,AT8,84,0.5254834463906044
latent_only,latent_only,GFAP,84,0.3122608079376329
latent_only,latent_only,Iba1,84,0.025473321858864025
latent_only,latent_only,NeuN,84,0.46566771286827985
latent_plus_tier1_plus_tier2,latent_plus_tier1_plus_tier2,6e10/A_beta,84,0.6238938949073606
latent_plus_tier1_plus_tier2,latent_plus_tier1_plus_tier2,AT8,84,0.5622354966082819
latent_plus_tier1_plus_tier2,latent_plus_tier1_plus_tier2,GFAP,84,0.26996051432621243
latent_plus_tier1_plus_tier2,latent_plus_tier1_plus_tier2,Iba1,84,0.11258479295332592
latent_plus_tier1_plus_tier2,latent_plus_tier1_plus_tier2,NeuN,84,0.37039586919104994
latent_plus_tier1_safe_metadata,latent_plus_tier1_safe_metadata,6e10/A_beta,84,0.6347878910600385
latent_plus_tier1_safe_metadata,latent_plus_tier1_safe_metadata,AT8,84,0.566791535891465
latent_plus_tier1_safe_metadata,latent_plus_tier1_safe_metadata,GFAP,84,0.26627518477270423
latent_plus_tier1_safe_metadata,latent_plus_tier1_safe_metadata,Iba1,84,0.013688366913030272
latent_plus_tier1_safe_metadata,latent_plus_tier1_safe_metadata,NeuN,84,0.40188316290371573
latent_plus_tier2_composition,latent_plus_tier2_composition,6e10/A_beta,84,0.3193074820289562
latent_plus_tier2_composition,latent_plus_tier2_composition,AT8,84,0.5080895008605852
latent_plus_tier2_composition,latent_plus_tier2_composition,GFAP,84,0.356019034119672
latent_plus_tier2_composition,latent_plus_tier2_composition,Iba1,84,0.04837501265566467
latent_plus_tier2_composition,latent_plus_tier2_composition,NeuN,84,0.4687455705173636
restricted_no_pseudo_no_seaad_reconstruction,restricted_no_pseudo_no_seaad_reconstruction,6e10/A_beta,84,-0.007937632884479092
restricted_no_pseudo_no_seaad_reconstruction,restricted_no_pseudo_no_seaad_reconstruction,AT8,84,0.05854004252303331
restricted_no_pseudo_no_seaad_reconstruction,restricted_no_pseudo_no_seaad_reconstruction,GFAP,84,0.11944922547332186
restricted_no_pseudo_no_seaad_reconstruction,restricted_no_pseudo_no_seaad_reconstruction,Iba1,84,0.2856940366508049
restricted_no_pseudo_no_seaad_reconstruction,restricted_no_pseudo_no_seaad_reconstruction,NeuN,84,0.17679457325098716
safe_composition_only,safe_composition_only,6e10/A_beta,84,-0.21484365112987208
safe_composition_only,safe_composition_only,AT8,84,-0.0029665028172032293
safe_composition_only,safe_composition_only,GFAP,84,-0.026769397435786137
safe_composition_only,safe_composition_only,Iba1,84,0.11171464875433593
safe_composition_only,safe_composition_only,NeuN,84,0.03092047646327188
safe_metadata_only,safe_metadata_only,6e10/A_beta,84,0.5211906449326719
safe_metadata_only,safe_metadata_only,AT8,84,0.4066011946947454
safe_metadata_only,safe_metadata_only,GFAP,84,0.08283891870001013
safe_metadata_only,safe_metadata_only,Iba1,84,0.009800546724713984
safe_metadata_only,safe_metadata_only,NeuN,84,0.19183962741723196
stage27c_reference,stage27c_reference,6e10/A_beta,84,0.3347372684013365
stage27c_reference,stage27c_reference,AT8,84,0.5284398096588033
stage27c_reference,stage27c_reference,GFAP,84,0.30229826870507237
stage27c_reference,stage27c_reference,Iba1,84,0.016077756403766325
stage27c_reference,stage27c_reference,NeuN,84,0.4519590968917688
stage39e_pca8_reference,stage39e_pca8_reference,6e10/A_beta,84,0.3746733755407961
stage39e_pca8_reference,stage39e_pca8_reference,AT8,84,0.5155185235317487
stage39e_pca8_reference,stage39e_pca8_reference,GFAP,84,0.3823049963928304
stage39e_pca8_reference,stage39e_pca8_reference,Iba1,84,0.056974172849842526
stage39e_pca8_reference,stage39e_pca8_reference,NeuN,84,0.4609347456451279
target_shuffled_control,target_shuffled_control,6e10/A_beta,84,0.20024298876176977
target_shuffled_control,target_shuffled_control,AT8,84,-0.12651614862812594
target_shuffled_control,target_shuffled_control,GFAP,84,-0.1558975397387871
target_shuffled_control,target_shuffled_control,Iba1,84,-0.018446896831021565
target_shuffled_control,target_shuffled_control,NeuN,84,0.023488913637744257
tier3_proxy_only_comparator,tier3_proxy_only_comparator,6e10/A_beta,84,0.08749620330059735
tier3_proxy_only_comparator,tier3_proxy_only_comparator,AT8,84,0.11238230231851776
tier3_proxy_only_comparator,tier3_proxy_only_comparator,GFAP,84,0.19653741014478082
tier3_proxy_only_comparator,tier3_proxy_only_comparator,Iba1,84,0.2649792447099322
tier3_proxy_only_comparator,tier3_proxy_only_comparator,NeuN,84,0.19785359927103374
